saved_path,file_hash,url,retrieved_at,state,agency,original_filename,note
agreements/agreements_20260607_025243/ALABAMA/Autauga_County_Sheriff's_Office_/AutaugaCoSheriffsOfficeAL_JEM_MOA_09222025.pdf,ecb447ad646e7e0d63cc9cc10a9fd33b3cfc09757d656f127a20354125d2ad73,,2026-06-07T02:52:43Z,ALABAMA,Autauga County Sheriff's Office ,AutaugaCoSheriffsOfficeAL_JEM_MOA_09222025.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260607_025243/ALABAMA/Autauga_County_Sheriff's_Office_/AutaugaCoSheriffsOfficeAL_TFM_MOA_09222025.pdf,827981924f6039deef68cd419539f4ba9e339f4cbc11b7aff24ef91ef4973b0e,,2026-06-07T02:52:43Z,ALABAMA,Autauga County Sheriff's Office ,AutaugaCoSheriffsOfficeAL_TFM_MOA_09222025.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260607_025243/ALABAMA/Autauga_County_Sheriff's_Office_/AutaugaCoSheriffsOfficeAL_WSO_MOA_09222025.pdf,35c6aea819b2b67a427886a27f47497916cf2052149522bd04fc0d306ae09c32,,2026-06-07T02:52:43Z,ALABAMA,Autauga County Sheriff's Office ,AutaugaCoSheriffsOfficeAL_WSO_MOA_09222025.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260607_025243/ALABAMA/Baldwin_County_Sheriff's_Office/BaldwinCoSheriffsOfficeAL_TFM_MOA_10172025.pdf,189e92504ff032376d6861cef559e47ddb5b48e98d2530c6ee0828eb1fcdf99e,,2026-06-07T02:52:43Z,ALABAMA,Baldwin County Sheriff's Office,BaldwinCoSheriffsOfficeAL_TFM_MOA_10172025.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260607_025243/ALABAMA/Blount_County_Sheriff's_Office/BlountCoSheriffsOfficeAL_TFM_MOA_01262026.pdf,633091e149c6e9ba09d74ab52e0b7af314e7b370104b26cebf8ad961b640e8fc,,2026-06-07T02:52:43Z,ALABAMA,Blount County Sheriff's Office,BlountCoSheriffsOfficeAL_TFM_MOA_01262026.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260607_025243/ALABAMA/Camp_Hill_Police_Department/CampHilPDAL_TFM_MOA_12082025.pdf,7a0412b97e3b69c8370e6b3cb97741e2b675d4db214adf8dbe653deddfb36c05,,2026-06-07T02:52:43Z,ALABAMA,Camp Hill Police Department,CampHilPDAL_TFM_MOA_12082025.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260607_025243/ALABAMA/Cherokee_County_Sheriff's_Office/CherokeeCoSheriffsOfficeAL_WSO_MOA_06252025.pdf,d787e0885f0e65c73e37ba5e6446821c0ae7437272ce870e9bf5877346a321d8,,2026-06-07T02:52:43Z,ALABAMA,Cherokee County Sheriff's Office,CherokeeCoSheriffsOfficeAL_WSO_MOA_06252025.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260607_025243/ALABAMA/Cherokee_County_Sheriff's_Office/CherokeeCountySOAL_TFM_MOA_021026.pdf,b745d106b29e1367cafcd7b0b320c05e87fcc6ba64a26a0f8333b6654e416ec3,,2026-06-07T02:52:43Z,ALABAMA,Cherokee County Sheriff's Office,CherokeeCountySOAL_TFM_MOA_021026.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260607_025243/ALABAMA/Cherokee_Police_Department/CherokeePDAL_TFM_%20MOA_02142026.pdf,faca6339708e6209c8f39f1c36455d529583353b49ecd9402ae1a81c5c3282a5,,2026-06-07T02:52:43Z,ALABAMA,Cherokee Police Department,CherokeePDAL_TFM_%20MOA_02142026.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260607_025243/ALABAMA/Clarke_County_Sheriff's_Office/ClarkeCoSOAL_TFM_MOA_013026.pdf,b50656d7d858e2a505c0faecb7ac72efbb8962d116802177effca7e3a1cb2650,,2026-06-07T02:52:43Z,ALABAMA,Clarke County Sheriff's Office,ClarkeCoSOAL_TFM_MOA_013026.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260607_025243/ALABAMA/Colbert_County_Sheriff's_Office/ColbertCoSheriffsOfficeAL_WSO_MOA_05.08.25.pdf,e4fbba35a17184cd0605a404978ede41cfd3be712bede0c1759233d7bd479e50,,2026-06-07T02:52:43Z,ALABAMA,Colbert County Sheriff's Office,ColbertCoSheriffsOfficeAL_WSO_MOA_05.08.25.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260607_025243/ALABAMA/Colbert_County_Sheriff's_Office/ColbertCountySO_TFM_LEA_070225.pdf,cd3df68f7b1b565436d45c2256f74d6c783740f33506ccce251f792776068270,,2026-06-07T02:52:43Z,ALABAMA,Colbert County Sheriff's Office,ColbertCountySO_TFM_LEA_070225.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260607_025243/ALABAMA/Courtland_Police_Department_/CourtlandPoliceDeptAL_TFM_MOA_03132026.pdf,70ae53cbbc9607a50f3f8d87aee83093b014d3fe88fd59c67489b30a454c0d99,,2026-06-07T02:52:43Z,ALABAMA,Courtland Police Department ,CourtlandPoliceDeptAL_TFM_MOA_03132026.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260607_025243/ALABAMA/Crenshaw_County_Sheriff's_Office/CrenshawCoAL_WSO_MOA_04.16.2025.pdf,e51a1e6cdb5da1a429680d5a2e1dde3d40ce0a78c8d42439978d323925a87913,,2026-06-07T02:52:43Z,ALABAMA,Crenshaw County Sheriff's Office,CrenshawCoAL_WSO_MOA_04.16.2025.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260607_025243/ALABAMA/DeKalb_County_Sheriff's_Office/DeKalbCoSO_AL_TFM_MOA_12082025.pdf,d76ce2323bbbf1d15565582565550212bd7486265bc6590f56153867b7065131,,2026-06-07T02:52:43Z,ALABAMA,DeKalb County Sheriff's Office,DeKalbCoSO_AL_TFM_MOA_12082025.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260607_025243/ALABAMA/Demopolis_Police_Department/DemopolisPoliceDeptAL_TFM_MOA_01262026.pdf,5f49e5ef6a54a591d29738866d80c88bb0c9439717ff9c01804d6cc657df7c09,,2026-06-07T02:52:43Z,ALABAMA,Demopolis Police Department,DemopolisPoliceDeptAL_TFM_MOA_01262026.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260607_025243/ALABAMA/Elberta_Police_Department_/ElbertaPoliceDeptAL_TFM_MOA_11142025.pdf,41643d869484dd1679c7538c49caa38103d58e0d5b0c90cb32e3474922e4db7d,,2026-06-07T02:52:43Z,ALABAMA,Elberta Police Department ,ElbertaPoliceDeptAL_TFM_MOA_11142025.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260607_025243/ALABAMA/Elmore_County_Sheriff's_Office/ElmoreCountyAL_JEM_MOA_030625.pdf,95417db4307bea16b611e982a324c374777eb16f84e3d7b09645ac847b972c83,,2026-06-07T02:52:43Z,ALABAMA,Elmore County Sheriff's Office,ElmoreCountyAL_JEM_MOA_030625.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260607_025243/ALABAMA/Etowah_County_Sheriff's_Office/287gJEM_%20etowahCoAL_06-09-2020.pdf,85b7004ef157b9de60c987ebba277315f4248a0d15c341a1b280f4975e6efadb,,2026-06-07T02:52:43Z,ALABAMA,Etowah County Sheriff's Office,287gJEM_%20etowahCoAL_06-09-2020.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260607_025243/ALABAMA/Etowah_County_Sheriff's_Office/EtowahCoSOAL_TFM_MOA_12082025.pdf,0796e78a64f0d0a64d95fa77cde4943d56791d7febdadf8ae0338ac16446c274,,2026-06-07T02:52:43Z,ALABAMA,Etowah County Sheriff's Office,EtowahCoSOAL_TFM_MOA_12082025.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260607_025243/ALABAMA/Florala_Police_Department/FloralaPD_%20AL_TFM_MOA_022326.pdf,c3c8a468d1c5e95866d9a90a7706ff611006f393c7309f66bc7241d9e93ad7e8,,2026-06-07T02:52:43Z,ALABAMA,Florala Police Department,FloralaPD_%20AL_TFM_MOA_022326.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260607_025243/ALABAMA/Foley_Police_Department/FoleyPoliceDeptAL_TFM_MOA_03252026.pdf,29a501c9b491eed267c9ef29a4b2610e75964a9f2755585e3e17e6bf89892119,,2026-06-07T02:52:43Z,ALABAMA,Foley Police Department,FoleyPoliceDeptAL_TFM_MOA_03252026.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260607_025243/ALABAMA/Franklin_County_Sheriff's_Office/FranklinCoSheriffsOfficeAL_JEM_MOA_06122025.pdf,609e29b15bb31506cba84e3ba830916948d8c2bfe9e838b305025f18f26c7f1f,,2026-06-07T02:52:43Z,ALABAMA,Franklin County Sheriff's Office,FranklinCoSheriffsOfficeAL_JEM_MOA_06122025.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260607_025243/ALABAMA/Franklin_County_Sheriff's_Office/FranklinCoSheriffsOfficeAL_TFM_MOA_1162025.pdf,f4ee93d808c43bf1b8b7729dc780412ee1c316d028d4fd220cb658a2ec2b664b,,2026-06-07T02:52:43Z,ALABAMA,Franklin County Sheriff's Office,FranklinCoSheriffsOfficeAL_TFM_MOA_1162025.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260607_025243/ALABAMA/Franklin_County_Sheriff's_Office/FranklinCountyAL_WSO_MOA_030625.pdf,77d71b31dce348c911b14d0d27b521309575401df54470e98f550fd8dbb3a0a9,,2026-06-07T02:52:43Z,ALABAMA,Franklin County Sheriff's Office,FranklinCountyAL_WSO_MOA_030625.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260607_025243/ALABAMA/Hale_County_Sheriff's_Office/HaleCoSheriffsOfficeAL_TFM_MOA_0332026.pdf,a11c60d156f5461cc31c6e74ebd40c0c97a3141ab4ae0aca5db392c691d94cf2,,2026-06-07T02:52:43Z,ALABAMA,Hale County Sheriff's Office,HaleCoSheriffsOfficeAL_TFM_MOA_0332026.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260607_025243/ALABAMA/Henry_County_Sheriff's_Office/HenryCoSOAL_TFM_MOA_12112025.pdf,fe5bd9f03c852208f4552ee2f9164fcdd33f364a2ef9415b1d91e2f9c8d02e7f,,2026-06-07T02:52:43Z,ALABAMA,Henry County Sheriff's Office,HenryCoSOAL_TFM_MOA_12112025.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260607_025243/ALABAMA/Henry_County_Sheriff's_Office/HenryCountySheriffAL_JEM_MOA_031425.pdf,f9950d9c941e33c8239578061fb234482161c375a8ce35953a4a7a8731bc05b3,,2026-06-07T02:52:43Z,ALABAMA,Henry County Sheriff's Office,HenryCountySheriffAL_JEM_MOA_031425.pdf,manifest reconstructed after the fact; this scraper run predates download logging
