"state","agency_name","hyperlink","document_type","original_state_folder","sanitized_state_folder","original_agency_folder","sanitized_agency_folder","original_filename","sanitized_filename","saved_path","file_hash"
"ALABAMA","Autauga County Sheriff's Office ","https://www.ice.gov/doclib/287gMOA/AutaugaCoSheriffsOfficeAL_JEM_MOA_09222025.pdf","MOA","ALABAMA","ALABAMA","Autauga County Sheriff's Office ","Autauga_County_Sheriff's_Office","AutaugaCoSheriffsOfficeAL_JEM_MOA_09222025.pdf","MOA_AutaugaCoSheriffsOfficeAL_JEM_MOA_09222025.pdf","agreements/agreements_20260902_013717/ALABAMA/Autauga_County_Sheriff's_Office/MOA_AutaugaCoSheriffsOfficeAL_JEM_MOA_09222025.pdf","ecb447ad646e7e0d63cc9cc10a9fd33b3cfc09757d656f127a20354125d2ad73"
"ALABAMA","Autauga County Sheriff's Office ","https://www.ice.gov/doclib/287gMOA/AutaugaCoSheriffsOfficeAL_TFM_MOA_09222025.pdf","MOA","ALABAMA","ALABAMA","Autauga County Sheriff's Office ","Autauga_County_Sheriff's_Office","AutaugaCoSheriffsOfficeAL_TFM_MOA_09222025.pdf","MOA_AutaugaCoSheriffsOfficeAL_TFM_MOA_09222025.pdf","agreements/agreements_20260902_013717/ALABAMA/Autauga_County_Sheriff's_Office/MOA_AutaugaCoSheriffsOfficeAL_TFM_MOA_09222025.pdf","827981924f6039deef68cd419539f4ba9e339f4cbc11b7aff24ef91ef4973b0e"
"ALABAMA","Autauga County Sheriff's Office ","https://www.ice.gov/doclib/287gMOA/AutaugaCoSheriffsOfficeAL_WSO_MOA_09222025.pdf","MOA","ALABAMA","ALABAMA","Autauga County Sheriff's Office ","Autauga_County_Sheriff's_Office","AutaugaCoSheriffsOfficeAL_WSO_MOA_09222025.pdf","MOA_AutaugaCoSheriffsOfficeAL_WSO_MOA_09222025.pdf","agreements/agreements_20260902_013717/ALABAMA/Autauga_County_Sheriff's_Office/MOA_AutaugaCoSheriffsOfficeAL_WSO_MOA_09222025.pdf","35c6aea819b2b67a427886a27f47497916cf2052149522bd04fc0d306ae09c32"
"ALABAMA","Baldwin County Sheriff's Office","https://www.ice.gov/doclib/287gMOA/BaldwinCoSheriffsOfficeAL_TFM_MOA_10172025.pdf","MOA","ALABAMA","ALABAMA","Baldwin County Sheriff's Office","Baldwin_County_Sheriff's_Office","BaldwinCoSheriffsOfficeAL_TFM_MOA_10172025.pdf","MOA_BaldwinCoSheriffsOfficeAL_TFM_MOA_10172025.pdf","agreements/agreements_20260902_013717/ALABAMA/Baldwin_County_Sheriff's_Office/MOA_BaldwinCoSheriffsOfficeAL_TFM_MOA_10172025.pdf","189e92504ff032376d6861cef559e47ddb5b48e98d2530c6ee0828eb1fcdf99e"
"ALABAMA","Blount County Sheriff's Office","https://www.ice.gov/doclib/287gMOA/BlountCoSheriffsOfficeAL_TFM_MOA_01262026.pdf","MOA","ALABAMA","ALABAMA","Blount County Sheriff's Office","Blount_County_Sheriff's_Office","BlountCoSheriffsOfficeAL_TFM_MOA_01262026.pdf","MOA_BlountCoSheriffsOfficeAL_TFM_MOA_01262026.pdf","agreements/agreements_20260902_013717/ALABAMA/Blount_County_Sheriff's_Office/MOA_BlountCoSheriffsOfficeAL_TFM_MOA_01262026.pdf","633091e149c6e9ba09d74ab52e0b7af314e7b370104b26cebf8ad961b640e8fc"
"ALABAMA","Brookside Police Department","https://www.ice.gov/doclib/287gMOA/BrooksidePoliceDeptAL_TFM_MOA_06142026.pdf","MOA","ALABAMA","ALABAMA","Brookside Police Department","Brookside_Police_Department","BrooksidePoliceDeptAL_TFM_MOA_06142026.pdf","MOA_BrooksidePoliceDeptAL_TFM_MOA_06142026.pdf","agreements/agreements_20260902_013717/ALABAMA/Brookside_Police_Department/MOA_BrooksidePoliceDeptAL_TFM_MOA_06142026.pdf","4b9bde9313e6a2cef25f4308a049483bb5e32d9b34d756485c7eb78509a18de9"
"ALABAMA","Camp Hill Police Department","https://www.ice.gov/doclib/287gMOA/CampHilPDAL_TFM_MOA_12082025.pdf","MOA","ALABAMA","ALABAMA","Camp Hill Police Department","Camp_Hill_Police_Department","CampHilPDAL_TFM_MOA_12082025.pdf","MOA_CampHilPDAL_TFM_MOA_12082025.pdf","agreements/agreements_20260902_013717/ALABAMA/Camp_Hill_Police_Department/MOA_CampHilPDAL_TFM_MOA_12082025.pdf","7a0412b97e3b69c8370e6b3cb97741e2b675d4db214adf8dbe653deddfb36c05"
"ALABAMA","Cedar Bluff Police Department","https://www.ice.gov/doclib/287gMOA/CedarBluffPoliceDeptAL_TFM_MOA_04292026.pdf","MOA","ALABAMA","ALABAMA","Cedar Bluff Police Department","Cedar_Bluff_Police_Department","CedarBluffPoliceDeptAL_TFM_MOA_04292026.pdf","MOA_CedarBluffPoliceDeptAL_TFM_MOA_04292026.pdf","agreements/agreements_20260902_013717/ALABAMA/Cedar_Bluff_Police_Department/MOA_CedarBluffPoliceDeptAL_TFM_MOA_04292026.pdf","93a68cc723a154eb3265f67ce9b075e96f3425e6708c8cf690903562e0c3b81a"
"ALABAMA","Cherokee County Sheriff's Office","https://www.ice.gov/doclib/287gMOA/CherokeeCountySOAL_TFM_MOA_021026.pdf","MOA","ALABAMA","ALABAMA","Cherokee County Sheriff's Office","Cherokee_County_Sheriff's_Office","CherokeeCountySOAL_TFM_MOA_021026.pdf","MOA_CherokeeCountySOAL_TFM_MOA_021026.pdf","agreements/agreements_20260902_013717/ALABAMA/Cherokee_County_Sheriff's_Office/MOA_CherokeeCountySOAL_TFM_MOA_021026.pdf","b745d106b29e1367cafcd7b0b320c05e87fcc6ba64a26a0f8333b6654e416ec3"
"ALABAMA","Cherokee County Sheriff's Office","https://www.ice.gov/doclib/287gMOA/CherokeeCoSheriffsOfficeAL_WSO_MOA_06252025.pdf","MOA","ALABAMA","ALABAMA","Cherokee County Sheriff's Office","Cherokee_County_Sheriff's_Office","CherokeeCoSheriffsOfficeAL_WSO_MOA_06252025.pdf","MOA_CherokeeCoSheriffsOfficeAL_WSO_MOA_06252025.pdf","agreements/agreements_20260902_013717/ALABAMA/Cherokee_County_Sheriff's_Office/MOA_CherokeeCoSheriffsOfficeAL_WSO_MOA_06252025.pdf","d787e0885f0e65c73e37ba5e6446821c0ae7437272ce870e9bf5877346a321d8"
