saved_path,file_hash,url,retrieved_at,state,agency,original_filename,note,etag,last_modified,capture_time
agreements/agreements_probe_20260913/OvertonCoSheriffsOfficeTN_WSO_MOA_02232026.pdf,6dfbec79b59c8999f69939ae40e14c44308edb41e9195bb149aba39f35c6257a,https://www.ice.gov/doclib/287gMOA/OvertonCoSheriffsOfficeTN_WSO_MOA_02232026.pdf,2026-09-13T18:25:51Z,Tennessee,Overton County Sheriff's Office,OvertonCoSheriffsOfficeTN_WSO_MOA_02232026.pdf,found by probing ICE's MOA naming pattern while its sheet still said link pending; verified against the PDF text,"""859513f12165227cdf0f75a5b4c41b9b:1786459990.272689""","Tue, 11 Aug 2026 14:53:10 GMT",
agreements/agreements_probe_20260913/ScottCoSheriffsOfficeMO_TFM_MOA_03132026.pdf,abb71b8bed0977fba8c3b3da74be85326ce9d97c0d811f883170aeda3fd86ce2,https://www.ice.gov/doclib/287gMOA/ScottCoSheriffsOfficeMO_TFM_MOA_03132026.pdf,2026-09-13T18:25:51Z,Missouri,Scott County Sheriff's Office,ScottCoSheriffsOfficeMO_TFM_MOA_03132026.pdf,found by probing ICE's MOA naming pattern while its sheet still said link pending; verified against the PDF text,"""0cbf6af6b0e7f292b3c0b98f784c1468:1774272181.708505""","Mon, 23 Mar 2026 13:23:01 GMT",
agreements/agreements_probe_20260913/SanSabaCoSheriffsOfficeTX_TFM_MOA_03132026.pdf,afb74b8d381ed1880e73888db7e865bb9712d7f96fac33bfc8caffc811974d1a,https://www.ice.gov/doclib/287gMOA/SanSabaCoSheriffsOfficeTX_TFM_MOA_03132026.pdf,2026-09-13T18:25:51Z,Texas,San Saba County Sheriff's Office,SanSabaCoSheriffsOfficeTX_TFM_MOA_03132026.pdf,found by probing ICE's MOA naming pattern while its sheet still said link pending; verified against the PDF text,"""ff8cb5bac0865014a2f6b7d4983d7812:1786459536.62457""","Tue, 11 Aug 2026 14:45:36 GMT",
agreements/agreements_probe_20260913/PoinsettCoSheriffsOfficeAR_JEM_MOA_03232026.pdf,cf96ef41ec0466c275b248a79a189a5cc56847c7b1249026ffd40bc758616b77,https://www.ice.gov/doclib/287gMOA/PoinsettCoSheriffsOfficeAR_JEM_MOA_03232026.pdf,2026-09-13T18:25:51Z,Arkansas,Poinsett County Sheriff's Office,PoinsettCoSheriffsOfficeAR_JEM_MOA_03232026.pdf,found by probing ICE's MOA naming pattern while its sheet still said link pending; verified against the PDF text,"""f0feea60e9071e68058999977e241578:1776692032.649845""","Mon, 20 Apr 2026 13:33:52 GMT",
agreements/agreements_probe_20260913/PoinsettCoSheriffsOfficeAR_TFM_MOA_03232026.pdf,ee3628e876b96b7e56f1815b30960125ed9c584698a264c1b813bd8cf79fc9e4,https://www.ice.gov/doclib/287gMOA/PoinsettCoSheriffsOfficeAR_TFM_MOA_03232026.pdf,2026-09-13T18:25:51Z,Arkansas,Poinsett County Sheriff's Office,PoinsettCoSheriffsOfficeAR_TFM_MOA_03232026.pdf,found by probing ICE's MOA naming pattern while its sheet still said link pending; verified against the PDF text,"""7ed8eaa8d283ac9e0f29d599ece58b74:1776692028.100556""","Mon, 20 Apr 2026 13:33:48 GMT",
agreements/agreements_probe_20260913/WolcottPoliceDeptIN_TFM_MOA_03242026.pdf,6e3930ac0633a6abdd1e6b5650e3d20771a1baa8c092da93b066727f046c4045,https://www.ice.gov/doclib/287gMOA/WolcottPoliceDeptIN_TFM_MOA_03242026.pdf,2026-09-13T18:25:51Z,Indiana,Wolcott Police Department,WolcottPoliceDeptIN_TFM_MOA_03242026.pdf,found by probing ICE's MOA naming pattern while its sheet still said link pending; verified against the PDF text,"""17df821a82f00d9cff94ea8ee6b19f76:1776693139.21428""","Mon, 20 Apr 2026 13:52:19 GMT",
agreements/agreements_probe_20260913/EveningShadePoliceDeptAR_TFM_MOA_04052026.pdf,518647fd28146c220bffa05b059ce8bfde4ae1274f812e44f3aa5961641334d3,https://www.ice.gov/doclib/287gMOA/EveningShadePoliceDeptAR_TFM_MOA_04052026.pdf,2026-09-13T18:25:51Z,Arkansas,Evening Shade Police Department,EveningShadePoliceDeptAR_TFM_MOA_04052026.pdf,found by probing ICE's MOA naming pattern while its sheet still said link pending; verified against the PDF text,"""5a96c11134666d138d5dbf5986275019:1776690976.515487""","Mon, 20 Apr 2026 13:16:16 GMT",
agreements/agreements_probe_20260913/LonokeCoSheriffsOfficeAR_WSO_MOA_04072026.pdf,0fe909df22dc2fdc89a5eb1848fd8934b48cb5ee8114168bd5cf5cd96eb31247,https://www.ice.gov/doclib/287gMOA/LonokeCoSheriffsOfficeAR_WSO_MOA_04072026.pdf,2026-09-13T18:25:51Z,Arkansas,Lonoke County Sheriff's Office,LonokeCoSheriffsOfficeAR_WSO_MOA_04072026.pdf,found by probing ICE's MOA naming pattern while its sheet still said link pending; verified against the PDF text,"""71917111bffdb457535a0d15f457d115:1776691326.868003""","Mon, 20 Apr 2026 13:22:06 GMT",
agreements/agreements_probe_20260913/ColumbiaPoliceDeptLA_TFM_MOA_04072026.pdf,8b349d6da904b4303be0468344f78f53216a806dd492e05ef67ad08bb383b749,https://www.ice.gov/doclib/287gMOA/ColumbiaPoliceDeptLA_TFM_MOA_04072026.pdf,2026-09-13T18:25:51Z,Louisiana,Columbia Police Department,ColumbiaPoliceDeptLA_TFM_MOA_04072026.pdf,found by probing ICE's MOA naming pattern while its sheet still said link pending; verified against the PDF text,"""21be4dfc5bd2c55fb98db0b3f33db376:1776693113.376613""","Mon, 20 Apr 2026 13:51:53 GMT",
agreements/agreements_probe_20260913/MarengoPoliceDeptIN_TFM_MOA_04132026.pdf,f3cb775fc4132c6ac00a0b7be8bb900b68ae93225d9c3f28f976a8741937516c,https://www.ice.gov/doclib/287gMOA/MarengoPoliceDeptIN_TFM_MOA_04132026.pdf,2026-09-13T18:25:51Z,Indiana,Marengo Police Department,MarengoPoliceDeptIN_TFM_MOA_04132026.pdf,found by probing ICE's MOA naming pattern while its sheet still said link pending; verified against the PDF text,"""10a35b0a7d9219e77769289da8a45630:1776693138.887992""","Mon, 20 Apr 2026 13:52:18 GMT",
