state,county,agency,cand_rank,leaic_name,leaic_county,ORI9,match_dist,county_close,digits_ok,accepted,crime_ori
Arkansas,Pulaksi County,Arkansas Department of Corrections,1,ARKANSAS CITY POLICE DEPARTMENT,DESHA,AR0210200,0.11578947368421055,FALSE,TRUE,FALSE,NA
Arkansas,Pulaksi County,Arkansas Department of Corrections,1,ARKANSAS CITY POLICE DEPARTMENT,DESHA,AR0210200,0.11578947368421055,FALSE,TRUE,FALSE,NA
Florida,NA,Boca Raton Police Services Department,1,BOCA RATON POLICE DEPARTMENT,PALM BEACH,FL0500200,0.09411764705882357,FALSE,TRUE,FALSE,NA
Florida,NA,Florida A&M University Board of Trustees,1,FLORIDA A & M UNIVERSITY POLICE,LEON,FL0370700,0.08125000000000003,FALSE,TRUE,FALSE,NA
Florida,Broward County,Florida Atlantic Police Department,1,FLORIDA ATLANTIC UNIVERSITY POLICE,PALM BEACH,FL0503700,0.08000000000000002,FALSE,TRUE,FALSE,NA
Florida,Broward County,Florida Atlantic Police Department,2,FLORIDA CITY POLICE DEPARTMENT,MIAMI-DADE,FL0130300,0.10666666666666667,FALSE,TRUE,FALSE,NA
Florida,NA,"Florida Department of Environmental Protection, Division of Law Enforcement",1,FL DEPT OF ENVIRONMENTAL PROTECT LE ENV INVEST,BAY,FL0034200,0.08457708720866618,FALSE,TRUE,FALSE,NA
Florida,NA,"Florida Department of Environmental Protection, Division of Law Enforcement",2,FL DEPT OF ENVIRONMENTAL PROTECT LE ENV INVEST,MIAMI-DADE,FL0134500,0.08457708720866618,FALSE,TRUE,FALSE,NA
Florida,NA,"Florida Department of Environmental Protection, Division of Law Enforcement",3,FL DEPT OF ENVIRONMENTAL PROTECT LE ENV INVEST,DUVAL,FL0162600,0.08457708720866618,FALSE,TRUE,FALSE,NA
Florida,#Na,Florida Fish & Wildlife Conservation Commission,1,FL FISH AND WILDLIFE CONSERVATION COMMISSION,BREVARD,FL0054000,3.3306690738754695e-17,FALSE,TRUE,FALSE,NA
Florida,#Na,Florida Fish & Wildlife Conservation Commission,2,FL FISH AND WILDLIFE CONSERVATION COMMISSION,MIAMI-DADE,FL0134000,3.3306690738754695e-17,FALSE,TRUE,FALSE,NA
Florida,#Na,Florida Fish & Wildlife Conservation Commission,3,FL FISH AND WILDLIFE CONSERVATION COMMISSION,HILLSBOROUGH,FL0294000,3.3306690738754695e-17,FALSE,TRUE,FALSE,NA
Florida,NA,Florida Polytechnic University Police Department,1,FLORIDA ATLANTIC UNIVERSITY POLICE,PALM BEACH,FL0503700,0.11231168831168833,FALSE,TRUE,FALSE,FL0530600
Florida,NA,Florida State Guard,1,FLORIDA STATE UNIVERSITY POLICE,LEON,FL0370600,0.10802139037433156,FALSE,TRUE,FALSE,NA
Florida,NA,Florida State Guard,2,FLORIDA CITY POLICE DEPARTMENT,MIAMI-DADE,FL0130300,0.11764705882352945,FALSE,TRUE,FALSE,NA
Florida,Miami-Dade County,Miami-Dade Sheriff's Office,1,MIAMI-DADE (COUNTY) POLICE DEPARTMENT,MIAMI-DADE,FL0130000,0.08750000000000002,TRUE,TRUE,FALSE,NA
Florida,Miami-Dade County,Miami-Dade Sheriff's Office,2,MIAMI DADE POLICE DEPARTMENT,MIAMI-DADE,FL0136800,0.08750000000000002,TRUE,TRUE,FALSE,NA
Florida,Miami-Dade County,Miami-Dade Sheriff's Office,3,MIAMI DADE POLICE DEPARTMENT,MIAMI-DADE,FL0136900,0.08750000000000002,TRUE,TRUE,FALSE,NA
Florida,Gadsden County,Midway Police Department,1,MIDWAY POLICE DEPARTMENT MIDWAY,GADSDEN,FL0200500,0.10000000000000002,TRUE,TRUE,FALSE,FL0200500
Florida,Duval County,Neptune Beach Police Department,1,NEPTUNE BEACH PUBLIC SAFETY DEPARTMENT,DUVAL,FL0160400,0.10000000000000002,TRUE,TRUE,TRUE,FL0160400
Florida,NA,North Palm Beach Police Department,1,NORTH MIAMI BEACH POLICE DEPARTMENT,MIAMI-DADE,FL0131000,0.08523809523809532,FALSE,TRUE,FALSE,FL0502300
Florida,NA,North Palm Beach Police Department,2,NORTH PALM BEACH PUBLIC SAFETY DEPARTMENT,PALM BEACH,FL0502300,0.09230769230769235,FALSE,TRUE,FALSE,FL0502300
Florida,NA,Ocean Ridge Police Department,1,OCEAN RIDGE PUBLIC SAFETY DEPT.,PALM BEACH,FL0502400,0.10909090909090911,FALSE,TRUE,FALSE,FL0502400
Florida,NA,Palm Springs Police Department,1,PALM SPRINGS PUBLIC SAFETY DEPT.,PALM BEACH,FL0502700,0.10434782608695657,FALSE,TRUE,FALSE,FL0502700
Florida,NA,Sunny Isles Police Department,1,SUNNY ISLES BEACH POLICE DEPARTMENT,MIAMI-DADE,FL0135100,0.06666666666666672,FALSE,TRUE,FALSE,NA
Florida,NA,Tallahassee State College Police Department,1,TALLAHASSEE POLICE DEPARTMENT,LEON,FL0370300,0.10434782608695657,FALSE,TRUE,FALSE,NA
Georgia,Walton County,Social Circle Police Department,1,SOCIAL CIRCLE DEPT. OF PUBLIC SAFETY,WALTON,GA1470300,0.10000000000000002,TRUE,TRUE,TRUE,GA1470300
Indiana,Henry County,Greensboro Police Department,1,GREENSBURG POLICE,DECATUR,IN0160100,0.08000000000000002,FALSE,TRUE,FALSE,NA
Indiana,Henry County,Greensboro Police Department,2,GREENS FORK POLICE DEPT,WAYNE,IN0890600,0.08000000000000002,FALSE,TRUE,FALSE,NA
Indiana,Henry County,Greensboro Police Department,3,GREENWOOD POLICE,JOHNSON,IN0410300,0.10444444444444446,FALSE,TRUE,FALSE,NA
Indiana,Henry County,Kennard Police Department,1,KENNARD PD NEW CASTLE,HENRY,IN0330800,0.11250000000000003,TRUE,TRUE,FALSE,NA
Indiana,Dekalb County,Waterloo Marshal's Office,1,WATERLOO POLICE,DE KALB,IN0170400,0.09333333333333338,TRUE,TRUE,FALSE,NA
Indiana,Dearborn County,West Harrison Police Department,1,SP: HARRISON COUNTY,HARRISON,IN331SP00,0.11666666666666675,FALSE,TRUE,FALSE,NA
Indiana,White County,Wolcott Police Department,1,WOLCOTTVILLE POLICE,LA GRANGE,IN0570700,0.08333333333333333,FALSE,TRUE,FALSE,NA
Louisiana,Livingston Parish,Denham Springs City Marshal,1,DENHAM SPRINGS POLICE DEPARTMENT,LIVINGSTON,LA0320100,0.07000000000000005,TRUE,TRUE,FALSE,NA
Louisiana,Livingston Parish,Denham Springs City Marshal,2,DENHAM SPRINGS POLICE DEPARTMENT,LIVINGSTON,LA0321100,0.07000000000000005,TRUE,TRUE,FALSE,NA
Louisiana,East Feliciana Parish,Jackson Marshals Office,1,JACKSON POLICE DEPARTMENT,EAST FELICIANA,LA0190200,0.10000000000000002,TRUE,TRUE,FALSE,NA
