qa_flags,state,county,agency,agency_facility_count,facility_name,facility_county,facility_source_county,facility_source_county_fips,facility_source_type,source,match_type,match_score,agreement_needs_review,facility_address,facility_city
fuzzy_match; county_mismatch,Alabama,Frankin County,Franklin County Sheriff's Office,1,Franklin County Jail,NA,NA,NA,JAILS,jails_prisons,fuzzy_state_facility,1,TRUE,748 Walnut Gate Road,Russellville
unexpected_source_type_for_county,Alabama,Franklin County,Franklin County Sheriff's Office,2,FRANKLIN COUNTY DETENTION CENTER,Franklin,Franklin,01059,LOCAL POLICE DEPARTMENT,hifld,exact_county_pattern_all_facilities,1,TRUE,748 WALNUT GATE ROAD,RUSSELLVILLE
fuzzy_match; county_mismatch,Arkansas,Pop County,Pope County Sheriff's Office,1,POPE COUNTY JAIL,Pope,Pope,05115,COUNTY,hifld_prisons,fuzzy_state_facility,1,TRUE,3 EMERGENCY LN,RUSSELLVILLE
unexpected_source_type_for_county,Florida,Bay County,Bay County Sheriff's Office,6,BAY COUNTY JAIL,Bay,Bay,12005,LOCAL POLICE DEPARTMENT,hifld,exact_county_pattern_all_facilities,1,TRUE,5600 NEHI ROAD,PANAMA CITY
many_facilities_for_agency,Florida,Broward County,Broward County Sheriff's Office,16,BROWARD COUNTY SHERIFFS OFFICE - CENTRAL BROWARD,Broward,Broward,12011,SHERIFF'S OFFICE,hifld,exact_county_pattern_all_facilities,1,TRUE,200 NORTHWEST 27TH AVENUE,FORT LAUDERDALE
many_facilities_for_agency,Florida,Broward County,Broward County Sheriff's Office,16,BROWARD COUNTY SHERIFFS OFFICE - COOPER CITY,Broward,Broward,12011,SHERIFF'S OFFICE,hifld,exact_county_pattern_all_facilities,1,TRUE,10580 STIRLING ROAD,HOLLYWOOD
many_facilities_for_agency,Florida,Broward County,Broward County Sheriff's Office,16,BROWARD COUNTY SHERIFFS OFFICE - COURTHOUSE SUBSTATION,Broward,Broward,12011,SHERIFF'S OFFICE,hifld,exact_county_pattern_all_facilities,1,TRUE,201 SOUTHEAST 6TH STREET,FORT LAUDERDALE
many_facilities_for_agency,Florida,Broward County,Broward County Sheriff's Office,16,BROWARD COUNTY SHERIFFS OFFICE - DANIA BEACH,Broward,Broward,12011,SHERIFF'S OFFICE,hifld,exact_county_pattern_all_facilities,1,TRUE,100 WEST DANIA BEACH BOULEVARD,DANIA BEACH
many_facilities_for_agency,Florida,Broward County,Broward County Sheriff's Office,16,BROWARD COUNTY SHERIFFS OFFICE - DEERFIELD BEACH,Broward,Broward,12011,SHERIFF'S OFFICE,hifld,exact_county_pattern_all_facilities,1,TRUE,300 NORTHEAST 2ND STREET,DEERFIELD BEACH
many_facilities_for_agency,Florida,Broward County,Broward County Sheriff's Office,16,BROWARD COUNTY SHERIFFS OFFICE - FORT LAUDERDALE INTERNATIONAL AIRPORT,Broward,Broward,12011,SHERIFF'S OFFICE,hifld,exact_county_pattern_all_facilities,1,TRUE,"200 TERMINAL DRIVE, TERMINAL 3",FORT LAUDERDALE
many_facilities_for_agency,Florida,Broward County,Broward County Sheriff's Office,16,BROWARD COUNTY SHERIFFS OFFICE - LAUDERDALE BY THE SEA,Broward,Broward,12011,SHERIFF'S OFFICE,hifld,exact_county_pattern_all_facilities,1,TRUE,4501 OCEAN DRIVE,LAUDERDALE BY THE SEA
many_facilities_for_agency,Florida,Broward County,Broward County Sheriff's Office,16,BROWARD COUNTY SHERIFFS OFFICE - LAUDERDALE LAKES,Broward,Broward,12011,SHERIFF'S OFFICE,hifld,exact_county_pattern_all_facilities,1,TRUE,4300 NORTHWEST 36TH STREET,FORT LAUDERDALE
many_facilities_for_agency,Florida,Broward County,Broward County Sheriff's Office,16,BROWARD COUNTY SHERIFFS OFFICE - NORTH LAUDERDALE,Broward,Broward,12011,SHERIFF'S OFFICE,hifld,exact_county_pattern_all_facilities,1,TRUE,701 SOUTHWEST 7TH STREET,NORTH LAUDERDALE
many_facilities_for_agency,Florida,Broward County,Broward County Sheriff's Office,16,BROWARD COUNTY SHERIFFS OFFICE - OAKLAND PARK,Broward,Broward,12011,SHERIFF'S OFFICE,hifld,exact_county_pattern_all_facilities,1,TRUE,5399 N DIXIE HWY,OAKLAND PARK
