state,county,agency,facility_name,source,facility_source_type,facility_operator_name,facility_source_state_fips,facility_source_county_fips,facility_status,doc_match_tier,doc_research_reason,facility_address,facility_city,facility_county,facility_latitude,facility_longitude
Alaska,NA,Alaska Department of Corrections,Barrow City Jail,jails_prisons,JAILS,NA,NA,NA,NA,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,1068 Kiogak Street,Barrow,NA,NA,NA
Alaska,NA,Alaska Department of Corrections,Bristol Bay Borough Jail,jails_prisons,JAILS,NA,NA,NA,NA,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,"Building 150, King Salmon AFB",King Salmon,NA,NA,NA
Alaska,NA,Alaska Department of Corrections,BRISTOL BAY BOROUGH POLICE DEPARTMENT / KING SALMON JAIL,hifld,LOCAL POLICE DEPARTMENT,NA,02,02060,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,"SHOOTING RANGE ROAD, BUILDING 150",KING SALMON,Bristol Bay,58.690334331,-156.657896202
Alaska,NA,Alaska Department of Corrections,Cordova City Jail,jails_prisons,JAILS,NA,NA,NA,NA,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,602 Railroad Avenue,Cordova,NA,NA,NA
Alaska,NA,Alaska Department of Corrections,Craig City Jail,jails_prisons,JAILS,NA,NA,NA,NA,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,506 Second Street,Craig,NA,NA,NA
Alaska,NA,Alaska Department of Corrections,CRAIG JAIL FACILITY,hifld_prisons,LOCAL,NA,02,02198,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,506 SECOND ST,CRAIG,Prince Of Wales-Hyder,55.475718201188215,-133.15209198615634
Alaska,NA,Alaska Department of Corrections,DILLINGHAM CORRECTIONS FACILITY,hifld_prisons,LOCAL,NA,02,02070,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,404 D STREET,DILLINGHAM,Dillingham,59.0409066137116,-158.46640015390793
Alaska,NA,Alaska Department of Corrections,Haines Rual Jail Facility,jails_prisons,JAILS,NA,NA,NA,NA,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,3rd & Haines Highway,Haines,NA,NA,NA
Alaska,NA,Alaska Department of Corrections,HOMER COMMUNITY JAIL,hifld_prisons,LOCAL,NA,02,02122,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,625 GRUBSTAKE AVE,HOMER,Kenai Peninsula,59.64423244261774,-151.52904713112244
Alaska,NA,Alaska Department of Corrections,Homer City Jail,jails_prisons,JAILS,NA,NA,NA,NA,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,4060 Heath Street,Homer,NA,NA,NA
Alaska,NA,Alaska Department of Corrections,KING SALMON JAIL,hifld_prisons,LOCAL,NA,02,02060,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,628 DISPATCH ROAD,KING SALMON,Bristol Bay,58.689590630780145,-156.66047939559434
Alaska,NA,Alaska Department of Corrections,KODIAK JAIL,hifld_prisons,LOCAL,NA,02,02150,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,2160 MILL BAY RD,KODIAK,Kodiak Island,57.8045160386508,-152.37295884612553
Alaska,NA,Alaska Department of Corrections,KOTZEBUE POLICE DEPARTMENT / KOTZEBUE JAIL,hifld,LOCAL POLICE DEPARTMENT,NA,02,02188,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,258 3RD AVENUE,KOTZEBUE,Northwest Arctic,66.896508341,-162.592350617
Alaska,NA,Alaska Department of Corrections,KOTZEBUE REGIONAL JAIL,hifld_prisons,LOCAL,NA,02,02188,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,258 D FOURTH AVE,KOTZEBUE,Northwest Arctic,66.89649852215676,-162.59241431689185
Alaska,NA,Alaska Department of Corrections,NORTH SLOPE BOROUGH CORRECTIONAL CENTER,hifld_prisons,COUNTY,NA,02,02185,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,1068 KIOGAK STREET,UTQIAGVIK,North Slope,71.29173735944882,-156.78822568754748
Alaska,NA,Alaska Department of Corrections,Petersburg Community Jail,jails_prisons,JAILS,NA,NA,NA,NA,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,14 S Nordic Drive,Petersburg,NA,NA,NA
Alaska,NA,Alaska Department of Corrections,SAND POINT JAIL,hifld_prisons,LOCAL,NA,02,02013,NOT AVAILABLE,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,100 SAND POINT AVE,SAND POINT,Aleutians East,55.340844336800735,-160.49812713306545
Alaska,NA,Alaska Department of Corrections,SAND POINT POLICE DEPARTMENT / SAND POINT JAIL,hifld,LOCAL POLICE DEPARTMENT,NA,02,02013,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,100 SAND POINT AVENUE,SAND POINT,Aleutians East,55.3410927,-160.4955525
Alaska,NA,Alaska Department of Corrections,SCAMMON BAY POLICE DEPARTMENT / SCAMMON BAY CITY JAIL,hifld,LOCAL POLICE DEPARTMENT,NA,02,02158,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,FRONT STREET,SCAMMON BAY,Kusilvak,61.843057914,-165.584267529
Alaska,NA,Alaska Department of Corrections,SEWARD COMMUNITY JAIL,hifld_prisons,LOCAL,NA,02,02122,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,410 ADAMS STREET,SEWARD,Kenai Peninsula,60.10313386310988,-149.43927614132866
Alaska,NA,Alaska Department of Corrections,SEWARD POLICE DEPARTMENT / SEWARD COMMUNITY JAIL,hifld,LOCAL POLICE DEPARTMENT,NA,02,02122,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,410 ADAMS STREET,SEWARD,Kenai Peninsula,60.1031743,-149.4391231
Alaska,NA,Alaska Department of Corrections,SITKA COMMUNITY JAIL,hifld_prisons,LOCAL,NA,02,02220,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,304 LAKE ST #102,SITKA,Sitka,57.05262150078749,-135.3336555375485
Alaska,NA,Alaska Department of Corrections,Sitka City Jail,jails_prisons,JAILS,NA,NA,NA,NA,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,"304 Lake Street, Room 102",Sitka,NA,NA,NA
Alaska,NA,Alaska Department of Corrections,UNALASKA CITY JAIL,hifld_prisons,LOCAL,NA,02,02016,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,29 SAFETY WAY,UNALASKA,Aleutians West,53.8712888481845,-166.54196133202672
Alaska,NA,Alaska Department of Corrections,Valdez City Jail,jails_prisons,JAILS,NA,NA,NA,NA,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,212 Chenega Avenue,Valdez,NA,NA,NA
Alaska,NA,Alaska Department of Corrections,WRANGELL CORRECTIONAL CENTER,hifld_prisons,LOCAL,NA,02,02275,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,431 ZIMOVIA HIGHWAY,WRANGELL,Wrangell,56.469394901779246,-132.3777338365273
Alaska,NA,Alaska Department of Corrections,Wrangell City Jail,jails_prisons,JAILS,NA,NA,NA,NA,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,431 Zimovia Highway,Wrangell,NA,NA,NA
Arizona,NA,Arizona Department of Corrections,APACHE COUNTY JAIL,hifld_prisons,COUNTY,NA,04,04001,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,370 S WASHINGTON ST,ST. JOHNS,Apache,34.501874486107795,-109.36524351902932
Arizona,NA,Arizona Department of Corrections,APACHE COUNTY SHERIFFS OFFICE / APACHE COUNTY JAIL,hifld,SHERIFF'S OFFICE,NA,04,04001,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,370 SOUTH WASHINGTON STREET,SAINT JOHNS,Apache,34.501734,-109.3652427
Arizona,NA,Arizona Department of Corrections,AVONDALE CITY DETENTION FACILITY,hifld_prisons,LOCAL,NA,04,04013,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,519 E WESTERN AVE,AVONDALE,Maricopa,33.43504646491986,-112.34406876295975
Arizona,NA,Arizona Department of Corrections,Avondale City Jail,jails_prisons,JAILS,NA,NA,NA,NA,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,519 East Western Avenue,Avondale,NA,NA,NA
Arizona,NA,Arizona Department of Corrections,AVONDALE POLICE DEPARTMENT - OLD TOWN SUB STATION / AVONDALE CITY JAIL,hifld,LOCAL POLICE DEPARTMENT,NA,04,04013,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,519 EAST WESTERN AVENUE,AVONDALE,Maricopa,33.4350578,-112.3440615
Arizona,NA,Arizona Department of Corrections,BUREAU OF INDIAN AFFAIRS - HOPI AGENCY,hifld_prisons,FEDERAL,NA,04,04017,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,"STATE ROUTE 264, MILEPOST 396",KEAMS CANYON,Navajo,35.81288938763232,-110.19776688468764
Arizona,NA,Arizona Department of Corrections,CENTRAL ARIZONA FLORENCE CORRECTIONAL COMPLEX - FLORENCE CORRECTIONAL CENTER,hifld_prisons,FEDERAL,NA,04,04021,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,1100 BOWLING RD,FLORENCE,Pinal,33.044270647861424,-111.37182769628711
Arizona,NA,Arizona Department of Corrections,CHINLE ADULT AND JUVENILE FACILITY,hifld_prisons,FEDERAL,NA,04,04001,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,BLDG. 1330 NAVAJO RT 7,CHINLE,Apache,36.150893869426795,-109.5583892741817
Arizona,NA,Arizona Department of Corrections,COCHISE COUNTY JAIL - MAIN,hifld_prisons,COUNTY,NA,04,04003,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,203 N JUDD DR,BISBEE,Cochise,31.433347542776218,-109.87092435669081
Arizona,NA,Arizona Department of Corrections,COCHISE COUNTY JAIL - SIERRA VISTA,hifld_prisons,COUNTY,NA,04,04003,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,100 COLONIA DE SALUD,SIERRA VISTA,Cochise,31.55300322580792,-110.23332923702739
Arizona,NA,Arizona Department of Corrections,COCHISE COUNTY JAIL - WILLCOX,hifld_prisons,COUNTY,NA,04,04003,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,450 S CURTISS AVE,WILLCOX,Cochise,32.24910025633082,-109.83561185305396
Arizona,NA,Arizona Department of Corrections,COCHISE COUNTY JUVENILE DETENTION CENTER,hifld_prisons,COUNTY,NA,04,04003,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,100 COLONIA DE SALUD,SIERRA VISTA,Cochise,31.553891710124695,-110.23318363073737
Arizona,NA,Arizona Department of Corrections,COCHISE COUNTY SHERIFFS OFFICE,hifld,SHERIFF'S OFFICE,NA,04,04003,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,205 NORTH JUDD DRIVE,BISBEE,Cochise,31.4328624,-109.871846
