audit_flags,state,county,agency,facility_name,source,facility_source_type,facility_operator_name,facility_source_state_fips,facility_source_county_fips,facility_status,doc_match_tier,doc_research_reason,facility_address,facility_city,facility_county,facility_latitude,facility_longitude
correctional_name_without_local_modifier,Alaska,NA,Alaska Department of Corrections,WRANGELL CORRECTIONAL CENTER,hifld_prisons,LOCAL,NA,02,02275,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,431 ZIMOVIA HIGHWAY,WRANGELL,Wrangell,56.469394901779246,-132.3777338365273
hifld_prisons_federal,Arizona,NA,Arizona Department of Corrections,BUREAU OF INDIAN AFFAIRS - HOPI AGENCY,hifld_prisons,FEDERAL,NA,04,04017,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,"STATE ROUTE 264, MILEPOST 396",KEAMS CANYON,Navajo,35.81288938763232,-110.19776688468764
prison_complex_name; hifld_prisons_federal; correctional_name_without_local_modifier,Arizona,NA,Arizona Department of Corrections,CENTRAL ARIZONA FLORENCE CORRECTIONAL COMPLEX - FLORENCE CORRECTIONAL CENTER,hifld_prisons,FEDERAL,NA,04,04021,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,1100 BOWLING RD,FLORENCE,Pinal,33.044270647861424,-111.37182769628711
hifld_prisons_federal,Arizona,NA,Arizona Department of Corrections,CHINLE ADULT AND JUVENILE FACILITY,hifld_prisons,FEDERAL,NA,04,04001,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,BLDG. 1330 NAVAJO RT 7,CHINLE,Apache,36.150893869426795,-109.5583892741817
hifld_prisons_federal,Arizona,NA,Arizona Department of Corrections,ELOY DETENTION CENTER,hifld_prisons,FEDERAL,NA,04,04021,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,1705 EAST HANNA ROAD,ELOY,Pinal,32.81769581187593,-111.52006847483814
hifld_prisons_federal,Arizona,NA,Arizona Department of Corrections,FCI PHOENIX,hifld_prisons,FEDERAL,NA,04,04013,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,37900 N 45TH AVE,PHOENIX,Maricopa,33.83391052145163,-112.16859556218314
hifld_prisons_federal,Arizona,NA,Arizona Department of Corrections,FCI PHOENIX CAMP,hifld_prisons,FEDERAL,NA,04,04013,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,37900 N 45TH AVE,PHOENIX,Maricopa,33.83270944718764,-112.16216925518124
hifld_prisons_federal,Arizona,NA,Arizona Department of Corrections,FCI SAFFORD,hifld_prisons,FEDERAL,NA,04,04009,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,1529 W HWY 366,SAFFORD,Graham,32.717073133738616,-109.72451459330811
hifld_prisons_federal,Arizona,NA,Arizona Department of Corrections,FCI TUCSON,hifld_prisons,FEDERAL,NA,04,04019,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,8901 S WILMOT RD,TUCSON,Pima,32.089570493515495,-110.85623975972192
hifld_prisons_federal,Arizona,NA,Arizona Department of Corrections,FLORENCE SERVICE PROCESSING CENTER,hifld_prisons,FEDERAL,NA,04,04021,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,3250 N PINAL PARKWAY,FLORENCE,Pinal,33.06404991907901,-111.38329560677694
hifld_prisons_federal,Arizona,NA,Arizona Department of Corrections,HUALAPAI ADULT DETENTION CENTER,hifld_prisons,FEDERAL,NA,04,04015,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,924 RODEO WAY,PEACH SPRINGS,Mohave,35.52649955602158,-113.42340189350514
hifld_prisons_federal,Arizona,NA,Arizona Department of Corrections,HUALAPAI JUVENILE DETENTION AND REHABILITATION CENTER,hifld_prisons,FEDERAL,NA,04,04015,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,108 HIGH VIEW DR,PEACH SPRINGS,Mohave,35.54233591937134,-113.41085200348888
hifld_prisons_federal,Arizona,NA,Arizona Department of Corrections,KAYENTA ADULT AND JUVENILE FACILITY,hifld_prisons,FEDERAL,NA,04,04017,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,US HWY 163,KAYENTA,Navajo,36.71438292239841,-110.25498543502
doc_or_state_name; hifld_prisons_federal,Arizona,NA,Arizona Department of Corrections,SALT RIVER DEPARTMENT OF CORRECTIONS,hifld_prisons,FEDERAL,NA,04,04013,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,3213 NORTH LONGMORE ROAD,SCOTTSDALE,Maricopa,33.48515862487439,-111.8640964834852
hifld_prisons_federal,Arizona,NA,Arizona Department of Corrections,SAN CARLOS ADULT / JUVENILE DETENTION CENTER,hifld_prisons,FEDERAL,NA,04,04007,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,INDIAN ROUTE 6 MP 10.5,SAN CARLOS,Gila,33.359902044246574,-110.48030877706374
hifld_prisons_federal,Arizona,NA,Arizona Department of Corrections,TUBA CITY ADULT CORRECTIONS,hifld_prisons,FEDERAL,NA,04,04005,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,240 S MAIN ST,TUBA CITY,Coconino,36.12800450513589,-111.23638148801273
hifld_prisons_federal,Arizona,NA,Arizona Department of Corrections,USP TUCSON,hifld_prisons,FEDERAL,NA,04,04019,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,9300 SOUTH WILMOT RD,TUCSON,Pima,32.08384224145333,-110.8671079596501
hifld_prisons_federal,Arizona,NA,Arizona Department of Corrections,USP TUCSON CAMP,hifld_prisons,FEDERAL,NA,04,04019,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,9300 SOUTH WILMOT RD,TUCSON,Pima,32.08116393343759,-110.86225187058297
hifld_prisons_federal,Arizona,NA,Arizona Department of Corrections,WINDOW ROCK ADULT FACILITY,hifld_prisons,FEDERAL,NA,04,04001,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,N RT 12 AND WINDOW ROCK BLVD,WINDOW ROCK,Apache,35.67342935688877,-109.0575905942699
hifld_prisons_federal,Arkansas,Pulaksi County,Arkansas Department of Corrections,FCI FORREST CITY LOW,hifld_prisons,FEDERAL,NA,05,05123,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,1400 DALE BUMPERS ROAD,FORREST CITY,St. Francis,34.98233924075582,-90.80306156513448
hifld_prisons_federal,Arkansas,Pulaksi County,Arkansas Department of Corrections,FCI FORREST CITY LOW CAMP,hifld_prisons,FEDERAL,NA,05,05123,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,1400 DALE BUMPERS ROAD,FORREST CITY,St. Francis,34.9805436879422,-90.79682654509529
hifld_prisons_federal,Arkansas,Pulaksi County,Arkansas Department of Corrections,FCI FORREST CITY MEDIUM,hifld_prisons,FEDERAL,NA,05,05123,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,1400 DALE BUMPERS ROAD,FORREST CITY,St. Francis,34.97528882369233,-90.7949032481442
correctional_name_without_local_modifier,Florida,NA,Florida Department of Corrections,JOHN E POLK CORRECTIONAL FACILITY,hifld_prisons,COUNTY,NA,12,12117,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,211 ESLINGER WAY,SANFORD,Seminole,28.747537179587056,-81.29916091074213
correctional_name_without_local_modifier,Florida,NA,Florida Department of Corrections,MONTGOMERY CORRECTIONAL CENTER,hifld_prisons,COUNTY,NA,12,12031,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,4727 LANNIE RD,JACKSONVILLE,Duval,30.53931230336091,-81.7262541566931
correctional_name_without_local_modifier,Florida,NA,Florida Department of Corrections,TURNER GUILFORD KNIGHT CORRECTIONAL CENTER,hifld_prisons,COUNTY,NA,12,12086,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,7000 NW 41ST ST,MIAMI,Miami-Dade,25.810251635917428,-80.31182278441545
hifld_prisons_federal,Florida,NA,Florida Department of Corrections,BROWARD TRANSITIONAL CENTER,hifld_prisons,FEDERAL,NA,12,12011,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,3900 N POWERLINE RD,POMPANO BEACH,Broward,26.27726072667521,-80.15078663913921
hifld_prisons_federal,Florida,NA,Florida Department of Corrections,FCI COLEMAN LOW,hifld_prisons,FEDERAL,NA,12,12119,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,846 NE 54TH TERRACE,SUMTERVILLE,Sumter,28.77064829773928,-82.01175614329847
hifld_prisons_federal,Florida,NA,Florida Department of Corrections,FCI COLEMAN LOW CAMP,hifld_prisons,FEDERAL,NA,12,12119,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,846 NE 54TH TERRACE,SUMTERVILLE,Sumter,28.762793183506904,-82.01491905410394
hifld_prisons_federal,Florida,NA,Florida Department of Corrections,FCI COLEMAN MEDIUM,hifld_prisons,FEDERAL,NA,12,12119,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,846 NE 54TH TERRACE,SUMTERVILLE,Sumter,28.76625071033905,-82.00753866597078
