state,county,agency,facility_name,source,facility_source_type,facility_operator_name,facility_source_state_fips,facility_source_county_fips,facility_status,doc_match_tier,doc_research_reason,facility_address,facility_city,facility_county,facility_latitude,facility_longitude
Alaska,NA,Alaska Department of Corrections,ALASKA DEPARTMENT OF CORRECTIONS - SPRING CREEK CORRECTIONAL CENTER,hifld,PRIMARY STATE AGENCY,NA,02,02122,OPEN,doc_needs_research,prison-like or ambiguous name from law-enforcement source,"NASH ROAD, MILE 5",SEWARD,Kenai Peninsula,60.093163,-149.3359416
Alaska,NA,Alaska Department of Corrections,NORTH SLOPE BOROUGH POLICE DEPARTMENT / NORTH SLOPE BOROUGH CORRECTIONAL CENTER,hifld,LOCAL POLICE DEPARTMENT,NA,02,02185,OPEN,doc_needs_research,prison-like or ambiguous name from law-enforcement source,1068 KIOGAK STREET,BARROW,North Slope,71.29214895,-156.786232754
Arizona,NA,Arizona Department of Corrections,ARIZONA STATE PRISON COMPLEX - DOUGLAS,hifld,PRIMARY STATE AGENCY,NA,04,04003,OPEN,doc_needs_research,prison-like or ambiguous name from law-enforcement source,6911 NORTH BDI BOULEVARD,DOUGLAS,Cochise,31.460786108,-109.591668659
Arizona,NA,Arizona Department of Corrections,CENTRAL ARIZONA FLORENCE CORRECTIONAL COMPLEX - DETENTION CENTER,hifld_prisons,MULTI,NA,04,04021,OPEN,doc_needs_research,hifld_prisons type is MULTI or NOT AVAILABLE,1155 N PINAL PKWY,FLORENCE,Pinal,33.044173240415695,-111.37549808556945
Arizona,NA,Arizona Department of Corrections,GRAHAM COUNTY SHERIFFS OFFICE / GRAHAM COUNTY ADULT DETENTION CENTER,hifld,SHERIFF'S OFFICE,NA,04,04009,OPEN,doc_needs_research,prison-like or ambiguous name from law-enforcement source,523 SOUTH 10TH AVENUE,SAFFORD,Graham,32.8339603,-109.7184891
Arizona,NA,Arizona Department of Corrections,PINAL COUNTY SHERIFFS OFFICE / PINAL COUNTY ADULT DETENTION CENTER,hifld,SHERIFF'S OFFICE,NA,04,04021,OPEN,doc_needs_research,prison-like or ambiguous name from law-enforcement source,"971 JASON LOPEZ CIRCLE, BUILDING C",FLORENCE,Pinal,33.0403735,-111.3761353
Arizona,NA,Arizona Department of Corrections,SAN LUIS REGIONAL DETENTION CENTER,hifld_prisons,MULTI,NA,04,04027,OPEN,doc_needs_research,hifld_prisons type is MULTI or NOT AVAILABLE,406 N AVENUE D,SAN LUIS,Yuma,32.48454733222053,-114.68495937590565
Arizona,NA,Arizona Department of Corrections,YAVAPAI SHERIFFS OFFICE - CAMP VERDE SUBSTATION / YAVAPAI DETENTION CENTER - EASTERN DETENTION BUREAU,hifld,SHERIFF'S OFFICE,NA,04,04025,OPEN,doc_needs_research,prison-like or ambiguous name from law-enforcement source,3505 WEST STATE HIGHWAY 260,CAMP VERDE,Yavapai,34.6106583,-111.9160378
Arizona,NA,Arizona Department of Corrections,YUMA COUNTY SHERIFFS OFFICE / YUMA COUNTY DETENTION CENTER,hifld,SHERIFF'S OFFICE,NA,04,04027,OPEN,doc_needs_research,prison-like or ambiguous name from law-enforcement source,141 SOUTH 3RD AVENUE,YUMA,Yuma,32.724654,-114.6224525
Arkansas,Pulaksi County,Arkansas Department of Corrections,COLUMBIA COUNTY DETENTION CENTER / COLUMBIA COUNTY SHERIFFS,hifld,SHERIFF'S OFFICE,NA,05,05027,OPEN,doc_needs_research,prison-like or ambiguous name from law-enforcement source,82 COLUMBIA ROAD 300,MAGNOLIA,Columbia,33.2648602,-93.2658504
Arkansas,Pulaksi County,Arkansas Department of Corrections,SOUTHEAST ARKANSAS LAW ENFORCEMENT CENTER - ALCOHOL TOBACCO FIREARMS AND EXPLOSIVES,hifld,SPECIAL JURISDICTION,NA,05,05041,OPEN,doc_needs_research,prison-like or ambiguous name from law-enforcement source,605 UNITED STATES HIGHWAY 65,DUMAS,Desha,33.899488936,-91.491282442
Arkansas,Pulaksi County,Arkansas Department of Corrections,SOUTHEAST ARKANSAS LAW ENFORCEMENT CENTER-DESHA COUNTY SHERIFF SUBSTATION,hifld,SHERIFF'S OFFICE,NA,05,05041,OPEN,doc_needs_research,prison-like or ambiguous name from law-enforcement source,605 UNITED STATES HIGHWAY 65,DUMAS,Desha,33.899301696,-91.491221125
Arkansas,Pulaksi County,Arkansas Department of Corrections,SOUTHEAST ARKANSAS LAW ENFORCEMENT CENTER- HIGHWAY PATROL STATION,hifld,PRIMARY STATE AGENCY,NA,05,05041,OPEN,doc_needs_research,prison-like or ambiguous name from law-enforcement source,605 UNITED STATES HIGHWAY 65,DUMAS,Desha,33.899454313,-91.491350536
Arkansas,Pulaksi County,Arkansas Department of Corrections,SOUTHEAST ARKANSAS LAW ENFORCEMENT CENTER- STATE POLICE TROOP E,hifld,PRIMARY STATE AGENCY,NA,05,05041,OPEN,doc_needs_research,prison-like or ambiguous name from law-enforcement source,605 UNITED STATES HIGHWAY 65,DUMAS,Desha,33.899350065,-91.491168666
Commonwealth of the Northern Mariana Islands,#Na,CNMI Department of Corrections,SAIPAN CORRECTIONAL FACILITY,hifld_prisons,MULTI,NA,69,69110,OPEN,doc_needs_research,hifld_prisons type is MULTI or NOT AVAILABLE,VINCENTE TAMAN SEMAN BUILDING,SUSUPE,Saipan,15.15768999967106,145.70734397399212
Florida,NA,Florida Department of Corrections,BAKER COUNTY DETENTION CENTER,hifld_prisons,MULTI,NA,12,12003,OPEN,doc_needs_research,hifld_prisons type is MULTI or NOT AVAILABLE,1 SHERIFF'S OFFICE DRIVE,MACCLENNY,Baker,30.296349025777317,-82.12162750913448
Florida,NA,Florida Department of Corrections,CITRUS COUNTY DETENTION FACILITY,hifld_prisons,MULTI,NA,12,12017,OPEN,doc_needs_research,hifld_prisons type is MULTI or NOT AVAILABLE,2604 WEST WOODLAND RIDGE DRIVE,LECANTO,Citrus,28.845228974956488,-82.47638515844301
Florida,NA,Florida Department of Corrections,FLORIDA DEPT OF JUVENILE JUSTICE,hifld,SPECIAL JURISDICTION,NA,12,12073,OPEN,doc_needs_research,prison-like or ambiguous name from law-enforcement source,2737 CENTERVIEW DRIVE,TALLAHASSEE,Leon,30.419552482,-84.233991411
Florida,NA,Florida Department of Corrections,FLORIDA DEPARTMENT OF JUVENILE JUSTICE CENTRAL REGION - DESOTO JUVENILE CORRECTIONS FACILITY,hifld,PRIMARY STATE AGENCY,NA,12,12027,OPEN,doc_needs_research,prison-like or ambiguous name from law-enforcement source,5991 SOUTHEAST STATE HIGHWAY 31,ARCADIA,Desoto,27.134695164,-81.799687395
Florida,NA,Florida Department of Corrections,HILLSBOROUGH COUNTY SHERIFFS DEPARTMENT - HILLSBOROUGH COUNTY DETENTION,hifld,SHERIFF'S OFFICE,NA,12,12057,OPEN,doc_needs_research,prison-like or ambiguous name from law-enforcement source,1201 NORTH ORIENT ROAD,TAMPA,Hillsborough,27.9587807,-82.3712992
Florida,NA,Florida Department of Corrections,HILLSBOROUGH COUNTY SHERIFFS DEPARTMENT - WORK RELEASE CENTER,hifld,SHERIFF'S OFFICE,NA,12,12057,OPEN,doc_needs_research,prison-like or ambiguous name from law-enforcement source,1800 ORIENT ROAD,TAMPA,Hillsborough,27.9600945,-82.373743
Florida,NA,Florida Department of Corrections,INDIAN RIVER COUNTY SHERIFFS DEPARTMENT / INDIAN COUNTY DETENTION FACILITY,hifld,SHERIFF'S OFFICE,NA,12,12061,OPEN,doc_needs_research,prison-like or ambiguous name from law-enforcement source,4055 41ST AVENUE,VERO BEACH,Indian River,27.664594744,-80.427529203
Florida,NA,Florida Department of Corrections,LAKE COUNTY DETENTION CENTER,hifld,LOCAL POLICE DEPARTMENT,NA,12,12069,OPEN,doc_needs_research,prison-like or ambiguous name from law-enforcement source,551 WEST MAIN STREET,TAVARES,Lake,28.801913368,-81.732930077
Florida,NA,Florida Department of Corrections,MANATEE COUNTY DETENTION FACILITY,hifld,LOCAL POLICE DEPARTMENT,NA,12,12081,OPEN,doc_needs_research,prison-like or ambiguous name from law-enforcement source,14470 HARLEE ROAD,PALMETTO,Manatee,27.6412319,-82.5355508
Florida,NA,Florida Department of Corrections,PASCO COUNTY SHERIFFS OFFICE / PASCO COUNTY DETENTION FACILITY WEST JAIL,hifld,SHERIFF'S OFFICE,NA,12,12101,OPEN,doc_needs_research,prison-like or ambiguous name from law-enforcement source,8700 CITIZEN DRIVE,NEW PORT RICHEY,Pasco,28.2681159,-82.6699356
Florida,NA,Florida Department of Corrections,VOLUSIA COUNTY SHERIFFS DEPARTMENT - CRIMINAL JUSTICE CENTER,hifld,SHERIFF'S OFFICE,NA,12,12127,OPEN,doc_needs_research,prison-like or ambiguous name from law-enforcement source,251 NORTH RIDGEWOOD AVENUE,DAYTONA BEACH,Volusia,29.2152963,-81.0234794
