source,state,agency,date_signed,moa_file
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Alabama,"Alabama, State of",,stateofalabamadepartmentofpublicsafety.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Alabama,Etowah County Sheriff's Office,2016-06-08,287gJEM_EtowahCoAl2016-06-18.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Arizona,Arizona Department of Corrections,2016-06-08,287gJEM_ArizonaDepartmentofCorrectionsAZ2016-06-08.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Arizona,Arizona Department of Public Safety,,arizonadepartmentofpublicsafety.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Arizona,Maricopa County,,maricopacounty.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Arizona,Mesa Police Department,2016-06-23,287gJEM_MesaPoliceDeparmentAz2016-06-23.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Arizona,Phoenix Police Department,,phoenixpolicedepartment.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Arizona,Pima County Sheriff's Office,,pimacountysheriffsoffice.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Arizona,Pinal County Sheriff's Office,2009-10-15,pinalcountysheriffsoffice.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Arizona,Pinal County Sheriff's Office,2016-06-13,287gJEM_PinalCoAz2016-06-13.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Arizona,Yavapai County Sheriff's Office,2009-10-15,yavapaicountysheriffsoffice.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Arkansas,Benton County Sheriff's Office,2007-09-20,bentoncountyarkansassheriffsoffice.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Arkansas,Benton County Sheriff's Office,2016-06-13,r_287gbentoncounty.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Arkansas,Craighead County Sheriff's Office,2019-02-28,287gJEM_CraigheadCoAr2019-02-28.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Arkansas,Rogers Police Department,,rogersarkansaspolicedepartment.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Arkansas,Springdale Arkansas Police Department,,springdalearkansaspolicedepartment.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Arkansas,Washington County Sheriff's Office,2009-10-07,washingtoncountyarkansassheriffsoffice.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Arkansas,Washington County Sheriff's Office,2016-06-23,287gJEM_WashingtonCoAr2016-06-23.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Colorado,Colorado DPS / Colorado State Patrol,,coloradodepartmentofpublicsafetycoloradostatepatrol.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Colorado,El Paso County Sheriff's Office,,elpasocountysheriffsoffice.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Colorado,Teller County Sheriff's Office,2019-01-06,287gJEM_TellerCoCo2019-01-06.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),California,Los Angeles County Board of Supervisors,,losangeles_county_board_of_supervisors.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),California,"Orange, County of",2006-11-02,countyoforange.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),California,Orange County Sheriff's Department,2016-06-23,287gOrangeCountyCa2016-06-23.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),California,Riverside County Sheriff's Office,,riversidecountysheriffsoffice.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),California,San Bernardino County,,sanbernardinocounty.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Florida,Collier County Sheriff's Office,,colliercountysheriffsoffice.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Florida,Clay County Sheriff's Office,2017-06-30,clay-fl-2017.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Florida,Hernando County Sheriff's Office,2018-02-27,287gJEM_HernandoCoFl2018-02-27.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Florida,Jacksonville County Sheriff's Office,2016-06-30,287gJEM_JacksonvilleCoFl2016-06-30.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Florida,Jacksonville County Sheriff's Office,2020-06-09,287gJEM_JacksonvilleCoFl2020-06-09.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Florida,Lake County Sheriff's Office,,lakecountyfl.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Florida,Pasco County Sheriff's Office,2017-08-22,287gPascoFl2017_8_22.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Florida,Pasco County Sheriff's Office,2020-06-10,287gPascoFl2020-06-10.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Georgia,Cobb County SO and Board of Commissioners,2007-01-31,cobbcountysheriffsofficeandcobbcountyboardofcommissioners.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Georgia,Cobb County Sheriff's Office,2016-06-30,r_287gcobbcounty.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Georgia,Cobb County Sheriff's Office,2020-06-09,287gJEMCobbCoGA_06-09-2020.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Georgia,Georgia Department of Corrections,2018-02-05,287gJEM_GeorgiaDeparmentofCorrectionsGa2018-02-05.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Georgia,"Georgia, State of",,stateofgeorgiadepartmentofpublicsafety.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Georgia,Gwinnett County Sheriff's Office,2016-06-30,r_287ggwinnetcountyso.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Georgia,Gwinnett County Sheriff's Office,2020-03-12,287gJEM_GwinnettCoGa2020-03-12.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Georgia,Hall County Sheriff's Office,2009-10-15,hallcountysheriffsoffice.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Georgia,Hall County Sheriff's Office,2016-06-23,287gJEM_HallCoGa2016-06-23.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Illinois,Cook County State's Attorney's Office,,moucookcountystatesattorneysoffice.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Louisiana,East Baton Rouge Parish Sheriff's Office,2017-05-03,287gBatonRougeLa2017-05-03.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Louisiana,East Baton Rouge Parish Sheriff's Office,2020-06-09,287gBatonRougeLa2020-06-09.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Louisiana,Ouachita Parish Sheriff's Office,2019-02-28,287gJEM_OuachitaPLa2019-02-28.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Louisiana,Ouachita Parish Sheriff's Office,2020-06-08,287gJEM_OuachitaCoLA_06-08-2020.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Louisiana,Terrebonne Parish Sheriff's Office,2019-02-28,287gJEM_TerrebonnePLa2019-02-28.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Maryland,Cecil County Sheriff's Office,2019-02-13,cecilCountyMD_MOA_02132019.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Maryland,Frederick County Sheriff's Office,2008-02-01,frederickcountysheriffsoffice.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Maryland,Frederick County Sheriff's Office,2016-08-03,Frederick_County_MOA_2016.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Maryland,Harford County Sheriff's Office,2016-10-26,287gJEM_HarfordCoMd2016-10-26.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Massachusetts,Barnstable County Sheriff's Office,2007-08-25,barnstablecountysheriffsoffice.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Massachusetts,Barnstable County Sheriff's Office,2020-06-09,287gJEM_BarnstableCoMA2020-06-09.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Massachusetts,Bristol County Sheriff's Office,2017-01-18,Bristol_MOA_01182017.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Massachusetts,Bristol County Sheriff's Office,2017-02-08,287gBristolMa2017-02-08.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Massachusetts,Bristol County Sheriff's Office,2020-06-08,287gJEM_BristolCoMA_06-08-2020.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Massachusetts,Framingham Police Department,,framinghammassachusettspolicedepartment.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Massachusetts,Massachusetts Department of Correction,2016-06-23,massachusettsdepartmentofcorrections.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Massachusetts,Plymouth County Sheriff's Department,2017-01-18,Plymouth_MOA_01182017.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Massachusetts,Plymouth County Sheriff's Department,2020-06-08,287gJEM_PlymouthCoMA2020-06-08.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Missouri,Missouri State Highway Patrol,,287goldmissouristatehighwaypatrol.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Nebraska,Dakota County Sheriff's Office,2018-01-16,287g-DAKOTACounty.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Nevada,Las Vegas Metropolitan Police Department,2008-09-08,287goldlasvegasmpd.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Nevada,Las Vegas Metropolitan Police Department,2019-06-03,r_287glasvegaspd.pdf
ICE 287(g) MOA archive index (retrieved 20 Apr 2026),Nevada,Lyon County Sheriff's Office,2018-05-04,287gJEM_LyonCoNv2018-05-04.pdf
