source,capture,as_of,state,state_abbr,agency
"ICE 287(g) partners page, agency list as of 2007-09-19 (Wayback 20080114130103)",20080114130103,2007-09-19,Alabama,AL,Alabama State Police
"ICE 287(g) partners page, agency list as of 2007-09-19 (Wayback 20080114130103)",20080114130103,2007-09-19,Arizona,AZ,AZ Department of Public Safety
"ICE 287(g) partners page, agency list as of 2007-09-19 (Wayback 20080114130103)",20080114130103,2007-09-19,Arizona,AZ,Department of Corrections
"ICE 287(g) partners page, agency list as of 2007-09-19 (Wayback 20080114130103)",20080114130103,2007-09-19,Arizona,AZ,Maricopa County Sheriff's Office
"ICE 287(g) partners page, agency list as of 2007-09-19 (Wayback 20080114130103)",20080114130103,2007-09-19,California,CA,Los Angeles County Sheriff's Department
"ICE 287(g) partners page, agency list as of 2007-09-19 (Wayback 20080114130103)",20080114130103,2007-09-19,California,CA,Orange County Sheriff's Office
"ICE 287(g) partners page, agency list as of 2007-09-19 (Wayback 20080114130103)",20080114130103,2007-09-19,California,CA,Riverside County Sheriff's Office
"ICE 287(g) partners page, agency list as of 2007-09-19 (Wayback 20080114130103)",20080114130103,2007-09-19,California,CA,San Bernardino County Sheriff's Office
"ICE 287(g) partners page, agency list as of 2007-09-19 (Wayback 20080114130103)",20080114130103,2007-09-19,Colorado,CO,CO Dept. of Public Safety
"ICE 287(g) partners page, agency list as of 2007-09-19 (Wayback 20080114130103)",20080114130103,2007-09-19,Colorado,CO,El Paso County Sheriff's Office
"ICE 287(g) partners page, agency list as of 2007-09-19 (Wayback 20080114130103)",20080114130103,2007-09-19,Florida,FL,Collier County Sheriff's Office
"ICE 287(g) partners page, agency list as of 2007-09-19 (Wayback 20080114130103)",20080114130103,2007-09-19,Florida,FL,Florida Department of Law Enforcement
"ICE 287(g) partners page, agency list as of 2007-09-19 (Wayback 20080114130103)",20080114130103,2007-09-19,Georgia,GA,Cobb County Sheriff's Office
"ICE 287(g) partners page, agency list as of 2007-09-19 (Wayback 20080114130103)",20080114130103,2007-09-19,Georgia,GA,Department of Public Safety
"ICE 287(g) partners page, agency list as of 2007-09-19 (Wayback 20080114130103)",20080114130103,2007-09-19,Massachusetts,MA,Barnstable County Sheriff's Office
"ICE 287(g) partners page, agency list as of 2007-09-19 (Wayback 20080114130103)",20080114130103,2007-09-19,Massachusetts,MA,Department of Corrections
"ICE 287(g) partners page, agency list as of 2007-09-19 (Wayback 20080114130103)",20080114130103,2007-09-19,Massachusetts,MA,Framingham Police Department
"ICE 287(g) partners page, agency list as of 2007-09-19 (Wayback 20080114130103)",20080114130103,2007-09-19,New Hampshire,NH,Hudson City Police Department
"ICE 287(g) partners page, agency list as of 2007-09-19 (Wayback 20080114130103)",20080114130103,2007-09-19,North Carolina,NC,Alamance County Sheriff's Office
"ICE 287(g) partners page, agency list as of 2007-09-19 (Wayback 20080114130103)",20080114130103,2007-09-19,North Carolina,NC,Cabarrus County Sheriff's Office
"ICE 287(g) partners page, agency list as of 2007-09-19 (Wayback 20080114130103)",20080114130103,2007-09-19,North Carolina,NC,Gaston County Sheriff's Office
"ICE 287(g) partners page, agency list as of 2007-09-19 (Wayback 20080114130103)",20080114130103,2007-09-19,North Carolina,NC,Mecklenburg County Sheriff's Office
"ICE 287(g) partners page, agency list as of 2007-09-19 (Wayback 20080114130103)",20080114130103,2007-09-19,Oklahoma,OK,Tulsa County Sheriff's Office
