source,as_of,state,agency,model,date_signed_original,status
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,Alabama,Alabama Department of Public Safety,Task Force,2003-09-10,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,Alabama,Etowah County Sheriff's Office,Jail Enforcement,2008-07-08,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,Arkansas,Benton County Sheriff's Office,Hybrid,2007-09-26,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,Arkansas,City of Springdale Police Department,Task Force,2007-09-26,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,Arkansas,Rogers Police Department,Task Force,2007-09-25,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,Arkansas,Washington County Sheriff's Office,Hybrid,2007-09-26,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,Arizona,Arizona Department of Corrections,Jail Enforcement,2005-09-16,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,Arizona,Arizona Department of Public Safety,Task Force,2007-04-15,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,Arizona,City of Mesa Police Department,Task Force,,pending
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,Arizona,City of Phoenix Police Department,Task Force,2008-03-10,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,Arizona,Florence Police Department,Task Force,2009-10-21,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,Arizona,Maricopa County Sheriff's Office,Jail Enforcement,2007-02-07,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,Arizona,Pima County Sheriff's Office,Hybrid,2008-03-10,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,Arizona,Pinal County Sheriff's Office,Hybrid,2008-03-10,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,Arizona,Yavapai County Sheriff's Office,Hybrid,2008-03-10,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,California,San Bernardino County Sheriff's Office,Jail Enforcement,2005-10-19,pending
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,Colorado,Colorado Department of Public Safety,Task Force,2007-03-29,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,Colorado,El Paso County Sheriff's Office,Jail Enforcement,2007-05-17,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,Connecticut,City of Danbury Police Department,Task Force,2009-10-15,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,Delaware,Delaware Department of Corrections,Jail Enforcement,2009-10-15,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,Florida,Bay County Sheriff's Office,Task Force,2008-06-15,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,Florida,Collier County Sheriff's Office,Hybrid,2007-08-06,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,Florida,Florida Department of Law Enforcement,Task Force,2002-07-02,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,Florida,Jacksonville Sheriff's Office,Jail Enforcement,2008-07-08,pending
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,Georgia,Cobb County Sheriff's Office,Jail Enforcement,2007-02-13,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,Georgia,Georgia Department of Public Safety,Task Force,2007-07-27,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,Georgia,Gwinnett County Sheriff's Office,Jail Enforcement,2009-10-15,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,Georgia,Hall County Sheriff's Office,Hybrid,2008-02-29,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,Georgia,Whitfield County Sheriff's Office,Jail Enforcement,2008-02-04,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,Maryland,Frederick County Sheriff's Office,Hybrid,2008-02-06,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,Minnesota,Minnesota Department of Public Safety,Task Force,2008-09-22,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,Missouri,Missouri State Highway Patrol,Task Force,2008-06-25,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,Nevada,Las Vegas Metropolitan Police Department,Jail Enforcement,2008-09-08,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,New Hampshire,Hudson City Police Department,Task Force,2007-05-05,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,New Jersey,Hudson County Department of Corrections,Jail Enforcement,2008-08-11,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,New Jersey,Monmouth County Sheriff's Office,Jail Enforcement,2009-10-15,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,North Carolina,Alamance County Sheriff's Office,Jail Enforcement,2007-01-10,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,North Carolina,Cabarrus County Sheriff's Office,Jail Enforcement,2007-08-02,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,North Carolina,Durham Police Department,Task Force,2008-02-01,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,North Carolina,Gaston County Sheriff's Office,Jail Enforcement,2007-02-22,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,North Carolina,Guilford County Sheriff's Office,Task Force,2009-10-15,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,North Carolina,Henderson County Sheriff's Office,Jail Enforcement,2008-06-25,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,North Carolina,Mecklenburg County Sheriff's Office,Jail Enforcement,2006-02-27,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,North Carolina,Wake County Sheriff's Office,Jail Enforcement,2008-06-25,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,Ohio,Butler County Sheriff's Office,Hybrid,2008-02-05,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,Oklahoma,Tulsa County Sheriff's Office,Hybrid,2007-08-06,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,Rhode Island,Rhode Island Department of Corrections,Jail Enforcement,,pending
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,Rhode Island,Rhode Island State Police,Task Force,2009-10-15,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,South Carolina,Beaufort County Sheriff's Office,Task Force,2008-06-25,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,South Carolina,Charleston County Sheriff's Office,Jail Enforcement,,pending
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,South Carolina,York County Sheriff's Office,Jail Enforcement,2007-10-16,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,Tennessee,Davidson County Sheriff's Office,Jail Enforcement,2007-02-21,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,Tennessee,Tennessee Department of Safety,Task Force,2008-06-25,signed
DHS OIG-10-63 App. E Table 3 (28 Oct 2009),2009-10-28,Texas,Carrollton Police Department,Jail Enforcement,2008-08-12,signed
