source_id,agency_id,resolution,state,agency_raw,field,value,value_date,as_of,evidence
ice_archive_index,AL-department-of-public-safety,alias,Alabama,"Alabama, State of",moa_file,stateofalabamadepartmentofpublicsafety.pdf,,2026-04-20,inputs/historical/ice_live_287gMOA_index_2026-04-20.tsv#row1
ice_archive_index,AL-etowah-county-sheriff-office,canonical,Alabama,Etowah County Sheriff's Office,moa_file,287gJEM_EtowahCoAl2016-06-18.pdf,,2026-04-20,inputs/historical/ice_live_287gMOA_index_2026-04-20.tsv#row2
ice_archive_index,AL-etowah-county-sheriff-office,canonical,Alabama,Etowah County Sheriff's Office,signed,2016-06-08,2016-06-08,2026-04-20,inputs/historical/ice_live_287gMOA_index_2026-04-20.tsv#row2
ice_archive_index,AZ-department-of-correction,canonical,Arizona,Arizona Department of Corrections,moa_file,287gJEM_ArizonaDepartmentofCorrectionsAZ2016-06-08.pdf,,2026-04-20,inputs/historical/ice_live_287gMOA_index_2026-04-20.tsv#row3
ice_archive_index,AZ-department-of-correction,canonical,Arizona,Arizona Department of Corrections,signed,2016-06-08,2016-06-08,2026-04-20,inputs/historical/ice_live_287gMOA_index_2026-04-20.tsv#row3
ice_archive_index,AZ-department-of-public-safety,canonical,Arizona,Arizona Department of Public Safety,moa_file,arizonadepartmentofpublicsafety.pdf,,2026-04-20,inputs/historical/ice_live_287gMOA_index_2026-04-20.tsv#row4
ice_archive_index,AZ-maricopa-county-sheriff-office,prefix_containment,Arizona,Maricopa County,moa_file,maricopacounty.pdf,,2026-04-20,inputs/historical/ice_live_287gMOA_index_2026-04-20.tsv#row5
ice_archive_index,AZ-mesa-police-department,canonical,Arizona,Mesa Police Department,moa_file,287gJEM_MesaPoliceDeparmentAz2016-06-23.pdf,,2026-04-20,inputs/historical/ice_live_287gMOA_index_2026-04-20.tsv#row6
ice_archive_index,AZ-mesa-police-department,canonical,Arizona,Mesa Police Department,signed,2016-06-23,2016-06-23,2026-04-20,inputs/historical/ice_live_287gMOA_index_2026-04-20.tsv#row6
ice_archive_index,AZ-phoenix-police-department,canonical,Arizona,Phoenix Police Department,moa_file,phoenixpolicedepartment.pdf,,2026-04-20,inputs/historical/ice_live_287gMOA_index_2026-04-20.tsv#row7
