page,text,ori_tokens
5,"Requests for additions, deletions, or corrections of ORI's should",ADDITIONS;DELETIONS
8,CORRECTIONS AND *SHERIFF'S OFFICE BIRMINGHAM JEFFERSON AL0010000,JEFFERSON;AL0010000
15,ARIZONA STATE PRISON FLORENCE N/A AZ0119500 KEARNY PD KEARNY PINAL AZ0110900,AZ0119500;AZ0110900
15,*ARIZONA STATE PRISON FLORENCE N/A AZ0119500 “SHERIFF'S OFFICE PRESCOTT YAVAPAI AZ0130000,AZ0119500;AZ0130000
29,weners ree vanePomt . ome corrtonn SOUTH LAKE TAHOE PD SOUTH LAKE TAHOE EL DORADO CA0090200,CA0090200
34,CORRECTIONS CRESTED BUTTE PD CRESTED BUTTE GUNNISON 00260300,
35,CORRECTIONS MINES,
45,DIVISION OF CORRECTIONS TALLAHASSEE N/A FLDOCO00O “HIGHWAY PATROL FORT LAUDERDALE N/A ELFHPO9O0,FLDOCO00O;ELFHPO9O0
49,SHERIFF'S OFFICE FORT PIERCE ST. LUCIE FL0560000 “DIVISION OF CORRECTIONS TALLAHASSEE N/A FLDOCO000 rd,FL0560000;FLDOCO000
81,CORRECTIONS *STATE POLICE LIGONIER N/A INISP2100 ‘,INISP2100
96,*STATE PENITENTIARY EDDYWILLE N/A KY0720100 ;,EDDYWILLE;KY0720100
124,HART PD HART OCEANA Ml6446200 JACKSON PRISON JACKSON N/A MI3897600,ML6446200;MI3897600
125,DRIVER SERVICES MARQUETTE PRISON MARQUETTE N/A Mi5297800,MARQUETTE;MARQUETTE;MI5297800
125,CORRECTIONS *CHOCOLAY TWP PD MARQUETTE MARQUETTE MI5231200,MARQUETTE;MARQUETTE;MI5231200
125,LINCOLN PD LINCOLN ALCONA M10153300 CORRECTIONS,M10153300
135,LYLE PD LYLE MOWER MNO500600 CORRECTIONS,MNO500600
142,jpeomrsorme roma faery | seers corres cook ceva,
165,*NEVADA STATE PRISON CARSON CITY IND. CITY (WAS — NV0130300 SHERIFF'S OFFICE ELKO ELKO Nvo040000,NV0130300;NVO040000
165,NEVADA STATE PRISON CARSON CITY IND. CITY (WAS —NV0130300 IMMIGRATION AND RENO N/A NVINSREOO,NV0130300;NVINSREOO
170,*VOORHEES TOWNSHIP PD —-BERLLIN CAMDEN NJ0043400 CORRECTIONS CENTER PD,NJ0043400
172,ESSEX COUNTY CORRECTIONS CALDWELL ESSEX NJ0072600 GLOUCESTER CITY PD GLOUCESTER CITY CAMDEN NJ0041400,NJ0072600;NJ0041400
174,*SOUTH BRUNSWICK MONMOUTH JUNCTION MIDDLESEX NJ0122100 NEW JERSEY STATE PRISON TRENTON STATEWIDE NJ0225200,BRUNSWICK;MIDDLESEX;NJ0122100;STATEWIDE;NJ0225200
178,*NEW JERSEY STATE PRISON TRENTON STATEWIDE Nu0225200 WEEHAWKEN TOWNSHIP PD = WEEHAWKEN HUDSON NJ0091100,STATEWIDE;NU0225200;WEEHAWKEN;WEEHAWKEN;NJ0091100
179,CORRECTION CENTER AGENCIES INTERNAL REVENUE SERVICE NEWARK N/A NJIRS2200,NJIRS2200
180,CHAMA PD CHAMA RIO ARRIBA NM0210200 MAGDALENA PD MAGDALENA SOCORRO NM0280200,NM0210200;MAGDALENA;MAGDALENA;NM0280200
180,"CORRALES PD CORRALES SANDOVAL NM0230300 NAVAJO TRIBAL PD WINDOW ROCK, ARIZONA MC KINLEY NMO170200",NM0230300;NMO170200
181,SANTA ROSA PD SANTA ROSA GUADALUPE _NM0100100 STATE POLICE SOCORRO N/A NMNSP1100,GUADALUPE;NMNSP1100
181,SHERIFF'S OFFICE SOCORRO SOCORRO NM0280000 NORTHERN PUEBLOS,NM0280000
181,SOCORRO PD SOCORRO SOCORRO NM0280100 NATIONALMONUMENT,NM0280100
181,“STATE POLICE SOCORRO N/A NMNSP1100 CARLSBAD CAVERNS CARLSBAD N/A NMD100600,NMNSP1100;NMD100600
181,“SHERIFF'S OFFICE SOCORRO SOCORRO NM0280000 NATIONALPARK,NM0280000
203,TARHEEL ARMY MISSILE PLANT BURLINGTON N/A NCUSAD400 NORTH CAROLINA RALEIGH N/A NCDCORROO,NCUSAD400;NCDCORROO
209,CINCINNATI PD DETENTION CINCINNATI N/A OHCIP1100 PD,DETENTION;OHCIP1100
228,LEHIGH PD LEHIGH COAL 0K0150500 *STATE PENITENTIARY MCALESTER N/A OKOSPO000,0K0150500;MCALESTER;OKOSPO000
229,CORRECTIONS PANAMA PD PANAMA LE FLORE 0K0402200,0K0402200
232,STATE PENITENTIARY MCALESTER N/A OKOSPO000 THREE SANDS PD THREE SANDS Kay 0K0361600,MCALESTER;OKOSPO000;0K0361600
235,*STATE POLICE LINCOLN CITY N/A OROSP2200 OREGON CORRECTIONS SALEM N/A OROPPROOO,OROSP2200;OROPPROOO
236,"SECURITY ""OREGON CORRECTIONS SALEM N/A OROPPROOO",OROPPROOO
242,COALDALE PD COALDALE SCHUYLKILL PA0541300 CORRY PD CORRY ERIE PA0250100,PA0541300;PA0250100
242,COALPORT PD COALPORT CLEARFIELD PAQ171300 “SHERIFF'S OFFICE CORRY ERIE PA0250000,PAQ171300;PA0250000
242,COATESVILLE PD COATESVILLE CHESTER PA0150100 “STATE POLICE CORRY N/A PAPSP1 400,PA0150100
255,SEVEN SPRINGS PD CHAMPION SOMERSET PA0561900 SHERIFF'S OFFICE CORRY ERIE PAN250000,PA0561900;PAN250000
257,STATE POLICE CORRY N/A PAPSP1400 STATE POLICE SHAMOKIN N/A PAPSP7800,PAPSP1400;PAPSP7800
264,ANDREWS PD ANDREWS GEORGETOWN — SC0220100 CORRECTIONS,SC0220100
264,BONNEAU PD BONNEAU BERKELEY $C0080200 CORRECTIONS,
284,CORRIGAN PD CORRIGAN POLK 1X1870400 DALWORTHINGTON PD ARLINGTON TARRANT 7X2200700,1X1870400;ARLINGTON;7X2200700
287,“RAMONA PD HIDALGO HIDALGO TX1081200 CORRECTIONS,TX1081200
295,STAMFORD PD STAMFORD JONES ™X1270400 CORRECTIONS,
300,AMALGA PD SMITHFIELD CACHE uT0030200 *UTAH STATE PRISON DRAPER SALT LAKE UT0180800,UT0030200;UT0180800
303,UTAH STATE PRISON DRAPER SALT LAKE UT0180800 FORT DOUGLAS SALT LAKE CITY N/A UTUSAO100,UT0180800;UTUSAO100
314,ORTING PD ORTING PIERCE WA0271300 *WASHINGTON CORRECTION SHELTON MASON WA0230600,WA0271300;WA0230600
315,SOAP LAKE PD SOAP LAKE GRANT WwA0130400 WASHINGTON CORRECTION SHELTON MASON WA0230600,WA0230600
315,STATE PENITENTIARY WALLA WALLA WALLA WALLA — WA0360400 WASHINGTON STATE PATROL EPHRATA N/A WAWSP6300,WA0360400;WAWSP6300
315,*STATE PENITENTIARY WALLA WALLA WALLA WALLA — WA0360400 WINTHROP PD WINTHROP OKANOGAN WA0241000,WA0360400;WA0241000
335,ANNISTON 7TH CIRCUIT COURT CALHOUN ALO1 10154 BIRMINGHAM JUVENILE DETENTION CENTER JEFFERSON AL001033C,DETENTION;JEFFERSON;AL001033C
335,ARAB CITY RECORDER'S COURT MARSHALL ALO50011 BIRMINGHAM MUNICIPAL PRISON JEFFERSON ALODIO1IC,MUNICIPAL;JEFFERSON;ALODIO1IC
335,ATMORE HOLMAN UNIT-PRISON FARM ESCAMBIA ALO30025C BREWTON COUNTY CORONER'S OFFICE ESCAMBIA AL030013M,ALO30025C;AL030013M
335,ATMORE PRISON FARM ESCAMBIA ALO30015C BREWTON COUNTY JUVENILE COURT ESCAMBIA AL030023J,ALO30015C;AL030023J
336,COLUMBIANA COUNTY PROBATE COURT SHELBY ALO59013J ELMORE DRAPER CORRECTIONAL ELMORE AL029015C,ALO59013J;AL029015C
337,FLINT CITY JUVENILE DETENTION HOME = MORGAN AL052013C GREENVILLE COUNTY SOLICITOR’S OFFICE BUTLER ALO10013A,DETENTION;AL052013C;SOLICITOR;ALO10013A
338,HUNTSVILLE JUVENILE DETENTION HOME MADISON AL047013C MOBILE BOYS DETENTION HOME MOBILE AL002013C,DETENTION;AL047013C;DETENTION;AL002013C
338,HURTSBORO CITY RECORDER'S COURT RUSSELL ALO57011J MOBILE GIRLS DETENTION HOME MOBILE AL002023C,HURTSBORO;ALO57011J;DETENTION;AL002023C
339,MONTGOMERY FEDERAL PRISON CAMP MONTGOMERY — AL003017C OZARK DISTRICT ATTORNEY DALE AL026015A,AL003017C;AL026015A
339,MONTGOMERY KILBY CORRECTIONS FACILITY MONTGOMERY — AL003025C OZARK PROBATION DEPARTMENT DALE ALO26013G,AL003025C;PROBATION;ALO26013G
339,CORRECTIONS PHENIX CITY ALABAMA BOARD OF PARDONS RUSSELL ALO57015G,ALO57015G
340,AND PAROLES WETUMPKA JULIE TUTWILLER PRISON ELMORE AL029035C,TUTWILLER;AL029035C
341,ANCHORAGE DISTRICT ATTORNEY ANCHORAGE AKO20015A CORRECTIONAL INSTITUTE,ANCHORAGE;ANCHORAGE;AKO20015A;INSTITUTE
341,ANCHORAGE U. 8. MAGISTRATE ANCHORAGE = AKO200174 KETCHIKAN JUVENILE DETENTION HOME KETCHIKAN AK130025C,ANCHORAGE;ANCHORAGE;AKO200174;KETCHIKAN;DETENTION;KETCHIKAN;AK130025C
341,BETHAL MAGISTRATE'S COURT BETHEL AKO50025J KETCHIKAN STATE JAIL AND DETENTION KETCHIKAN AK130015C,AKO50025J;KETCHIKAN;DETENTION;KETCHIKAN;AK130015C
341,FAIRBANKS NORTH REGION CORRECTIONAL FAIRBANKS AK090015C NENANA MAGISTRATE'S COURT won KAU. AK290025),FAIRBANKS;FAIRBANKS;AK090015C
341,JUNEAU DIVISION OF CORRECTIONS JUNEAU AK110035C OFFICE TERSBURG,AK110035C
343,BISBEE JUVENILE DETENTION HOME COCHISE AZ002023C FLORENCE ARIZONA STATE PRISON PINAL AZ011015C,DETENTION;AZ002023C;AZ011015C
343,BUCKEYE GILA BEND CITY MARICOPA AZOO7I71A FLORENCE FEDERAL DETENTION CENTER PINAL AZO11017C,AZOO7I71A;DETENTION;AZO11017C
343,CHINLE JUSTICE COURT APACHE AZ001033) GLOBE COUNTY JUVENILE DETENTION GILA AZ004033C,DETENTION;AZ004033C
343,CLIFTON SUPERIOR COURT GREENLEE AZ006015J DETENTION HOME,AZ006015J;DETENTION
344,HOLBROOK JUSTICE COURT PRECINCT 1 NAVAJO AZ009013J CORRECTIONS,AZ009013J
344,KINGMAN roMe JUVENILE DETENTION = MOHAVE AZOOGOT9C PHOENIX CITY PROSECUTOR'S OFFICE MARICOPA AZOO7OBIA,DETENTION;AZOOGOT9C;AZOO7OBIA
344,KINGMAN COUNTY PROBATION MOHAVE 70080136 PHOENIX COMMUNITY CORRECTIONAL CE MARICOPA AZ007035C,PROBATION;COMMUNITY;AZ007035C
344,KINGMAN SUPERIOR COURT MOHAVE Az0080154 PHOENIX COUNTY JUVENILE DETENTION MARICOPA AZ007023C,AZ0080154;DETENTION;AZ007023C
345,SAFFORD FEDERAL PRISON CAMP GRAHAM AZ005017C TUCSON CITY COURT PIMA AZ010011G,AZ005017C;AZ010011G
