match_layer,state,county,agency,geom_class,needs_review,state_match,county_match,city_guess,city_match,manual_match_layer,src,manual_reason,manual_note,university_name,university_guess,university_guess_final,municipality_guess,municipality_type_hint,pa_constable_jurisdiction,resolved_county,county_match_status,review_reason,vtd_name,ward_name,ward_vtd_qa_status
county,Kentucky,Adaitr County,Adair County Sheriff's Office,county_polygon,TRUE,NA,Adaitr County,NA,NA,NA,tigris_county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
county,Louisiana,Richland County,Richland Parish Sheriff's Office,county_polygon,TRUE,NA,Richland County,NA,NA,NA,tigris_county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
county,Mississippi,Pearl County,Pearl River County Sheriff's Department,county_polygon,TRUE,NA,Pearl County,NA,NA,NA,tigris_county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
county,Tennessee,Louden County,Louden County Sheriff's Office,county_polygon,TRUE,NA,Louden County,NA,NA,NA,tigris_county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
county,Texas,Zavala Couny,Zavala County Sheriff's Office,county_polygon,TRUE,NA,Zavala Couny,NA,NA,NA,tigris_county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
county,West Virginia,Kenawha County,Kanawha County Sheriff's Office,county_polygon,TRUE,NA,Kenawha County,NA,NA,NA,tigris_county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
university,Florida,NA,Tallahassee State College Police Department,university_polygon,TRUE,NA,NA,NA,NA,NA,unmatched_university_boundary,NA,NA,NA,Tallahassee State College,Tallahassee State College,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Alabama,Tallapoosa County,Jackson's Gap Police Department,municipal_polygon,TRUE,NA,NA,Jackson's Gap,Jackson's Gap,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Florida,Broward County,Florida Atlantic Police Department,municipal_polygon,TRUE,NA,NA,Florida Atlantic,Florida Atlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Florida,NA,Melbourne International Airport Police Department,municipal_polygon,TRUE,NA,NA,Melbourne International Airport,Melbourne International Airport,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Florida,St. Luice County,Port Saint Lucie Police Department,municipal_polygon,TRUE,NA,NA,Port Saint Lucie,Port Saint Lucie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Florida,NA,Sanford Airport Police Department,municipal_polygon,TRUE,NA,NA,Sanford Airport,Sanford Airport,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Florida,NA,Sarasota Manatee Airport Authority Police Department,municipal_polygon,TRUE,NA,NA,Sarasota Manatee Airport Authority,Sarasota Manatee Airport Authority,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Florida,NA,Sunny Isles Police Department,municipal_polygon,TRUE,NA,NA,Sunny Isles,Sunny Isles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Indiana,Dekalb County,Waterloo Marshal's Office,municipal_polygon,TRUE,NA,NA,Waterloo Marshal's,Waterloo Marshal's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Kentucky,Bell County,Middlesboro Police Department,municipal_polygon,TRUE,NA,NA,Middlesboro,Middlesboro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Louisiana,Livingston Parish,Denham Springs City Marshal,municipal_polygon,TRUE,NA,NA,Denham Springs City Marshal,Denham Springs City Marshal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Louisiana,East Feliciana Parish,Jackson Marshals Office,municipal_polygon,TRUE,NA,NA,Jackson Marshals,Jackson Marshals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Louisiana,Allen Parish,Ward 5 Marshal's Office,municipal_polygon,TRUE,NA,NA,Ward 5 Marshal's,Ward 5 Marshal's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Mississippi,Prentiss Couty,Prentiss County Constable Northern District,municipal_polygon,TRUE,NA,NA,Prentiss County Constable Northern District,Prentiss County Constable Northern District,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Missouri,St. Louis County,Saint Ann Police Department,municipal_polygon,TRUE,NA,NA,Saint Ann,Saint Ann,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Missouri,St. Charles County,Saint Charles County Police Department,municipal_polygon,TRUE,NA,NA,Saint Charles County,Saint Charles County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Missouri,Washington County,Washington County Sheriff's Office,municipal_polygon,TRUE,NA,NA,Washington County Sheriff's,Washington County Sheriff's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,New Hampshire,Hillsborough County,Hillsboro Police Department,municipal_polygon,TRUE,NA,NA,Hillsboro,Hillsboro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,New Hamsphire,Strafford County,New Durham Police Department,municipal_polygon,TRUE,NA,NA,New Durham,New Durham,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,New Hamsphire,Rockingham County,South Hampton Police Department,municipal_polygon,TRUE,NA,NA,South Hampton,South Hampton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Oklahoma,Haskell County,Haskell County Sheriff's Office,municipal_polygon,TRUE,NA,NA,Haskell County Sheriff's,Haskell County Sheriff's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Pennsylvania,Pike County,Eastern Pike Regional Police Department,municipal_polygon,TRUE,NA,NA,Eastern Pike Regional,Eastern Pike Regional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Pennsylvania,Greene County,Greene Washington Regional Police Department,municipal_polygon,TRUE,NA,NA,Greene Washington Regional,Greene Washington Regional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Pennsylvania,Lebanon County,Lebanon County Regional Police Department,municipal_polygon,TRUE,NA,NA,Lebanon County Regional,Lebanon County Regional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Pennsylvania,Montour County,Mahoning TWP Police Department - Montour,municipal_polygon,TRUE,NA,NA,Mahoning Twp,Mahoning Twp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Pennsylvania,York County,Northern York County Regional Police Department,municipal_polygon,TRUE,NA,NA,Northern York County Regional,Northern York County Regional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Pennsylvania,NA,Northwest Regional Police Department,municipal_polygon,TRUE,NA,NA,Northwest Regional,Northwest Regional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Pennsylvania,Lancaster County,Susquehanna Regional Police Department,municipal_polygon,TRUE,NA,NA,Susquehanna Regional,Susquehanna Regional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Pennsylvania,York County,York County Regional Police Department,municipal_polygon,TRUE,NA,NA,York County Regional,York County Regional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Texas,Bexar County,Bexar County Constable Precinct 3,municipal_polygon,TRUE,NA,NA,Bexar County Constable Precinct 3,Bexar County Constable Precinct 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Texas,Blanco County,Blanco County Constable Precinct 4,municipal_polygon,TRUE,NA,NA,Blanco County Constable Precinct 4,Blanco County Constable Precinct 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Texas,Cass County,Cass County Constable Precinct 3,municipal_polygon,TRUE,NA,NA,Cass County Constable Precinct 3,Cass County Constable Precinct 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Texas,Montgomery County,"Cut ""N"" Shoot Police Department",municipal_polygon,TRUE,NA,NA,"Cut ""N"" Shoot","Cut ""N"" Shoot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Texas,Delta County,Delta County Constable Precinct 5,municipal_polygon,TRUE,NA,NA,Delta County Constable Precinct 5,Delta County Constable Precinct 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
