"state","agency","jurisdiction_level","county_fips","county_name","first_signed_best","first_signed_source","latest_signed","signing_dates","models","active_from","active_to","terminated","n_rosters","in_ice_roster","in_gao_2007","in_kostandini","in_yale_2008","in_ice_removals","rem_fy_first","rem_fy_last","rem_identified","rem_removed","in_secondary","n_secondary_sources","secondary_sources","n_sources","confidence","moa_files","moa_pdf_present","moa_archived_url"
"","Alamance County Sheriff's Office (North Carolina)",,,,,,,,,2007-09-01,2007-09-01,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,TRUE,1,"GAO-09-109 App. III (1 Sep 2007)",1,"medium",,,
"","Barnstable County Sheriff's Office (Massachusetts)",,,,,,,,,2007-09-01,2007-09-01,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,TRUE,1,"GAO-09-109 App. III (1 Sep 2007)",1,"medium",,,
"","Cabarrus County Sheriff's Office (North Carolina)",,,,,,,,,2007-09-01,2007-09-01,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,TRUE,1,"GAO-09-109 App. III (1 Sep 2007)",1,"medium",,,
"","Cobb County Sheriff's Office (Georgia)",,,,,,,,,2007-09-01,2007-09-01,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,TRUE,1,"GAO-09-109 App. III (1 Sep 2007)",1,"medium",,,
"","Collier County Sheriff's Office (Florida)",,,,,,,,,2007-09-01,2007-09-01,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,TRUE,1,"GAO-09-109 App. III (1 Sep 2007)",1,"medium",,,
"","Colorado Department of Public Safety/State Patrol",,,,,,,,,2007-09-01,2007-09-01,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,TRUE,1,"GAO-09-109 App. III (1 Sep 2007)",1,"medium",,,
"","Davidson County Sheriff's Office (Tennessee)",,,,,,,,,2007-09-01,2007-09-01,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,TRUE,1,"GAO-09-109 App. III (1 Sep 2007)",1,"medium",,,
"","El Paso County Sheriff's Office (Colorado)",,,,,,,,,2007-09-01,2007-09-01,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,TRUE,1,"GAO-09-109 App. III (1 Sep 2007)",1,"medium",,,
"","Framingham Police Department (Massachusetts)",,,,,,,,,2007-09-01,2007-09-01,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,TRUE,1,"GAO-09-109 App. III (1 Sep 2007)",1,"medium",,,
"","Gaston County Sheriff's Office (North Carolina)",,,,,,,,,2007-09-01,2007-09-01,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,TRUE,1,"GAO-09-109 App. III (1 Sep 2007)",1,"medium",,,
"","Herndon Police Department (Virginia)",,,,,,,,,2007-09-01,2007-09-01,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,TRUE,1,"GAO-09-109 App. III (1 Sep 2007)",1,"medium",,,
"","Hudson Police Department (New Hampshire)",,,,,,,,,2007-09-01,2007-09-01,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,TRUE,1,"GAO-09-109 App. III (1 Sep 2007)",1,"medium",,,
"","Los Angeles County Sheriff's Office (California)",,,,,,,,,2007-09-01,2007-09-01,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,TRUE,1,"GAO-09-109 App. III (1 Sep 2007)",1,"medium",,,
