"state","agency","agency_short","fiscal_year","fy_start","fy_end","identified","removed","attests_active","source_footnote","latitude","longitude","address","agency_raw","source"
"ALABAMA","AL Department of Public Safety","Ala. Dept. of Public Safety",2006,2005-10-01,2006-09-30,,,FALSE,FALSE,32.375987,-86.302175,"502 Washington Ave, Montgomery, AL 36104","AL Department of Public Safety","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ALABAMA","AL Department of Public Safety","Ala. Dept. of Public Safety",2007,2006-10-01,2007-09-30,,,FALSE,FALSE,32.375987,-86.302175,"502 Washington Ave, Montgomery, AL 36104","AL Department of Public Safety","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ALABAMA","AL Department of Public Safety","Ala. Dept. of Public Safety",2008,2007-10-01,2008-09-30,,,FALSE,FALSE,32.375987,-86.302175,"502 Washington Ave, Montgomery, AL 36104","AL Department of Public Safety","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ALABAMA","AL Department of Public Safety","Ala. Dept. of Public Safety",2009,2008-10-01,2009-09-30,2,2,TRUE,FALSE,32.375987,-86.302175,"502 Washington Ave, Montgomery, AL 36104","AL Department of Public Safety","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ALABAMA","AL Department of Public Safety","Ala. Dept. of Public Safety",2010,2009-10-01,2010-09-30,5,3,TRUE,FALSE,32.375987,-86.302175,"502 Washington Ave, Montgomery, AL 36104","AL Department of Public Safety","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ALABAMA","AL Department of Public Safety","Ala. Dept. of Public Safety",2011,2010-10-01,2011-09-30,40,14,TRUE,FALSE,32.375987,-86.302175,"502 Washington Ave, Montgomery, AL 36104","AL Department of Public Safety","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ALABAMA","AL Department of Public Safety","Ala. Dept. of Public Safety",2012,2011-10-01,2012-09-30,10,4,TRUE,FALSE,32.375987,-86.302175,"502 Washington Ave, Montgomery, AL 36104","AL Department of Public Safety","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ALABAMA","AL Department of Public Safety","Ala. Dept. of Public Safety",2013,2012-10-01,2013-09-30,0,0,FALSE,FALSE,32.375987,-86.302175,"502 Washington Ave, Montgomery, AL 36104","AL Department of Public Safety","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ALABAMA","Etowah County Sheriff Office","Etowah County Sheriff",2006,2005-10-01,2006-09-30,,,FALSE,FALSE,34.016567,-86.012389,"827 Forrest Avenue Gadsden, Alabama 35901","Etowah County Sheriff Office","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ALABAMA","Etowah County Sheriff Office","Etowah County Sheriff",2007,2006-10-01,2007-09-30,,,FALSE,FALSE,34.016567,-86.012389,"827 Forrest Avenue Gadsden, Alabama 35901","Etowah County Sheriff Office","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ALABAMA","Etowah County Sheriff Office","Etowah County Sheriff",2008,2007-10-01,2008-09-30,,,FALSE,FALSE,34.016567,-86.012389,"827 Forrest Avenue Gadsden, Alabama 35901","Etowah County Sheriff Office","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ALABAMA","Etowah County Sheriff Office","Etowah County Sheriff",2009,2008-10-01,2009-09-30,5,3,TRUE,FALSE,34.016567,-86.012389,"827 Forrest Avenue Gadsden, Alabama 35901","Etowah County Sheriff Office","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ALABAMA","Etowah County Sheriff Office","Etowah County Sheriff",2010,2009-10-01,2010-09-30,30,21,TRUE,FALSE,34.016567,-86.012389,"827 Forrest Avenue Gadsden, Alabama 35901","Etowah County Sheriff Office","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ALABAMA","Etowah County Sheriff Office","Etowah County Sheriff",2011,2010-10-01,2011-09-30,30,19,TRUE,FALSE,34.016567,-86.012389,"827 Forrest Avenue Gadsden, Alabama 35901","Etowah County Sheriff Office","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ALABAMA","Etowah County Sheriff Office","Etowah County Sheriff",2012,2011-10-01,2012-09-30,63,20,TRUE,FALSE,34.016567,-86.012389,"827 Forrest Avenue Gadsden, Alabama 35901","Etowah County Sheriff Office","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ALABAMA","Etowah County Sheriff Office","Etowah County Sheriff",2013,2012-10-01,2013-09-30,21,13,TRUE,FALSE,34.016567,-86.012389,"827 Forrest Avenue Gadsden, Alabama 35901","Etowah County Sheriff Office","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","AZ Department of Corrections","Ariz. Dept. of Corrections",2006,2005-10-01,2006-09-30,414,302,TRUE,FALSE,33.446705,-112.094175,"1601 W Jefferson St, Phoenix, AZ 85007","AZ Department of Corrections","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
