"snapshot_ts","capture_date","caption","caption_n","content_asof","asof_basis","state","agency","support_type","date_signed","moa_file"
"20110220090259",2011-02-20,"Mutually Signed Agreements (71) as of 10/29/2010",71,2010-10-29,"on-page caption","ALABAMA","Alabama Department of Public Safety","Task Force",2003-09-10,"r_287galabamadepartmentofpublicsafety101609.pdf"
"20110220090259",2011-02-20,"Mutually Signed Agreements (71) as of 10/29/2010",71,2010-10-29,"on-page caption","ALABAMA","Etowah County Sheriff's Office","Jail Enforcement",2008-07-08,"r_287getowah100509.pdf"
"20110220090259",2011-02-20,"Mutually Signed Agreements (71) as of 10/29/2010",71,2010-10-29,"on-page caption","ARIZONA","Arizona Department of Corrections","Jail Enforcement",2005-09-16,"r_287gazdeptofcorrections101509.pdf"
"20110220090259",2011-02-20,"Mutually Signed Agreements (71) as of 10/29/2010",71,2010-10-29,"on-page caption","ARIZONA","Arizona Department of Public Safety","Task Force",2007-04-15,"r_287garizonadeptpublicsafety101809.pdf"
"20110220090259",2011-02-20,"Mutually Signed Agreements (71) as of 10/29/2010",71,2010-10-29,"on-page caption","ARIZONA","City of Mesa Police Department","Jail Enforcement",2009-11-19,"r_287gmesapolicedept.pdf"
"20110220090259",2011-02-20,"Mutually Signed Agreements (71) as of 10/29/2010",71,2010-10-29,"on-page caption","ARIZONA","City of Phoenix Police Department","Task Force",2008-03-10,"r_287gphoenixpd101509.pdf"
"20110220090259",2011-02-20,"Mutually Signed Agreements (71) as of 10/29/2010",71,2010-10-29,"on-page caption","ARIZONA","Florence Police Department","Task Force",2009-10-21,"r_287gflorencepd102109.pdf"
"20110220090259",2011-02-20,"Mutually Signed Agreements (71) as of 10/29/2010",71,2010-10-29,"on-page caption","ARIZONA","Maricopa County Sheriff's Office","Jail Enforcement",2007-02-07,"r_287gmaricopacountyso102609.pdf"
"20110220090259",2011-02-20,"Mutually Signed Agreements (71) as of 10/29/2010",71,2010-10-29,"on-page caption","ARIZONA","Pima County Sheriff's Office","Jail Enforcement",2008-03-10,"r_287gpimacounty101509.pdf"
"20110220090259",2011-02-20,"Mutually Signed Agreements (71) as of 10/29/2010",71,2010-10-29,"on-page caption","ARIZONA","Pinal County Sheriff's Office","Jail Enforcement",2008-03-10,"r_287gpinalcountyso101509.pdf"
"20110220090259",2011-02-20,"Mutually Signed Agreements (71) as of 10/29/2010",71,2010-10-29,"on-page caption","ARIZONA","Yavapai County Sheriff's Office","Jail Enforcement",2008-03-10,"r_287gyavapaicityso101509.pdf"
"20110220090259",2011-02-20,"Mutually Signed Agreements (71) as of 10/29/2010",71,2010-10-29,"on-page caption","ARKANSAS","Benton County Sheriff's Office","Jail Enforcement",2007-09-26,"r_287gbenton100809.pdf"
"20110220090259",2011-02-20,"Mutually Signed Agreements (71) as of 10/29/2010",71,2010-10-29,"on-page caption","ARKANSAS","City of Springdale Police Department","Task Force",2007-09-26,"r_287gspringdalepd101509.pdf"
"20110220090259",2011-02-20,"Mutually Signed Agreements (71) as of 10/29/2010",71,2010-10-29,"on-page caption","ARKANSAS","Rogers Police Department","Task Force",2007-09-25,"r_287grogerspd101509.pdf"
"20110220090259",2011-02-20,"Mutually Signed Agreements (71) as of 10/29/2010",71,2010-10-29,"on-page caption","ARKANSAS","Washington County Sheriff's Office","Jail Enforcement",2007-09-26,"r_287gwashingtonso100909.pdf"
"20110220090259",2011-02-20,"Mutually Signed Agreements (71) as of 10/29/2010",71,2010-10-29,"on-page caption","CALIFORNIA","Los Angeles County Sheriff's Office","Jail Enforcement",2005-02-01,"r_287losangelescountysheriffsoffice101012.pdf"
"20110220090259",2011-02-20,"Mutually Signed Agreements (71) as of 10/29/2010",71,2010-10-29,"on-page caption","CALIFORNIA","Orange County Sheriff's Office","Jail Enforcement",2006-11-02,"r_287-proactive-orange_county_sheriffs_dept-moa-signed.pdf"
"20110220090259",2011-02-20,"Mutually Signed Agreements (71) as of 10/29/2010",71,2010-10-29,"on-page caption","CALIFORNIA","Riverside County Sheriff's Office","Jail Enforcement",2006-04-28,"r_287griversidecountysheriffsdept.pdf"
"20110220090259",2011-02-20,"Mutually Signed Agreements (71) as of 10/29/2010",71,2010-10-29,"on-page caption","CALIFORNIA","San Bernardino County Sheriff's Office","Jail Enforcement",2005-11-19,"r_287gsanbernardinocounty.pdf"
"20110220090259",2011-02-20,"Mutually Signed Agreements (71) as of 10/29/2010",71,2010-10-29,"on-page caption","COLORADO","Colorado Department of Public Safety","Task Force",2007-03-29,"r_287gcoloradodeptofpublicsafety101509.pdf"
"20110220090259",2011-02-20,"Mutually Signed Agreements (71) as of 10/29/2010",71,2010-10-29,"on-page caption","COLORADO","El Paso County Sheriff's Office","Jail Enforcement",2007-05-17,"r_287gelpasocounty101509.pdf"
"20110220090259",2011-02-20,"Mutually Signed Agreements (71) as of 10/29/2010",71,2010-10-29,"on-page caption","CONNECTICUT","City of Danbury Police Department","Task Force",2009-10-15,"r_287gdanbury101509.pdf"
"20110220090259",2011-02-20,"Mutually Signed Agreements (71) as of 10/29/2010",71,2010-10-29,"on-page caption","DELAWARE**","Delaware Department of Corrections","Jail Enforcement",2009-10-15,"r_287gdelawaredeptofcorrection101509.pdf"
"20110220090259",2011-02-20,"Mutually Signed Agreements (71) as of 10/29/2010",71,2010-10-29,"on-page caption","FLORIDA","Bay County Sheriff's Office","Task Force",2008-06-15,"r_287gbaycounty101609.pdf"
