"source","as_of","state","agency","model","date_signed","needs_review","repaired"
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Alabama","AL State Police","Task Force",2003-09-10,FALSE,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Alabama","Etowah County Sheriff's Office","Jail Enforcement",2008-07-08,FALSE,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Arizona","AZ Department of Corrections","Jail Enforcement",2005-09-16,FALSE,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Arizona","AZ Department of Public Safety","Task Force",2007-04-15,FALSE,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Arizona","City of Phoenix Police Department","Task Force",2008-03-10,FALSE,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Arizona","Maricopa County Sheriff's Office","Hybrid",2007-02-07,FALSE,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Arizona","Pima County Sheriff's Office","Hybrid",2008-03-10,FALSE,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Arizona","Pinal County Sheriff's Office","Hybrid",2008-03-10,FALSE,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Arizona","Yavapai County Sheriff's Office","Hybrid",2008-03-10,FALSE,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Arkansas","Benton County Sheriff's Office","Hybrid",2007-09-26,FALSE,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Arkansas","City of Springdale Police Department","Task Force",2007-09-26,FALSE,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Arkansas","Rogers Police Department","Task Force",2007-09-25,FALSE,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Arkansas","Washington County Sheriff's Office AR","Hybrid",2007-09-26,FALSE,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"California","Los Angeles County Sheriff's Office","Jail Enforcement",2005-02-01,FALSE,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"California","Orange County Sheriff's Office","Jail Enforcement",2006-11-02,FALSE,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"California","Riverside County Sheriff's Office","Jail Enforcement",2006-04-28,FALSE,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"California","San Bernardino County Sheriff's Office","Jail Enforcement",2005-10-19,FALSE,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Colorado","CO Department of Public Safety","Task Force",2007-03-29,FALSE,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Colorado","El Paso County Sheriff's Office","Jail Enforcement",2007-05-17,FALSE,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Florida","Bay County Sheriff's Office","Task Force",2008-06-15,FALSE,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Florida","Brevard County Sheriff's Office","Jail Enforcement",2008-08-13,FALSE,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Florida","Collier County Sheriff's Office","Hybrid",2007-08-06,FALSE,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Florida","FL Department of Law Enforcement","Task Force",2002-07-02,FALSE,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Florida","Jacksonville Sheriff's Office","Jail Enforcement",2008-07-08,FALSE,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Florida","Manatee County Sheriff's Office","Jail Enforcement",2008-07-08,FALSE,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Georgia","Cobb County Sheriff's Office","Jail Enforcement",2007-02-13,FALSE,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Georgia","GA Department of Public Safety","Task Force",2007-07-27,FALSE,FALSE
