review_reasons,state,county,agency,facility_guess,facility_name,source,match_type,match_score,facility_address,facility_city,facility_county,facility_latitude,facility_longitude
missing_coordinates; state_level_fuzzy; jails_prisons_source,Alabama,Frankin County,Franklin County Sheriff's Office,Franklin County Jail,Franklin County Jail,jails_prisons,fuzzy_state_facility,1,748 Walnut Gate Road,Russellville,NA,NA,NA
missing_coordinates; jails_prisons_source,Alaska,NA,Kodiak Police Department,Kodiak City Jail,Kodiak City Jail,jails_prisons,exact_state_county_facility_name,1,2160 Mill Bay Road,Kodiak,NA,NA,NA
missing_coordinates; state_level_fuzzy; jails_prisons_source,Texas,Lynn County,Lynn County Sheriff's Office,Lynn County Jail,Lynn County Jail,jails_prisons,fuzzy_state_facility,1,810 Lockwood Street,Tahoka,NA,NA,NA
missing_coordinates; jails_prisons_source,Arizona,NA,Arizona Department of Corrections,Arizona Department Of Corrections,Greenlee County Correctional Facility,jails_prisons,state_doc_all_facilities,1,800 S Coronado Boulevard,Clifton,NA,NA,NA
missing_coordinates; jails_prisons_source,Arizona,NA,Arizona Department of Corrections,Arizona Department Of Corrections,Mohave County Adult Detention Facility,jails_prisons,state_doc_all_facilities,1,501 West Highway 66,Kingman,NA,NA,NA
missing_coordinates; jails_prisons_source,Arizona,NA,Arizona Department of Corrections,Arizona Department Of Corrections,Navajo County Detention Center,jails_prisons,state_doc_all_facilities,1,100 East Code Talkers Drive,Holbrook,NA,NA,NA
missing_coordinates; jails_prisons_source,Arizona,NA,Arizona Department of Corrections,Arizona Department Of Corrections,Pima County Adult Detention Complex,jails_prisons,state_doc_all_facilities,1,1270 West Silverlake Road,Tucson,NA,NA,NA
missing_coordinates; jails_prisons_source,Arizona,NA,Arizona Department of Corrections,Arizona Department Of Corrections,Santa Cruz County Adult Detention Center,jails_prisons,state_doc_all_facilities,1,2170 North Congress Drive,Nogales,NA,NA,NA
missing_coordinates; jails_prisons_source,Arkansas,Pulaksi County,Arkansas Department of Corrections,Arkansas Department Of Corrections,Arkansas County Detention Center,jails_prisons,state_doc_all_facilities,1,1000 Ricebelt Avenue,DeWitt,NA,NA,NA
missing_coordinates; jails_prisons_source,Arkansas,Pulaksi County,Arkansas Department of Corrections,Arkansas Department Of Corrections,Benton County Detention Facility,jails_prisons,state_doc_all_facilities,1,1300 SW 14th Street,Bentonville,NA,NA,NA
missing_coordinates; jails_prisons_source,Arkansas,Pulaksi County,Arkansas Department of Corrections,Arkansas Department Of Corrections,Calhoun County Detention Center,jails_prisons,state_doc_all_facilities,1,449 9th Street,Hampton,NA,NA,NA
