match_layer,state,county,agency,geom_class,needs_review,state_match,county_match,city_guess,src,manual_reason,manual_note,university_name,university_guess,university_guess_final
county,Missouri,Saint Francois County,Saint Francois County Sheriff's Office,county_polygon,TRUE,NA,Saint Francois County,NA,tigris_county,NA,NA,NA,NA,NA
county,Oklahoma,Custer Countey,Custer County Sheriff's Office,county_polygon,TRUE,NA,Custer Countey,NA,tigris_county,NA,NA,NA,NA,NA
county,Virginia,Hopewell County,Hopewell County Sheriff's Office,county_polygon,TRUE,NA,Hopewell County,NA,tigris_county,NA,NA,NA,NA,NA
university,Florida,NA,Tallahassee State College Police Department,university_polygon,TRUE,NA,NA,NA,unmatched_university_boundary,NA,NA,NA,Tallahassee State College,Tallahassee State College
municipal,Alabama,Tallapoosa County,Jackson's Gap Police Department,municipal_polygon,TRUE,NA,NA,Jackson's Gap,NA,NA,NA,NA,NA,NA
municipal,Florida,Broward County,Florida Atlantic Police Department,municipal_polygon,TRUE,NA,NA,Florida Atlantic,NA,NA,NA,NA,NA,NA
municipal,Florida,NA,Melbourne International Airport Police Department,municipal_polygon,TRUE,NA,NA,Melbourne International Airport,NA,NA,NA,NA,NA,NA
municipal,Florida,St. Luice County,Port Saint Lucie Police Department,municipal_polygon,TRUE,NA,NA,Port Saint Lucie,NA,NA,NA,NA,NA,NA
municipal,Florida,NA,Sanford Airport Police Department,municipal_polygon,TRUE,NA,NA,Sanford Airport,NA,NA,NA,NA,NA,NA
municipal,Florida,NA,Sarasota Manatee Airport Authority Police Department,municipal_polygon,TRUE,NA,NA,Sarasota Manatee Airport Authority,NA,NA,NA,NA,NA,NA
municipal,Florida,NA,Sunny Isles Police Department,municipal_polygon,TRUE,NA,NA,Sunny Isles,NA,NA,NA,NA,NA,NA
municipal,Kentucky,Bell County,Middlesboro Police Department,municipal_polygon,TRUE,NA,NA,Middlesboro,NA,NA,NA,NA,NA,NA
municipal,Louisiana,Allen Parish,Ward 5 Marshal's Office,municipal_polygon,TRUE,NA,NA,Ward 5 Marshal's,NA,NA,NA,NA,NA,NA
municipal,Missouri,St. Louis County,Saint Ann Police Department,municipal_polygon,TRUE,NA,NA,Saint Ann,NA,NA,NA,NA,NA,NA
municipal,Missouri,NA,Saint Mary Police Department,municipal_polygon,TRUE,NA,NA,Saint Mary,NA,NA,NA,NA,NA,NA
municipal,Missouri,St. Charles County,Saint Charles County Police Department,municipal_polygon,TRUE,NA,NA,Saint Charles County,NA,NA,NA,NA,NA,NA
municipal,Missouri,Washington County,Washington County Sheriff's Office,municipal_polygon,TRUE,NA,NA,Washington County Sheriff's,NA,NA,NA,NA,NA,NA
municipal,Oklahoma,Haskell County,Haskell County Sheriff's Office,municipal_polygon,TRUE,NA,NA,Haskell County Sheriff's,NA,NA,NA,NA,NA,NA
municipal,Pennsylvania,Somerset County,Addison Borough Constable's Office,municipal_polygon,TRUE,NA,NA,Addison Borough Constable's,NA,NA,NA,NA,NA,NA
municipal,Pennsylvania,Westmoreland County,Constable Unity Township,municipal_polygon,TRUE,NA,NA,Constable Unity Township,NA,NA,NA,NA,NA,NA
municipal,Pennsylvania,Mercer County,Coolspring Township Constable's Office,municipal_polygon,TRUE,NA,NA,Coolspring Township Constable's,NA,NA,NA,NA,NA,NA
municipal,Pennsylvania,NA,Damascus Township Constable,municipal_polygon,TRUE,NA,NA,Damascus Township Constable,NA,NA,NA,NA,NA,NA
municipal,Pennsylvania,NA,East Donegal Township Constables Office,municipal_polygon,TRUE,NA,NA,East Donegal Township Constables,NA,NA,NA,NA,NA,NA
municipal,Pennsylvania,Cumberland County,East Pennsylvania Township Constable Office,municipal_polygon,TRUE,NA,NA,East Pennsylvania Township Constable,NA,NA,NA,NA,NA,NA
municipal,Pennsylvania,Franklin County,Fannett Township Constables Office,municipal_polygon,TRUE,NA,NA,Fannett Township Constables,NA,NA,NA,NA,NA,NA
municipal,Pennsylvania,Tioga County,Gaines Township PA State Constable,municipal_polygon,TRUE,NA,NA,Gaines Township Pa State Constable,NA,NA,NA,NA,NA,NA
municipal,Pennsylvania,Erie County,Greene Township Constable's Office,municipal_polygon,TRUE,NA,NA,Greene Township Constable's,NA,NA,NA,NA,NA,NA
municipal,Pennsylvania,Greene County,Greene Washington Regional Police Department,municipal_polygon,TRUE,NA,NA,Greene Washington Regional,NA,NA,NA,NA,NA,NA
