folder,manifest_rows,files_on_disk,ghost_rows,urls_with_multiple_hashes,failed_download_lines
agreements/agreements_20260607_025243,1653,1652,1,0,0
agreements/agreements_20260623_025908,120,120,0,0,0
agreements/agreements_20260626_025229,31,31,0,0,0
agreements/agreements_20260630_025339,26,26,0,0,0
agreements/agreements_20260708_023507,70,70,0,0,0
agreements/agreements_20260812_014703,1888,335,1553,0,0
agreements/agreements_20260813_014801,1888,0,1888,0,0
agreements/agreements_20260814_014525,1877,1,1876,0,0
agreements/agreements_20260912_135128,23,1,1,0,0
agreements/agreements_20260912_135247,2,0,0,0,0
agreements/agreements_20260912_135704,1870,45,197,0,0
agreements/agreements_20260912_144329,1,1,0,0,0
agreements/agreements_probe_20260913,284,284,0,0,0
agreements/agreements_wayback_20260814,1851,1851,0,0,0
agreements/agreements_wayback_20260912,9,9,0,0,0
agreements/agreements_wayback_20260913,45,43,2,0,0
agreements/agreements_wayback_287gMOA,79,63,16,0,0
agreements/agreements_wayback_pre2018,170,168,2,0,0
sheets/sheets_20260522_051920,1,1,0,0,0
sheets/sheets_20260607_025243,1,1,0,0,0
sheets/sheets_20260623_025908,1,1,0,0,0
sheets/sheets_20260626_025229,1,1,0,0,0
sheets/sheets_20260627_024001,1,1,0,0,0
sheets/sheets_20260630_025339,1,1,0,0,0
sheets/sheets_20260708_023507,1,1,0,0,0
sheets/sheets_20260711_021611,1,1,0,0,0
sheets/sheets_20260715_023008,1,1,0,0,0
sheets/sheets_20260718_015202,1,1,0,0,0
sheets/sheets_20260721_021239,1,1,0,0,0
sheets/sheets_20260814_014525,1,1,0,0,0
sheets/sheets_20260908_181740,1,1,0,0,0
sheets/sheets_20260911_183051,1,1,0,0,0
sheets/sheets_20260914_231542,1,1,0,0,0
sheets/sheets_20260915_210837,1,1,0,0,0
sheets/sheets_20260918_161253,1,1,0,0,0
sheets/sheets_20260921_113141,1,1,0,0,0
sheets/sheets_wayback_20260814,466,464,2,0,0
sheets/sheets_wayback_20260911,128,128,0,0,0
sheets/sheets_wayback_20260912,50,48,2,0,0
sheets/sheets_wayback_20260913,6,6,0,0,0
sheets/sheets_wayback_pre2011,25,25,0,0,0
sheets/sheets_wayback_pre2018,36,36,0,0,0
