state_key,support_key,agency,signed_printed,signed,rule
alabama,JAIL ENFORCEMENT MODEL,franklin county sheriff office,2025-06-12,2025-06-11,link_pending_then_posted
alabama,WARRANT SERVICE OFFICER,franklin county sheriff office,2025-03-27,2025-03-26,same_moa_file
alabama,JAIL ENFORCEMENT MODEL,lawrence county sheriff office,2025-05-20,2025-06-30,unlinked_redated
alabama,WARRANT SERVICE OFFICER,lawrence county sheriff office,2025-05-20,2025-06-30,unlinked_redated
alabama,TASK FORCE MODEL,limestone county sheriff office,2025-06-12,2025-06-11,link_pending_then_posted
california,JAIL ENFORCEMENT MODEL,san bernardino county sheriff office,2005-10-19,2005-11-19,link_pending_then_posted
florida,TASK FORCE MODEL,department of highway safety and motor vehicles division of highway patrol,2025-02-17,2025-02-07,pending_date_reverted
florida,TASK FORCE MODEL,edgewood police department,2025-04-14,2025-04-10,link_pending_redated
florida,TASK FORCE MODEL,fellsmere police department,2025-04-24,2025-04-23,link_pending_then_posted
florida,TASK FORCE MODEL,hardee county sheriff office,2025-02-26,2025-05-08,unlinked_redated
florida,TASK FORCE MODEL,lantana police department,2025-04-15,2025-04-14,link_pending_then_posted
florida,WARRANT SERVICE OFFICER,martin county sheriff office,2019-01-22,2020-01-22,same_moa_file
florida,TASK FORCE MODEL,north palm beach police department,2025-06-12,2025-06-11,link_pending_then_posted
florida,TASK FORCE MODEL,northwest florida state college police department,2025-04-15,2025-05-08,link_pending_then_posted
florida,TASK FORCE MODEL,office of agricultural law enforcement,2025-06-12,2025-06-11,link_pending_then_posted
florida,TASK FORCE MODEL,panama city beach police department,2025-02-26,2025-02-25,same_moa_file
florida,TASK FORCE MODEL,saint lucie county sheriff office,2025-02-19,2025-02-26,link_pending_redated
florida,TASK FORCE MODEL,sarasota manatee airport authority police department,2025-06-12,2025-06-11,link_pending_then_posted
georgia,WARRANT SERVICE OFFICER,burke county sheriff office,2025-03-27,2025-03-26,link_pending_then_posted
georgia,WARRANT SERVICE OFFICER,dade county sheriff office,2025-03-27,2025-03-26,link_pending_redated
kansas,WARRANT SERVICE OFFICER,anderson county sheriff office,2025-06-12,2025-06-11,link_pending_then_posted
kentucky,JAIL ENFORCEMENT MODEL,kenton county sheriff office,2025-05-06,2025-05-02,link_pending_then_posted
louisiana,WARRANT SERVICE OFFICER,lafourche parish sheriff office,2025-06-12,2025-06-11,link_pending_redated
louisiana,TASK FORCE MODEL,morehouse parish sheriff office,2026-06-29,2026-06-30,link_pending_redated
louisiana,TASK FORCE MODEL,plaquemines parish sheriff office,2025-06-13,2025-06-11,link_pending_then_posted
minnesota,WARRANT SERVICE OFFICER,crow wing county sheriff office,2025-03-27,2025-03-26,link_pending_redated
minnesota,WARRANT SERVICE OFFICER,freeborn county sheriff office,2025-03-27,2025-03-26,same_moa_file
mississippi,JAIL ENFORCEMENT MODEL,monroe county sheriff office,2025-06-12,2025-06-11,link_pending_redated
missouri,TASK FORCE MODEL,comet drug task force,2026-03-02,2026-03-13,pending_date_reverted
newhampshire,TASK FORCE MODEL,hillsborough county sheriff office,2025-05-16,2025-05-22,link_pending_redated
northcarolina,WARRANT SERVICE OFFICER,catawba county sheriff office,2025-06-12,2025-06-11,link_pending_redated
pennsylvania,WARRANT SERVICE OFFICER,bradford county sheriff office,2025-03-27,2025-03-26,same_moa_file
pennsylvania,TASK FORCE MODEL,juniata county sheriff office,2025-06-12,2025-06-11,link_pending_then_posted
southcarolina,TASK FORCE MODEL,duncan police department,2025-06-12,2025-06-11,link_pending_then_posted
southcarolina,WARRANT SERVICE OFFICER,marlboro county sheriff office,2025-06-12,2025-06-11,link_pending_redated
southcarolina,WARRANT SERVICE OFFICER,mccormick county sheriff office,2025-07-07,2025-06-25,link_pending_redated
southcarolina,WARRANT SERVICE OFFICER,newberry county sheriff office,2025-07-07,2025-06-25,link_pending_redated
southcarolina,TASK FORCE MODEL,perry police department,2026-03-26,2026-03-24,link_pending_redated
southdakota,TASK FORCE MODEL,division of criminal investigation,2025-06-12,2025-06-11,link_pending_then_posted
tennessee,JAIL ENFORCEMENT MODEL,morgan county sheriff office,2025-06-11,2025-06-12,link_pending_then_posted
texas,WARRANT SERVICE OFFICER,galveston county sheriff office,2025-03-27,2025-03-26,link_pending_redated
texas,TASK FORCE MODEL,gonzales county sheriff office,2026-02-11,2026-02-10,link_pending_redated
texas,JAIL ENFORCEMENT MODEL,jim wells county sheriff office,2025-02-27,2025-02-28,link_pending_then_posted
texas,JAIL ENFORCEMENT MODEL,kerr county sheriff office,2025-05-06,2025-05-02,link_pending_then_posted
texas,WARRANT SERVICE OFFICER,kerr county sheriff office,2025-05-06,2025-05-02,same_moa_file
texas,WARRANT SERVICE OFFICER,milam county sheriff office,2025-06-12,2025-06-11,link_pending_redated
texas,TASK FORCE MODEL,office of the attorney general,2025-01-31,2025-01-30,link_pending_redated
texas,WARRANT SERVICE OFFICER,orange county sheriff office,2025-05-07,2025-05-06,unlinked_redated
texas,WARRANT SERVICE OFFICER,panola county sheriff office,2025-03-27,2025-03-26,link_pending_redated
texas,WARRANT SERVICE OFFICER,polk county sheriff office,2025-05-07,2025-05-06,unlinked_redated
texas,WARRANT SERVICE OFFICER,rains county sheriff office,2025-06-12,2025-06-11,link_pending_redated
texas,WARRANT SERVICE OFFICER,rockwall county sheriff office,2025-07-07,2025-07-08,link_pending_then_posted
texas,WARRANT SERVICE OFFICER,scurry county sheriff office,2025-07-07,2025-06-25,link_pending_redated
texas,TASK FORCE MODEL,texas national guard,2025-04-11,2025-04-10,same_moa_file
texas,JAIL ENFORCEMENT MODEL,webb county sheriff office,2025-10-17,2025-12-02,unlinked_redated
texas,WARRANT SERVICE OFFICER,yoakum county sheriff office,2025-07-07,2025-06-25,link_pending_redated
utah,WARRANT SERVICE OFFICER,department of correction,2025-05-12,2025-05-13,link_pending_then_posted
utah,JAIL ENFORCEMENT MODEL,sanpete county sheriff office,2025-06-12,2025-06-11,link_pending_redated
utah,WARRANT SERVICE OFFICER,tooele county sheriff office,2025-07-07,2025-06-25,link_pending_redated
virginia,TASK FORCE MODEL,buchanan county sheriff office,2025-06-12,2025-06-11,link_pending_then_posted
virginia,TASK FORCE MODEL,department of wildlife resources,2025-06-12,2025-06-11,link_pending_then_posted
virginia,WARRANT SERVICE OFFICER,loudoun county sheriff office,2025-03-27,2025-03-26,same_moa_file
virginia,JAIL ENFORCEMENT MODEL,pittsylvania county sheriff office,2025-06-12,2025-06-11,link_pending_redated
virginia,TASK FORCE MODEL,scott county sheriff office,2025-06-12,2025-06-11,link_pending_then_posted
virginia,TASK FORCE MODEL,virginia doc law enforcement service,2025-06-12,2025-06-11,link_pending_then_posted
virginia,TASK FORCE MODEL,virginia marine resources commission,2025-06-12,2025-06-11,unlinked_redated
virginia,TASK FORCE MODEL,washington county sheriff office,2025-06-12,2025-06-11,link_pending_then_posted
westvirginia,TASK FORCE MODEL,west virginia national guard,2025-06-12,2025-06-11,link_pending_then_posted
wisconsin,WARRANT SERVICE OFFICER,kewaunee county sheriff office,2025-06-12,2025-06-11,link_pending_then_posted
wyoming,WARRANT SERVICE OFFICER,carbon county sheriff office,2025-06-12,2025-06-11,link_pending_then_posted
wyoming,TASK FORCE MODEL,laramie county sheriff office,2025-06-12,2025-06-11,link_pending_then_posted
