status,layer,state,county,agency,match_value,suggested_name,suggested_geoid,boundary_src,match_dist,n_within_threshold,unique_best,manual_match_layer,manual_match_name,manual_reason,manual_note
auto_accepted,county,Kentucky,Adaitr County,Adair County Sheriff's Office,Adaitr County,Adair County,21001,tigris_county,0.015384615384615363,1,TRUE,county,Adair County,fuzzy_promoted,jw=0.015
auto_accepted,county,Mississippi,Pearl County,Pearl River County Sheriff's Department,Pearl County,Pearl River County,28109,tigris_county,0.06666666666666672,3,TRUE,county,Pearl River County,fuzzy_promoted,jw=0.067
auto_accepted,county,Tennessee,Louden County,Louden County Sheriff's Office,Louden County,Loudon County,47105,tigris_county,0.06410256410256408,2,TRUE,county,Loudon County,fuzzy_promoted,jw=0.064
auto_accepted,county,Texas,Zavala Couny,Zavala County Sheriff's Office,Zavala Couny,Zavala County,48507,tigris_county,0.015384615384615363,2,TRUE,county,Zavala County,fuzzy_promoted,jw=0.015
auto_accepted,county,West Virginia,Kenawha County,Kanawha County Sheriff's Office,Kenawha County,Kanawha County,54039,tigris_county,0.1005494505494505,1,TRUE,county,Kanawha County,fuzzy_promoted,jw=0.101
no_candidate,municipal,Louisiana,Allen Parish,Ward 5 Marshal's Office,Ward 5 Marshal's,NA,NA,NA,NA,NA,NA,municipal,NA,fuzzy_promoted,NA
no_candidate,municipal,Texas,Edwards County,Edwards County Constable Precinct 1,Edwards County Constable Precinct 1,NA,NA,NA,NA,NA,NA,municipal,NA,fuzzy_promoted,NA
no_candidate,municipal,Texas,Kinney County,Kinney County Constable's Office,Kinney County Constable's,NA,NA,NA,NA,NA,NA,municipal,NA,fuzzy_promoted,NA
no_candidate,municipal,Texas,Nueces County,Nueces County Constable Precinct 1,Nueces County Constable Precinct 1,NA,NA,NA,NA,NA,NA,municipal,NA,fuzzy_promoted,NA
no_candidate,municipal,Texas,Nueces County,Nueces County Constable Precinct 2,Nueces County Constable Precinct 2,NA,NA,NA,NA,NA,NA,municipal,NA,fuzzy_promoted,NA
suggestion,county,Mississippi,Pearl County,Pearl River County Sheriff's Department,Pearl County,Perry County,28111,tigris_county,0.08888888888888885,3,TRUE,county,Perry County,fuzzy_promoted,jw=0.089
suggestion,county,Mississippi,Pearl County,Pearl River County Sheriff's Department,Pearl County,Clarke County,28023,tigris_county,0.1093628593628594,3,TRUE,county,Clarke County,fuzzy_promoted,jw=0.109
suggestion,county,Tennessee,Louden County,Louden County Sheriff's Office,Louden County,Blount County,47009,tigris_county,0.10256410256410255,2,TRUE,county,Blount County,fuzzy_promoted,jw=0.103
suggestion,county,Texas,Zavala Couny,Zavala County Sheriff's Office,Zavala Couny,Zapata County,48505,tigris_county,0.10598290598290601,2,TRUE,county,Zapata County,fuzzy_promoted,jw=0.106
suggestion,municipal,Florida,NA,Melbourne International Airport Police Department,Melbourne International Airport,Melbourne,1243975,place,0.1419354838709678,5,FALSE,municipal,Melbourne,fuzzy_promoted,jw=0.142
suggestion,municipal,Florida,NA,Melbourne International Airport Police Department,Melbourne International Airport,Melbourne Village,1244075,place,0.1419354838709678,5,FALSE,municipal,Melbourne Village,fuzzy_promoted,jw=0.142
suggestion,municipal,Florida,NA,Melbourne International Airport Police Department,Melbourne International Airport,Melbourne,1200992106,cousub,0.1419354838709678,5,FALSE,municipal,Melbourne,fuzzy_promoted,jw=0.142
suggestion,municipal,Florida,NA,Sanford Airport Police Department,Sanford Airport,Sanford,1263650,place,0.10666666666666667,3,FALSE,municipal,Sanford,fuzzy_promoted,jw=0.107
suggestion,municipal,Florida,NA,Sanford Airport Police Department,Sanford Airport,Sanford,1211793081,cousub,0.10666666666666667,3,FALSE,municipal,Sanford,fuzzy_promoted,jw=0.107
suggestion,municipal,Florida,NA,Sanford Airport Police Department,Sanford Airport,San Antonio,1263375,place,0.2162752525252525,3,FALSE,municipal,San Antonio,fuzzy_promoted,jw=0.216
suggestion,municipal,Florida,NA,Sarasota Manatee Airport Authority Police Department,Sarasota Manatee Airport Authority,Sarasota,1264175,place,0.15294117647058825,3,FALSE,municipal,Sarasota,fuzzy_promoted,jw=0.153
suggestion,municipal,Florida,NA,Sarasota Manatee Airport Authority Police Department,Sarasota Manatee Airport Authority,Sarasota,1211593107,cousub,0.15294117647058825,3,FALSE,municipal,Sarasota,fuzzy_promoted,jw=0.153
suggestion,municipal,Florida,NA,Sarasota Manatee Airport Authority Police Department,Sarasota Manatee Airport Authority,Sarasota Springs,1264325,place,0.19179864253393666,3,FALSE,municipal,Sarasota Springs,fuzzy_promoted,jw=0.192
suggestion,municipal,Indiana,Dekalb County,Waterloo Marshal's Office,Waterloo Marshal's,Waterloo,1881278,place,0.10588235294117647,2,FALSE,municipal,Waterloo,fuzzy_promoted,jw=0.106
suggestion,municipal,Indiana,Dekalb County,Waterloo Marshal's Office,Waterloo Marshal's,Waterloo,1804181314,cousub,0.10588235294117647,2,FALSE,municipal,Waterloo,fuzzy_promoted,jw=0.106
suggestion,municipal,Louisiana,East Feliciana Parish,Jackson Marshals Office,Jackson Marshals,Jackson,2237830,place,0.11250000000000003,1,TRUE,municipal,Jackson,fuzzy_promoted,jw=0.113
suggestion,municipal,Louisiana,Livingston Parish,Denham Springs City Marshal,Denham Springs City Marshal,Denham Springs,2220435,place,0.07272727272727278,1,TRUE,municipal,Denham Springs,fuzzy_promoted,jw=0.073
suggestion,municipal,Mississippi,Prentiss Couty,Prentiss County Constable Northern District,Prentiss County Constable Northern District,Prentiss,2859920,place,0.15555555555555553,1,TRUE,municipal,Prentiss,fuzzy_promoted,jw=0.156
suggestion,municipal,Missouri,Washington County,Washington County Sheriff's Office,Washington County Sheriff's,Washington,2977416,place,0.09473684210526322,31,FALSE,municipal,Washington,fuzzy_promoted,jw=0.095
suggestion,municipal,Missouri,Washington County,Washington County Sheriff's Office,Washington County Sheriff's,Washington,2902177236,cousub,0.09473684210526322,31,FALSE,municipal,Washington,fuzzy_promoted,jw=0.095
suggestion,municipal,Missouri,Washington County,Washington County Sheriff's Office,Washington County Sheriff's,Washington,2903377254,cousub,0.09473684210526322,31,FALSE,municipal,Washington,fuzzy_promoted,jw=0.095
