USPS	GEOID	ANSICODE	NAME	FUNCSTAT	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                      
AL	0100190171	00161593	Autaugaville CCD	S	478151753	13897907	184.615	5.366	32.457413	-86.729003                                                                                                         
AL	0100190315	00165647	Billingsley CCD	S	386865285	1575402	149.37	0.608	32.606138	-86.748985                                                                                                            
AL	0100192106	00165648	Marbury CCD	S	292756816	516152	113.034	0.199	32.639324	-86.526071                                                                                                                
AL	0100192628	00165649	Prattville CCD	S	381857605	9688075	147.436	3.741	32.479786	-86.506496                                                                                                            
AL	0100390207	00161594	Bay Minette CCD	S	1338312247	27516166	516.725	10.624	30.809659	-87.706187                                                                                                        
AL	0100390846	00165650	Daphne CCD	S	297361737	142390794	114.812	54.977	30.667431	-87.906222                                                                                                             
AL	0100390963	00165651	Elberta CCD	S	316081142	47359329	122.04	18.286	30.406946	-87.518884                                                                                                              
AL	0100391053	00165652	Fairhope CCD	S	170338064	195931383	65.768	75.65	30.466855	-87.912303                                                                                                             
AL	0100391152	00161595	Foley CCD	S	451448059	677113701	174.305	261.435	30.3586	-87.831463                                                                                                               
AL	0100392754	00161596	Robertsdale CCD	S	442209204	4246848	170.738	1.64	30.556714	-87.643188                                                                                                            
AL	0100393024	00161597	Stockton CCD	S	971527026	37552076	375.109	14.499	31.110476	-87.786871                                                                                                            
AL	0100393042	00165653	Summerdale CCD	S	130503937	720538	50.388	0.278	30.489699	-87.67673                                                                                                               
AL	0100590189	00165654	Bakerhill CCD	S	333715685	9982138	128.848	3.854	31.763418	-85.271865                                                                                                             
AL	0100590630	00165655	Clayton CCD	S	517006045	983621	199.617	0.38	31.922275	-85.449831                                                                                                                 
AL	0100590648	00165656	Clio CCD	S	343319539	397957	132.556	0.154	31.679443	-85.55772                                                                                                                    
AL	0100591017	00161598	Eufaula CCD	S	745322170	38659527	287.771	14.927	32.000976	-85.243602                                                                                                             
AL	0100591989	00165657	Louisville CCD	S	352796712	499970	136.216	0.193	31.790893	-85.567051                                                                                                             
AL	0100790531	00161599	Centreville-Brent CCD	S	1005054334	4335179	388.054	1.674	32.931869	-87.14378                                                                                                     
