state,agency,support_type,signed,agency_fixed,note
Florida,Escambia County Sheriff's Office,Warrant Service Officer,2025-02-26,Escambia County Board of County Commissioners/ Department of Corrections,"ICE listed the county's jail agreement under the sheriff from 2025-02-27 until renaming it on 2025-07-16. The MOA (escambiaCo_WSO_MOA_02.21.2025.pdf) is between ICE and the Escambia County Board of County Commissioners, signed by its vice chair and by ICE on 2025-02-26; the county has run the jail since 2013. The sheriff's own agreement is the Task Force Model MOA EscambiaCoSheriffsOfficeFL_TFM_MOA_02262025.pdf"
Florida,Okaloosa County Sheriff's Office,Warrant Service Officer,2025-02-26,Okaloosa County Board of County Commissioners/ Department of Corrections,"ICE listed the county's jail agreement under the sheriff from 2025-02-27 until renaming it on 2025-07-03. The MOA (okaloosaCoCommishBoard_WSO_MOA_02262025.pdf) is between ICE and the Okaloosa County Board of County Commissioners, signed by its chairman and by ICE on 2025-02-26; the jail is run by the county Department of Corrections. The sheriff's own agreement is the Task Force Model MOA OkaloosaCoSheriffsOfficeFL_TFM_MOA_02262025.pdf"
Pennsylvania,Franklin County Sheriffs Office,Warrant Service Officer,2025-03-07,County of Franklin / Franklin County Jail,"ICE listed the county's jail agreement under the sheriff from 2025-03-18 until renaming it on 2025-08-12. The MOA (FranklinCountyJailPA_WSO_MOA_030725.pdf) is between ICE and the County of Franklin, signed on 2025-03-05 by commissioners Dean Horst (chairman), John T. Flannery and Robert G. Ziobrowski and by ICE on 2025-03-07; the jail is run by a warden under the county prison board. The sheriff's own agreement is the Task Force Model MOA FranklinCoPA_TFM_MOA_03.10.2025.pdf"
Louisiana,Louisiana State Patrol,Task Force Model,2025-05-20,Louisiana State Police Department,"ICE listed the agreement as Louisiana State Patrol from 2025-05-23 until renaming it on 2025-07-16; no agency of that name exists. The MOA (LouisianaStatePolice_TFM_MOA_05202025.pdf) is between ICE and Louisiana State Police, signed by Col. Robert P. Hodges, superintendent, and by ICE on 2025-05-20"
Florida,Florida Department of Agriculture,Task Force Model,2025-06-11,Office of Agricultural Law Enforcement,"ICE listed the agreement under the parent department from 2025-07-07 until renaming it on 2025-08-11. The MOA (FloridaAgLawEnfOffice_TFM_MOA_06112025.pdf) is between ICE and the State of Florida Office of Agricultural Law Enforcement, the law enforcement office of the Florida Department of Agriculture and Consumer Services, and was signed by ICE on 2025-06-11"
Florida,Florida Department of Agriculture,Task Force Model,2025-06-12,Office of Agricultural Law Enforcement,"the same agreement's earlier listing, printed from 2025-06-13 to 2025-07-07 with link pending, before ICE posted the MOA dated 2025-06-11; see the row above"
Pennsylvania,Cambria County Sheriff's Office,Warrant Service Officer,2025-07-31,Cambria County Prison,ICE listed the county prison's WSO under the sheriff while link pending (2025-08-01 to 2025-09-25) and renamed it when the MOA posted; the MOA (CambriaCoPrisonPA_WSO_MOA_073125.pdf) is signed by the Cambria County Prison PA
Pennsylvania,East Pennsylvania Township Constable Office,Task Force Model,2025-08-28,East Penn Township Constable Office,"ICE expanded the name wrongly; the MOA (EastPennTownshipConstablePA_TFM_MOA_082825.pdf) is the East Penn Township Constable Office, 167 Municipal Rd, Lehighton, PA 18235 (Carbon County)"
Florida,Waria-labelon County Sheriff's Office,Warrant Service Officer,2019-05-06,Walton County Sheriff's Office,ICE's page captured 2024-12-10 had every 'alt' replaced with 'aria-label' (its MOA link reads 287gWSO_Waria-labelonCoFl2019-05-06.pdf); every other capture prints Walton County
Florida,Pasco County BOCC,Task Force Model,2025-02-26,Pasco County Sheriff's Office,ICE printed the sheriff's task-force agreement under the county commission while link pending (2025-03-03 to 2025-03-07); from 2025-03-17 the same agreement is listed under Pasco County Sheriff's Office with its MOA
Michigan,Berrian County Sheriff's Office,Warrant Service Officer,2025-05-06,Berrien County Sheriff's Office,ICE misspells Berrien; the MOA (BerrienCoSheriffsOfficeMI_WSO_MOA_05.05.25.pdf) is the Berrien County Sheriffs Office
Michigan,Berrian County Sheriff's Offic,Warrant Service Officer,2025-05-06,Berrien County Sheriff's Office,"the same misspelling, truncated, in ICE's first four listings (2025-05-15 to 2025-05-19)"
Tennessee,Louden County Sheriff's Office,Task Force Model,2026-06-22,Loudon County Sheriff's Office,ICE misspells Loudon; the MOA (LoudonCoSOTN_TFM_MOA_06222026.pdf) is the Loudon County Sheriff's Office
Tennessee,Louden County Sheriff's Office,Warrant Service Officer,2026-06-22,Loudon County Sheriff's Office,"ICE misspells Loudon (see the TFM signed the same day, whose MOA names the Loudon County Sheriff's Office)"
Mississippi,Luka Police Department,Task Force Model,2026-07-13,Iuka Police Department,"ICE prints an l for the I: Iuka is the Tishomingo County seat, the county ICE gives; there is no Luka in Mississippi (MOA not yet posted)"
Texas,Von Ormy Police Departmentn,Task Force Model,2026-07-07,Von Ormy Police Department,a stray n in ICE's sheet (MOA not yet posted)
Georgia,Clay County Sheriff' Department,Task Force Model,2026-07-07,Clay County Sheriff's Department,ICE dropped the s of Sheriff's (MOA not yet posted)
Georgia,Clay County Sheriff' Department,Warrant Service Officer,2026-07-07,Clay County Sheriff's Department,ICE dropped the s of Sheriff's (MOA not yet posted)
Pennsylvania,"Southhampton Twp. Cumberland City, Constables Office",Task Force Model,2025-09-09,"Southampton Twp. Cumberland City, Constables Office","ICE misspells Southampton (Southampton Township, Cumberland County) on its first list and on every list since 2026-05; it printed Southampton on 104 lists from 2025-09-17 to 2026-05-01. The MOA (SouthhamptonTwpCumberlandCityConstablesOfficePA_TFM_MOA_09092025.pdf) repeats ICE's misspelling"
Minnesota,Freedom County Sheriff's Office,Warrant Service Officer,2025-03-27,Freeborn County Sheriff's Office,ICE printed Freedom for Freeborn on three lists (2025-03-27 and 28); Minnesota has no Freedom County and the MOA is FreebornCountyMN_WSO_MOA031325.pdf. Moved from agency-aliases.csv (audit 2026-09-13)
North Carolina,Brookfield Police Department,Task Force Model,2025-09-09,Brookford Police Department,ICE printed Brookfield for Brookford on two lists (2025-09-10 and 11); North Carolina has no Brookfield and the MOA is BrookfordPoliceDeptNC_TFM_MOA_09092025.pdf. Moved from agency-aliases.csv (audit 2026-09-13)
Virginia,Hopewell County Sheriff's Office,Task Force Model,2025-06-30,Hopewell Sheriff's Office,"Hopewell is an independent city; ICE prints County on every list, and both MOAs (HopewellSheriffsOfficeVA-TFM-MOA-07302025.pdf, HopewellCoSheriffsOfficeVA_WSO_MOA_07022025.pdf) read Hopewell Sheriff's Office, Virginia. Moved from agency-aliases.csv (audit 2026-09-13)"
Virginia,Hopewell County Sheriff's Office,Jail Enforcement Model,2025-07-02,Hopewell Sheriff's Office,as the Task Force Model row
Virginia,Hopewell County Sheriff's Office,Warrant Service Officer,2025-07-02,Hopewell Sheriff's Office,as the Task Force Model row
