state,county,agency,ORI9,source,note
Alaska,,Alaska Department of Corrections,,none,no ORI found in LEAIC (ICPSR 35158) or FBI crime data; reviewed 2026-07-10
Arizona,,Arizona Department of Corrections,AZ0079300,leaic:AZ DEPART OF CORRECTIONS PHOENIX,"state DOC law enforcement, Phoenix HQ"
Arizona,Pinal County,Pinal County Attorney's Office,,none,no ORI found in LEAIC (ICPSR 35158) or FBI crime data; reviewed 2026-07-10
Arkansas,Independence County,16th Judicial Distric Drug Task Force,,none,no ORI found in LEAIC (ICPSR 35158) or FBI crime data; reviewed 2026-07-10
Arkansas,Pulaski County,Arkansas Department of Corrections,,none,no ORI found in LEAIC (ICPSR 35158) or FBI crime data; reviewed 2026-07-10
Arkansas,Pulaski County,Arkansas Department of Public Safety,,none,"The MOA (ArkansasDPS_TFM_MOA_022326.pdf) is signed by Mike Hagar as Secretary for the department as a whole, and no roster carries a department ORI; the State Police's ARASP0000 would credit one division, unlike Montana, whose filename names its highway patrol (audit 2026-09-14)"
Arkansas,Pulaski County,Arkansas Department of Public Safety-Crime Information Center,,none,no ORI found in LEAIC (ICPSR 35158) or FBI crime data; reviewed 2026-07-10
Arkansas,Pulaski County,Arkansas Division of Law Enforcement Standards and Training,,none,"LEAIC's AR0520400 names the Law Enforcement Training Academy at Camden, one unit of the division, not the division; left blank; reviewed 2026-09-26"
Arkansas,,Arkansas National Guard,,none,no ORI found in LEAIC (ICPSR 35158) or FBI crime data; reviewed 2026-07-10
Arkansas,Columbia County,Taylor Police Department,,none,no ORI found in LEAIC (ICPSR 35158) or FBI crime data; reviewed 2026-07-10
Colorado,,Colorado Department of Public Safety,COCSP0000,leaic/lear/crime:COLORADO STATE PATROL,"The MOA's parties are the Department of Public Safety, Colorado State Patrol (r_287gcoloradodeptofpublicsafety101509.pdf; the earlier file is coloradodepartmentofpublicsafetycoloradostatepatrol.pdf), so the State Patrol's statewide ORI (audit 2026-09-14)"
California,San Bernardino County,San Bernardino County Sheriff's Office Addendum,CA0360000,leaic:SAN BERNARDINO COUNTY SHERIFF'S OFFICE,"ICE's agency cell carries the word Addendum, which names the document, not the agency (audit 2026-09-13)"
Commonwealth of the Northern Mariana Islands,,CNMI Department of Corrections,,none,no ORI found in LEAIC (ICPSR 35158) or FBI crime data; reviewed 2026-07-10
Commonwealth of the Northern Mariana Islands,,CNMI Department of Public Safety,,none,no ORI found in LEAIC (ICPSR 35158) or FBI crime data; reviewed 2026-07-10
Florida,,Boca Raton Police Services Department,FL0500200,leaic:BOCA RATON POLICE DEPARTMENT,"same agency, styled Police Services Department"
Florida,Escambia County,District Board of Trustees of Pensacola State College,FL0179100,leaic:PENSACOLA STATE COLLEGE,college police department; board is the signatory
Florida,Escambia County,Escambia County Board of County Commissioners/ Department of Corrections,,none,no ORI found in LEAIC (ICPSR 35158) or FBI crime data; reviewed 2026-07-10
Florida,,Florida A&M University Board of Trustees,FL0370700,leaic:FLORIDA A & M UNIVERSITY POLICE,university police department; board is the signatory
