agency,state,county,source,note
16th Judicial Distric Drug Task Force,Arkansas,Cleburne County,https://codes.findlaw.com/ar/title-16-practice-procedure-and-courts/ar-code-sect-16-13-2401/,"Ark. Code 16-13-2401: the Sixteenth Judicial District is Cleburne, Fulton, Independence, Izard and Stone counties"
16th Judicial Distric Drug Task Force,Arkansas,Fulton County,https://codes.findlaw.com/ar/title-16-practice-procedure-and-courts/ar-code-sect-16-13-2401/,"Ark. Code 16-13-2401: the Sixteenth Judicial District is Cleburne, Fulton, Independence, Izard and Stone counties"
16th Judicial Distric Drug Task Force,Arkansas,Independence County,https://codes.findlaw.com/ar/title-16-practice-procedure-and-courts/ar-code-sect-16-13-2401/,"Ark. Code 16-13-2401: the Sixteenth Judicial District is Cleburne, Fulton, Independence, Izard and Stone counties"
16th Judicial Distric Drug Task Force,Arkansas,Izard County,https://codes.findlaw.com/ar/title-16-practice-procedure-and-courts/ar-code-sect-16-13-2401/,"Ark. Code 16-13-2401: the Sixteenth Judicial District is Cleburne, Fulton, Independence, Izard and Stone counties"
16th Judicial Distric Drug Task Force,Arkansas,Stone County,https://codes.findlaw.com/ar/title-16-practice-procedure-and-courts/ar-code-sect-16-13-2401/,"Ark. Code 16-13-2401: the Sixteenth Judicial District is Cleburne, Fulton, Independence, Izard and Stone counties"
6th Judicial District Prosecuting Attorney's Office,Arkansas,Pulaski County,https://codes.findlaw.com/ar/title-16-practice-procedure-and-courts/ar-code-sect-16-13-1401/,Ark. Code 16-13-1401: the Sixth Judicial District is Perry and Pulaski counties
6th Judicial District Prosecuting Attorney's Office,Arkansas,Perry County,https://codes.findlaw.com/ar/title-16-practice-procedure-and-courts/ar-code-sect-16-13-1401/,Ark. Code 16-13-1401: the Sixth Judicial District is Perry and Pulaski counties
8th Judicial District South,Arkansas,Lafayette County,https://codes.findlaw.com/ar/title-16-practice-procedure-and-courts/ar-code-sect-16-13-3201/,Ark. Code 16-13-3201: the Eighth Judicial District-South is Lafayette and Miller counties
8th Judicial District South,Arkansas,Miller County,https://codes.findlaw.com/ar/title-16-practice-procedure-and-courts/ar-code-sect-16-13-3201/,Ark. Code 16-13-3201: the Eighth Judicial District-South is Lafayette and Miller counties
9th West Judicial District,Arkansas,Howard County,https://codes.findlaw.com/ar/title-16-practice-procedure-and-courts/ar-code-sect-16-13-1701/,"Ark. Code 16-13-1701(b): the Ninth Judicial District-West is Howard, Little River, Sevier and Pike counties"
9th West Judicial District,Arkansas,Little River County,https://codes.findlaw.com/ar/title-16-practice-procedure-and-courts/ar-code-sect-16-13-1701/,"Ark. Code 16-13-1701(b): the Ninth Judicial District-West is Howard, Little River, Sevier and Pike counties"
9th West Judicial District,Arkansas,Pike County,https://codes.findlaw.com/ar/title-16-practice-procedure-and-courts/ar-code-sect-16-13-1701/,"Ark. Code 16-13-1701(b): the Ninth Judicial District-West is Howard, Little River, Sevier and Pike counties"
9th West Judicial District,Arkansas,Sevier County,https://codes.findlaw.com/ar/title-16-practice-procedure-and-courts/ar-code-sect-16-13-1701/,"Ark. Code 16-13-1701(b): the Ninth Judicial District-West is Howard, Little River, Sevier and Pike counties"
