state,agency,jurisdiction_level,note
North Carolina,Albemarle District Jail,Regional,"A district jail in Elizabeth City (Pasquotank County) serving several northeastern North Carolina counties under a regional jail board; ICE typed it County and gave it a nonexistent Albemarle County, and ILRC lists it as a regional jail (reviewed 2026-09-13)"
Virginia,Prince William-Manassas Regional Adult Detention Center,Regional,Run by a regional jail board for Prince William County and the cities of Manassas and Manassas Park; ICE's earlier rosters called it the Prince William-Manassas Regional Jail (reviewed 2026-09-13)
Virginia,"Rappahannock, Shenandoah, Warren Regional Jail Authority",Regional,"A regional jail authority of Rappahannock, Shenandoah and Warren counties, as the name says; ICE typed it County (reviewed 2026-09-13)"
Virginia,Southwest Virginia Regional Jail Authority,Regional,"A regional jail authority of southwest Virginia counties and cities, with jails in Abingdon, Duffield, Haysi and Tazewell; ICE typed it County (reviewed 2026-09-13)"
Pennsylvania,Beaver Valley Regional Police Department,Regional,"A Pennsylvania regional police department, formed by several Beaver County municipalities; ICE typed it Municipality (reviewed 2026-09-13)"
Pennsylvania,Eastern Pike Regional Police Department,Regional,A Pennsylvania regional police department; its member municipalities are in inputs/manual-regional-municipalities.csv (reviewed 2026-09-13)
Pennsylvania,Greene Washington Regional Police Department,Regional,A Pennsylvania regional police department spanning Greene and Washington counties; its member municipalities are in inputs/manual-regional-municipalities.csv (reviewed 2026-09-13)
Pennsylvania,Lebanon County Regional Police Department,Regional,A Pennsylvania regional police department; its member municipalities are in inputs/manual-regional-municipalities.csv (reviewed 2026-09-13)
Pennsylvania,Northern York County Regional Police Department,Regional,A Pennsylvania regional police department of twelve municipalities; its members are in inputs/manual-regional-municipalities.csv (reviewed 2026-09-13)
Pennsylvania,Northwest Regional Police Department,Regional,"A Pennsylvania regional police department, formed by several municipalities; ICE typed it Municipality (reviewed 2026-09-13)"
Pennsylvania,Susquehanna Regional Police Department,Regional,A Pennsylvania regional police department; its member municipalities are in inputs/manual-regional-municipalities.csv (reviewed 2026-09-13)
Pennsylvania,York County Regional Police Department,Regional,A Pennsylvania regional police department; its member municipalities are in inputs/manual-regional-municipalities.csv (reviewed 2026-09-13)
Michigan,Metro Police Authority of Genesee County,Regional,"A police authority formed by Genesee County municipalities, Mundy Township among them; ICE typed it Municipality (reviewed 2026-09-13)"
Missouri,North County Police Cooperative,Regional,"A cooperative policing several north St. Louis County municipalities, Vinita Park and Wellston among them; ICE typed it Municipality and gave it the county North County (reviewed 2026-09-13)"
Missouri,COMET Drug Task Force,Regional,"The Combined Ozarks Multi-jurisdictional Enforcement Team, a drug task force of Springfield-area agencies; ICE typed it Municipality (reviewed 2026-09-13)"
Arkansas,16th Judicial Distric Drug Task Force,Judicial District,"A drug task force of Arkansas's 16th Judicial District: Cleburne, Fulton, Independence, Izard and Stone counties (independencecounty.com/prosecuting-attorney); ICE typed it State Agency and misspells District (reviewed 2026-09-13)"
Arkansas,6th Judicial District Prosecuting Attorney's Office,Judicial District,The prosecuting attorney for Arkansas's 6th Judicial District: Pulaski and Perry counties (pulaskipa.org/about); ICE typed it State Agency (reviewed 2026-09-13)
Arkansas,8th Judicial District South,Judicial District,The prosecuting attorney for Arkansas's 8th Judicial District-South: Lafayette and Miller counties (Ark. Code 16-13-3205); ICE typed it State Agency (reviewed 2026-09-13)
Arkansas,9th West Judicial District,Judicial District,"The prosecuting attorney for Arkansas's 9th Judicial District-West: Howard, Little River, Pike and Sevier counties (arcourts.gov, 9th West Circuit); ICE typed it State Agency (reviewed 2026-09-13)"
Florida,Office of the State Attorney Sixth Judicial Circuit,Judicial District,Florida's 6th Judicial Circuit: Pasco and Pinellas counties (Fla. Stat. 26.021); ICE typed it State Agency (reviewed 2026-09-13)
Florida,"Office of the State Attorney, 20th Judicial Circuit",Judicial District,"Florida's 20th Judicial Circuit: Charlotte, Collier, Glades, Hendry and Lee counties (Fla. Stat. 26.021); ICE typed it State Agency (reviewed 2026-09-13)"
Georgia,Northern Judicial Circuit Probation Office,Judicial District,"Georgia's Northern Judicial Circuit: Elbert, Franklin, Hart, Madison and Oglethorpe counties (Ga. Code 15-6-1); ICE typed it State Agency (reviewed 2026-09-13)"
Oklahoma,Office of The District Attorney - Eighth District,Judicial District,Oklahoma's District Attorney District 8: Kay and Noble counties (oklahoma.gov/dac/district-attorneys/district-8); ICE typed it County and gave it Kay County (reviewed 2026-09-13)
Tennessee,23rd Judicial District Attorney's Office,Judicial District,"Tennessee's 23rd Judicial District: Cheatham, Dickson, Houston, Humphreys and Stewart counties (tennesseeda.gov/district-23); ICE typed it State Agency (reviewed 2026-09-13)"
Texas,32nd Judicial District Attorney's Office,Judicial District,"Texas's 32nd Judicial District: Fisher, Mitchell and Nolan counties (Tex. Gov't Code 24.134); ICE typed it State Agency (reviewed 2026-09-13)"
Florida,Lee County Port Authority Police,Port,The Lee County Port Authority runs Southwest Florida International Airport and Page Field in Fort Myers; ICE typed it County (reviewed 2026-09-13)
Florida,Melbourne International Airport Police Department,Port,The Melbourne Airport Authority's police at Melbourne Orlando International Airport; ICE typed it Municipality (reviewed 2026-09-13)
Florida,Sanford Airport Police Department,Port,The Sanford Airport Authority's police at Orlando Sanford International Airport; ICE typed it Municipality (reviewed 2026-09-13)
Florida,Sarasota Manatee Airport Authority Police Department,Port,"The Sarasota Manatee Airport Authority's police at Sarasota Bradenton International Airport, which spans the two counties; ICE typed it Municipality (reviewed 2026-09-13)"
Florida,Florida Atlantic Police Department,Campus,"Florida Atlantic University's police department; the name omits University, so the campus rule misses it (see inputs/manual-non-facility-polygons.csv) (reviewed 2026-09-13)"
Oklahoma,Caney Valley Public Schools Police Department,Campus,"The Caney Valley school district's police department (Ramona, Oklahoma); a school district's police is campus police as a university's is, and ICE typed it Municipality (reviewed 2026-09-13)"
Oklahoma,Okmulgee County District Attorney's Office,Judicial District,Oklahoma's District Attorney District 25: Okmulgee and McIntosh counties (oklahoma.gov/dac/district-attorneys/district-25); ICE names the office by county and types it County (reviewed 2026-09-13)
