agency,state,county,source,note
"Rappahannock, Shenandoah, Warren Regional Jail Authority",Virginia,Rappahannock County,https://rswregionaljail.com/about-the-facility/,"the authority's own site: the jail serves the counties of Warren, Rappahannock and Shenandoah"
"Rappahannock, Shenandoah, Warren Regional Jail Authority",Virginia,Shenandoah County,https://rswregionaljail.com/about-the-facility/,"the authority's own site: the jail serves the counties of Warren, Rappahannock and Shenandoah"
"Rappahannock, Shenandoah, Warren Regional Jail Authority",Virginia,Warren County,https://rswregionaljail.com/about-the-facility/,"the authority's own site: the jail serves the counties of Warren, Rappahannock and Shenandoah"
Southwest Virginia Regional Jail Authority,Virginia,Buchanan County,http://www.smythcounty.gov/departments/sheriff/regional_jail.php,"member county's page: the authority serves the counties of Buchanan, Dickenson, Lee, Russell, Scott, Smyth, Tazewell, Washington, Wise and the City of Norton"
Southwest Virginia Regional Jail Authority,Virginia,Dickenson County,http://www.smythcounty.gov/departments/sheriff/regional_jail.php,"member county's page: the authority serves the counties of Buchanan, Dickenson, Lee, Russell, Scott, Smyth, Tazewell, Washington, Wise and the City of Norton"
Southwest Virginia Regional Jail Authority,Virginia,Lee County,http://www.smythcounty.gov/departments/sheriff/regional_jail.php,"member county's page: the authority serves the counties of Buchanan, Dickenson, Lee, Russell, Scott, Smyth, Tazewell, Washington, Wise and the City of Norton"
Southwest Virginia Regional Jail Authority,Virginia,Russell County,http://www.smythcounty.gov/departments/sheriff/regional_jail.php,"member county's page: the authority serves the counties of Buchanan, Dickenson, Lee, Russell, Scott, Smyth, Tazewell, Washington, Wise and the City of Norton"
Southwest Virginia Regional Jail Authority,Virginia,Scott County,http://www.smythcounty.gov/departments/sheriff/regional_jail.php,"member county's page: the authority serves the counties of Buchanan, Dickenson, Lee, Russell, Scott, Smyth, Tazewell, Washington, Wise and the City of Norton"
Southwest Virginia Regional Jail Authority,Virginia,Smyth County,http://www.smythcounty.gov/departments/sheriff/regional_jail.php,"member county's page: the authority serves the counties of Buchanan, Dickenson, Lee, Russell, Scott, Smyth, Tazewell, Washington, Wise and the City of Norton"
Southwest Virginia Regional Jail Authority,Virginia,Tazewell County,http://www.smythcounty.gov/departments/sheriff/regional_jail.php,"member county's page: the authority serves the counties of Buchanan, Dickenson, Lee, Russell, Scott, Smyth, Tazewell, Washington, Wise and the City of Norton"
Southwest Virginia Regional Jail Authority,Virginia,Washington County,http://www.smythcounty.gov/departments/sheriff/regional_jail.php,"member county's page: the authority serves the counties of Buchanan, Dickenson, Lee, Russell, Scott, Smyth, Tazewell, Washington, Wise and the City of Norton"
Southwest Virginia Regional Jail Authority,Virginia,Wise County,http://www.smythcounty.gov/departments/sheriff/regional_jail.php,"member county's page: the authority serves the counties of Buchanan, Dickenson, Lee, Russell, Scott, Smyth, Tazewell, Washington, Wise and the City of Norton"
Southwest Virginia Regional Jail Authority,Virginia,Norton City,http://www.smythcounty.gov/departments/sheriff/regional_jail.php,"member county's page: the authority serves the counties of Buchanan, Dickenson, Lee, Russell, Scott, Smyth, Tazewell, Washington, Wise and the City of Norton"
Albemarle District Jail,North Carolina,Camden County,https://www.albemarlejail.org/about/about-the-jail,"the jail's own site: run by a commission of Camden, Pasquotank and Perquimans counties, which authorized it in 1969"
Albemarle District Jail,North Carolina,Pasquotank County,https://www.albemarlejail.org/about/about-the-jail,"the jail's own site: run by a commission of Camden, Pasquotank and Perquimans counties, which authorized it in 1969"
Albemarle District Jail,North Carolina,Perquimans County,https://www.albemarlejail.org/about/about-the-jail,"the jail's own site: run by a commission of Camden, Pasquotank and Perquimans counties, which authorized it in 1969"
Prince William-Manassas Regional Adult Detention Center,Virginia,Prince William County,https://web.archive.org/web/20100528012215id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gprincewilliammanassasregionaljail101509.pdf,"the 2009 MOA itself: the jail board's constituent members are the City of Manassas and Prince William County; the City of Manassas Park uses the jail by contract and owns no part of it"
Prince William-Manassas Regional Adult Detention Center,Virginia,Manassas City,https://web.archive.org/web/20100528012215id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gprincewilliammanassasregionaljail101509.pdf,"the 2009 MOA itself: the jail board's constituent members are the City of Manassas and Prince William County; the City of Manassas Park uses the jail by contract and owns no part of it"
Prince William-Manassas Regional Jail,Virginia,Prince William County,https://web.archive.org/web/20100528012215id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gprincewilliammanassasregionaljail101509.pdf,"the 2009 MOA itself: the jail board's constituent members are the City of Manassas and Prince William County; the City of Manassas Park uses the jail by contract and owns no part of it"
Prince William-Manassas Regional Jail,Virginia,Manassas City,https://web.archive.org/web/20100528012215id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gprincewilliammanassasregionaljail101509.pdf,"the 2009 MOA itself: the jail board's constituent members are the City of Manassas and Prince William County; the City of Manassas Park uses the jail by contract and owns no part of it"
