agency,state,county,municipality,municipality_county,source,note
Eastern Pike Regional Police Department,Pennsylvania,Pike County,Matamoras Borough,Pike County,https://pike.crimewatchpa.com/easternpikepd/118925/content/history,Formed 2008 by Matamoras Borough and Westfall Township
Eastern Pike Regional Police Department,Pennsylvania,Pike County,Westfall Township,Pike County,https://pike.crimewatchpa.com/easternpikepd/118925/content/history,Formed 2008 by Matamoras Borough and Westfall Township
Susquehanna Regional Police Department,Pennsylvania,Lancaster County,Marietta Borough,Lancaster County,https://ecode360.com/12331425,Marietta Borough code Article II establishing the department
Susquehanna Regional Police Department,Pennsylvania,Lancaster County,East Donegal Township,Lancaster County,https://ecode360.com/12331425,Marietta Borough code Article II establishing the department
Susquehanna Regional Police Department,Pennsylvania,Lancaster County,Conoy Township,Lancaster County,https://conoytownship.org/susquehanna-regional-police-department/,Conoy Township lists the department as its police service
Lebanon County Regional Police Department,Pennsylvania,Lebanon County,North Lebanon Township,Lebanon County,https://northlebanontwppa.gov/wp-content/uploads/2024/06/Leb-Co-Regional-PD-FINAL-6-13-2024.pdf,Charter municipality named in the 2024 charter agreement
Lebanon County Regional Police Department,Pennsylvania,Lebanon County,North Cornwall Township,Lebanon County,https://northlebanontwppa.gov/wp-content/uploads/2024/06/Leb-Co-Regional-PD-FINAL-6-13-2024.pdf,Charter municipality named in the 2024 charter agreement
Lebanon County Regional Police Department,Pennsylvania,Lebanon County,West Lebanon Township,Lebanon County,https://lebtown.com/2026/04/01/lebanon-county-western-lebanon-county-regional-pds-to-consider-merger/,Served by the department since it began operating in 2025 though not a charter signatory
Northern York County Regional Police Department,Pennsylvania,York County,Conewago Township,York County,https://nycrpd.org/?page_id=2,One of the twelve member municipalities listed by the department
Northern York County Regional Police Department,Pennsylvania,York County,Dover Borough,York County,https://nycrpd.org/?page_id=2,One of the twelve member municipalities listed by the department
Northern York County Regional Police Department,Pennsylvania,York County,Dover Township,York County,https://nycrpd.org/?page_id=2,One of the twelve member municipalities listed by the department
Northern York County Regional Police Department,Pennsylvania,York County,Franklin Township,York County,https://nycrpd.org/?page_id=2,One of the twelve member municipalities listed by the department
Northern York County Regional Police Department,Pennsylvania,York County,Heidelberg Township,York County,https://nycrpd.org/?page_id=2,One of the twelve member municipalities listed by the department
Northern York County Regional Police Department,Pennsylvania,York County,Jackson Township,York County,https://nycrpd.org/?page_id=2,One of the twelve member municipalities listed by the department
Northern York County Regional Police Department,Pennsylvania,York County,Manchester Township,York County,https://nycrpd.org/?page_id=2,One of the twelve member municipalities listed by the department
Northern York County Regional Police Department,Pennsylvania,York County,Manheim Township,York County,https://nycrpd.org/?page_id=2,York County Manheim Township not the Lancaster County township of the same name
Northern York County Regional Police Department,Pennsylvania,York County,New Salem Borough,York County,https://nycrpd.org/?page_id=2,One of the twelve member municipalities listed by the department
Northern York County Regional Police Department,Pennsylvania,York County,North Codorus Township,York County,https://nycrpd.org/?page_id=2,One of the twelve member municipalities listed by the department
Northern York County Regional Police Department,Pennsylvania,York County,North York Borough,York County,https://nycrpd.org/?page_id=2,One of the twelve member municipalities listed by the department
Northern York County Regional Police Department,Pennsylvania,York County,Paradise Township,York County,https://nycrpd.org/?page_id=2,One of the twelve member municipalities listed by the department
York County Regional Police Department,Pennsylvania,York County,York Township,York County,https://crimewatch.net/us/pa/york/york-county-regional-pd/42156/content/municipalities,Department jurisdiction list after the Northeastern and York Area regional merger
York County Regional Police Department,Pennsylvania,York County,Windsor Township,York County,https://crimewatch.net/us/pa/york/york-county-regional-pd/42156/content/municipalities,Department jurisdiction list after the Northeastern and York Area regional merger
York County Regional Police Department,Pennsylvania,York County,Spring Garden Township,York County,https://crimewatch.net/us/pa/york/york-county-regional-pd/42156/content/municipalities,Merged into the department in 2025
York County Regional Police Department,Pennsylvania,York County,East Manchester Township,York County,https://crimewatch.net/us/pa/york/york-county-regional-pd/42156/content/municipalities,Department jurisdiction list after the Northeastern and York Area regional merger
York County Regional Police Department,Pennsylvania,York County,Dallastown Borough,York County,https://crimewatch.net/us/pa/york/york-county-regional-pd/42156/content/municipalities,Department jurisdiction list after the Northeastern and York Area regional merger
York County Regional Police Department,Pennsylvania,York County,Manchester Borough,York County,https://crimewatch.net/us/pa/york/york-county-regional-pd/42156/content/municipalities,Department jurisdiction list after the Northeastern and York Area regional merger
York County Regional Police Department,Pennsylvania,York County,Spring Grove Borough,York County,https://crimewatch.net/us/pa/york/york-county-regional-pd/42156/content/municipalities,Department jurisdiction list after the Northeastern and York Area regional merger
York County Regional Police Department,Pennsylvania,York County,Jacobus Borough,York County,https://crimewatch.net/us/pa/york/york-county-regional-pd/42156/content/municipalities,Department jurisdiction list after the Northeastern and York Area regional merger
York County Regional Police Department,Pennsylvania,York County,Mount Wolf Borough,York County,https://crimewatch.net/us/pa/york/york-county-regional-pd/42156/content/municipalities,Listed as Mt. Wolf Borough by the department
York County Regional Police Department,Pennsylvania,York County,Yoe Borough,York County,https://crimewatch.net/us/pa/york/york-county-regional-pd/42156/content/municipalities,Department jurisdiction list after the Northeastern and York Area regional merger
Greene Washington Regional Police Department,Pennsylvania,Greene County,Morris Township,Greene County,https://www.observer-reporter.com/news/2016/oct/28/three-greene-county-municipalities-forming-regional-police-force/,Founding municipality
Greene Washington Regional Police Department,Pennsylvania,Greene County,Perry Township,Greene County,https://www.observer-reporter.com/news/2016/oct/28/three-greene-county-municipalities-forming-regional-police-force/,Founding municipality
Greene Washington Regional Police Department,Pennsylvania,Greene County,Wayne Township,Greene County,https://www.observer-reporter.com/news/2016/oct/28/three-greene-county-municipalities-forming-regional-police-force/,Founding municipality
Greene Washington Regional Police Department,Pennsylvania,Greene County,Morris Township,Washington County,https://www.observer-reporter.com/news/2016/oct/28/three-greene-county-municipalities-forming-regional-police-force/,Washington County township of the same name served on contract which is why the department carries a Washington County ORI
