"state","agency","jurisdiction_level","county_fips","county_name","first_signed_best","first_signed_source","latest_signed","signing_dates","models","active_from","active_to","terminated","n_rosters","in_ice_roster","in_kostandini","in_yale_2008","n_sources","confidence","moa_files","moa_pdf_present","moa_archived_url"
"ALABAMA","Alabama Department of Public Safety","statewide",,,2003-09-10,"Kostandini Table A1",2003-09-10,"2003-09-10","Task Force",2010-10-29,2012-10-02,TRUE,8,TRUE,TRUE,TRUE,3,"high","r_287galabamadepartmentofpublicsafety101609.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287galabamadepartmentofpublicsafety101609.pdf"
"ALABAMA","Etowah County Sheriff's Office","local","1055","Etowah County, AL",2008-07-08,"ICE roster (earliest observed)",2016-06-08,"2008-07-08; 2013-06-28; 2016-06-08","Jail Enforcement",2010-10-29,2017-08-01,FALSE,33,TRUE,FALSE,FALSE,1,"medium","r_287getowah.pdf; r_287getowah100509.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287getowah.pdf; https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287getowah100509.pdf"
"ARIZONA","Arizona Department of Corrections","statewide",,,2005-09-16,"Kostandini Table A1",2016-06-08,"2005-09-16; 2013-09-26; 2016-06-08","Jail Enforcement",2010-10-29,2017-08-01,FALSE,33,TRUE,TRUE,TRUE,3,"high","r_287gazdeptofcorrections.pdf; r_287gazdeptofcorrections101509.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gazdeptofcorrections.pdf; https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gazdeptofcorrections101509.pdf"
"ARIZONA","Arizona Department of Public Safety","statewide",,,2007-04-15,"Kostandini Table A1",2007-04-15,"2007-04-15","Jail Enforcement -> Task Force",2010-10-29,2011-09-02,TRUE,7,TRUE,TRUE,TRUE,3,"high","r_287garizonadeptpublicsafety101809.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287garizonadeptpublicsafety101809.pdf"
"ARIZONA","City of Mesa Police Department","local","4013","Maricopa County, AZ",2009-11-19,"Kostandini Table A1",2016-06-23,"2009-11-19; 2013-06-28; 2016-06-23","Jail Enforcement",2010-10-29,2017-08-01,FALSE,33,TRUE,TRUE,FALSE,2,"high","r_287gmesapolicedept.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gmesapolicedept.pdf"
"ARIZONA","City of Phoenix Police Department","local","4013","Maricopa County, AZ",2008-03-10,"Kostandini Table A1",2008-03-10,"2008-03-10","Jail Enforcement -> Task Force",2010-10-29,2011-09-02,TRUE,7,TRUE,TRUE,FALSE,2,"high","r_287gphoenixpd101509.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gphoenixpd101509.pdf"
"ARIZONA","Florence Police Department","local","4021","Pinal County, AZ",2009-10-21,"Kostandini Table A1",2009-10-21,"2009-10-21","Jail Enforcement -> Task Force",2010-10-29,2011-09-02,TRUE,7,TRUE,TRUE,FALSE,2,"high","r_287gflorencepd102109.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gflorencepd102109.pdf"
"ARIZONA","Maricopa County Sheriff's Office","local","4013","Maricopa County, AZ",2007-02-07,"ICE roster (earliest observed)",2007-02-07,"2007-02-07","Jail Enforcement",2010-10-29,2011-09-02,TRUE,3,TRUE,TRUE,FALSE,2,"high","r_287gmaricopacountyso102609.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gmaricopacountyso102609.pdf"
"ARIZONA","Pima County Sheriff's Office","local","4019","Pima County, AZ",2008-03-10,"Kostandini Table A1",2008-03-10,"2008-03-10","Jail Enforcement",2010-10-29,2011-09-02,TRUE,7,TRUE,TRUE,FALSE,2,"high","r_287gpimacounty101509.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gpimacounty101509.pdf"
"ARIZONA","Pinal County Sheriff's Office","local","4021","Pinal County, AZ",2008-03-10,"ICE roster (earliest observed)",2016-06-13,"2008-03-10; 2013-06-28; 2016-06-13","Jail Enforcement",2010-10-29,2017-08-01,FALSE,33,TRUE,FALSE,FALSE,1,"medium","r_287gpinalcountyso.pdf; r_287gpinalcountyso101509.pdf",TRUE,"https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gpinalcountyso.pdf; https://web.archive.org/web/2017id_/http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/r_287gpinalcountyso101509.pdf"
