"fips","start_ym","end_ym","models","n_months","right_censored","source"
1055,"2008-08","2015-12","Jail Enforcement",89,TRUE,"East et al. 2023 (JOLE) replication panel"
4013,"2007-03","2012-12","Hybrid / Task Force",70,FALSE,"East et al. 2023 (JOLE) replication panel"
4019,"2008-04","2015-12","Hybrid / Jail Enforcement",93,TRUE,"East et al. 2023 (JOLE) replication panel"
4021,"2008-04","2015-12","Hybrid / Jail Enforcement",93,TRUE,"East et al. 2023 (JOLE) replication panel"
4025,"2008-04","2015-12","Hybrid / Jail Enforcement",93,TRUE,"East et al. 2023 (JOLE) replication panel"
5007,"2007-10","2015-12","Hybrid / Jail Enforcement",99,TRUE,"East et al. 2023 (JOLE) replication panel"
5143,"2007-10","2015-12","Hybrid / Jail Enforcement",99,TRUE,"East et al. 2023 (JOLE) replication panel"
6037,"2005-02","2015-05","Jail Enforcement",124,FALSE,"East et al. 2023 (JOLE) replication panel"
6059,"2006-12","2015-12","Jail Enforcement",109,TRUE,"East et al. 2023 (JOLE) replication panel"
6065,"2006-05","2014-12","Jail Enforcement",104,FALSE,"East et al. 2023 (JOLE) replication panel"
6071,"2005-11","2014-05","Jail Enforcement",103,FALSE,"East et al. 2023 (JOLE) replication panel"
8041,"2007-06","2015-04","Jail Enforcement",95,FALSE,"East et al. 2023 (JOLE) replication panel"
9001,"2009-11","2012-12","Task Force",38,FALSE,"East et al. 2023 (JOLE) replication panel"
12005,"2008-07","2012-12","Task Force",54,FALSE,"East et al. 2023 (JOLE) replication panel"
12021,"2007-09","2015-12","Hybrid / Jail Enforcement",100,TRUE,"East et al. 2023 (JOLE) replication panel"
12031,"2008-08","2015-12","Jail Enforcement",89,TRUE,"East et al. 2023 (JOLE) replication panel"
13067,"2007-03","2015-12","Jail Enforcement",106,TRUE,"East et al. 2023 (JOLE) replication panel"
13135,"2009-11","2015-12","Jail Enforcement",74,TRUE,"East et al. 2023 (JOLE) replication panel"
13139,"2008-03","2015-12","Hybrid / Jail Enforcement",94,TRUE,"East et al. 2023 (JOLE) replication panel"
13313,"2008-03","2015-12","Jail Enforcement",94,TRUE,"East et al. 2023 (JOLE) replication panel"
24021,"2008-03","2015-12","Hybrid / Jail Enforcement",94,TRUE,"East et al. 2023 (JOLE) replication panel"
32003,"2008-10","2015-12","Jail Enforcement",87,TRUE,"East et al. 2023 (JOLE) replication panel"
33011,"2007-06","2012-12","Task Force",67,FALSE,"East et al. 2023 (JOLE) replication panel"
34017,"2008-09","2015-12","Jail Enforcement",88,TRUE,"East et al. 2023 (JOLE) replication panel"
34025,"2009-11","2015-12","Jail Enforcement",74,TRUE,"East et al. 2023 (JOLE) replication panel"
37001,"2007-02","2012-09","Jail Enforcement",68,FALSE,"East et al. 2023 (JOLE) replication panel"
37025,"2007-09","2012-10","Jail Enforcement",62,FALSE,"East et al. 2023 (JOLE) replication panel"
37063,"2008-02","2012-12","Task Force",59,FALSE,"East et al. 2023 (JOLE) replication panel"
37071,"2007-03","2015-12","Jail Enforcement",106,TRUE,"East et al. 2023 (JOLE) replication panel"
37081,"2009-11","2012-12","Task Force",38,FALSE,"East et al. 2023 (JOLE) replication panel"
37089,"2008-07","2015-12","Jail Enforcement",90,TRUE,"East et al. 2023 (JOLE) replication panel"
37119,"2006-03","2015-12","Jail Enforcement",118,TRUE,"East et al. 2023 (JOLE) replication panel"
37183,"2008-07","2015-12","Jail Enforcement",90,TRUE,"East et al. 2023 (JOLE) replication panel"
39017,"2008-03","2015-12","Hybrid / Jail Enforcement",94,TRUE,"East et al. 2023 (JOLE) replication panel"
40143,"2007-09","2015-12","Hybrid / Jail Enforcement",100,TRUE,"East et al. 2023 (JOLE) replication panel"
45013,"2008-07","2012-12","Task Force",54,FALSE,"East et al. 2023 (JOLE) replication panel"
45019,"2009-12","2015-12","Jail Enforcement",73,TRUE,"East et al. 2023 (JOLE) replication panel"
45063,"2013-08","2014-06","Jail Enforcement",11,FALSE,"East et al. 2023 (JOLE) replication panel"
45091,"2007-11","2015-12","Jail Enforcement",98,TRUE,"East et al. 2023 (JOLE) replication panel"
47037,"2007-03","2014-10","Jail Enforcement",92,FALSE,"East et al. 2023 (JOLE) replication panel"
48085,"2008-09","2015-12","Jail Enforcement",88,TRUE,"East et al. 2023 (JOLE) replication panel"
48113,"2008-08","2015-12","Hybrid / Jail Enforcement",89,TRUE,"East et al. 2023 (JOLE) replication panel"
48121,"2008-09","2015-12","Jail Enforcement",88,TRUE,"East et al. 2023 (JOLE) replication panel"
48201,"2008-08","2015-12","Jail Enforcement",89,TRUE,"East et al. 2023 (JOLE) replication panel"
49053,"2008-10","2012-12","Jail Enforcement",51,FALSE,"East et al. 2023 (JOLE) replication panel"
49057,"2008-10","2014-12","Jail Enforcement",75,FALSE,"East et al. 2023 (JOLE) replication panel"
51059,"2007-04","2012-12","Task Force",69,FALSE,"East et al. 2023 (JOLE) replication panel"
51107,"2008-07","2012-12","Task Force",54,FALSE,"East et al. 2023 (JOLE) replication panel"
51153,"2007-08","2015-12","Jail Enforcement",101,TRUE,"East et al. 2023 (JOLE) replication panel"
51165,"2007-05","2015-12","Hybrid / Jail Enforcement",104,TRUE,"East et al. 2023 (JOLE) replication panel"
51171,"2007-06","2015-12","Hybrid / Jail Enforcement",103,TRUE,"East et al. 2023 (JOLE) replication panel"
