"level","jurisdiction","agency","date_raw","date_signed","source"
"county","Arizona","City of Mesa Police Department","19-Nov-09",2009-11-19,"Kostandini et al. 2014, Table A1"
"county","Arizona","City of Phoenix Police Department","10-Mar-08",2008-03-10,"Kostandini et al. 2014, Table A1"
"county","Arizona","Florence Police Department","21-Oct-09",2009-10-21,"Kostandini et al. 2014, Table A1"
"county","Arizona","Maricopa County Sheriff's Office","14-Mar-08",2008-03-14,"Kostandini et al. 2014, Table A1"
"county","Arizona","Pima County Sheriff's Office","10-Mar-08",2008-03-10,"Kostandini et al. 2014, Table A1"
"county","Arizona","Yavapai County Sheriff's Office","10-Mar-08",2008-03-10,"Kostandini et al. 2014, Table A1"
"county","Arkansas","Benton County Sheriff's Office","26-Sep-07",2007-09-26,"Kostandini et al. 2014, Table A1"
"county","Arkansas","City of Springdale Police Department","26-Sep-07",2007-09-26,"Kostandini et al. 2014, Table A1"
"county","Arkansas","Rogers Police Department","25-Sep-07",2007-09-25,"Kostandini et al. 2014, Table A1"
"county","Arkansas","Washington County Sheriff's Office","26-Sep-07",2007-09-26,"Kostandini et al. 2014, Table A1"
"county","California","Los Angeles County Sheriff's Office","l-Feb-05",2005-02-01,"Kostandini et al. 2014, Table A1"
"county","California","Orange County Sheriff's Office","2-Nov-06",2006-11-02,"Kostandini et al. 2014, Table A1"
"county","California","Riverside County Sheriff's Office","28-Apr-06",2006-04-28,"Kostandini et al. 2014, Table A1"
"county","California","San Bernardino County Sheriff's Office","19-NOV-05",2005-11-19,"Kostandini et al. 2014, Table A1"
"county","Colorado","El Paso County Sheriff's Office","17-May-07",2007-05-17,"Kostandini et al. 2014, Table A1"
"county","Connecticut","City of Danbury Police Department","15-Oct-09",2009-10-15,"Kostandini et al. 2014, Table A1"
"county","Florida","Bay County Sheriff's Office","15-Jun-08",2008-06-15,"Kostandini et al. 2014, Table A1"
"county","Florida","Collier County Sheriff's Office","6-Aug-07",2007-08-06,"Kostandini et al. 2014, Table A1"
"county","Florida","Jacksonville Sheriff's Office","8-Jul-08",2008-07-08,"Kostandini et al. 2014, Table A1"
"county","Georgia","Cobb County Sheriff's Office","13-Feb-07",2007-02-13,"Kostandini et al. 2014, Table A1"
"county","Georgia","Gwinnett County Sheriff's Office","15-Oct-09",2009-10-15,"Kostandini et al. 2014, Table A1"
"county","Georgia","Hall County Sheriff's Office","29-Feb-08",2008-02-29,"Kostandini et al. 2014, Table A1"
"county","Georgia","Whitfield County Sheriff's Office","4-Feb-08",2008-02-04,"Kostandini et al. 2014, Table A1"
"county","Maryland","Frederick County Sheriff's Office","6-Feb-08",2008-02-06,"Kostandini et al. 2014, Table A1"
"county","Nevada","Las Vegas Metropolitan Police Department","8-Sep-08",2008-09-08,"Kostandini et al. 2014, Table A1"
"county","New Jersey","Hudson County Department of Corrections","ll-Aug-08",2008-08-11,"Kostandini et al. 2014, Table A1"
"county","New Jersey","Monmouth County Sheriff's Office","15-Oct-09",2009-10-15,"Kostandini et al. 2014, Table A1"
"county","North Carolina","Alamance County Sheriff's Office","10-Jan-07",2007-01-10,"Kostandini et al. 2014, Table A1"
"county","North Carolina","Cabarrus County Sheriff's Office","2-Aug-07",2007-08-02,"Kostandini et al. 2014, Table A1"
"county","North Carolina","City of Durham Police Department","l-Feb-08",2008-02-01,"Kostandini et al. 2014, Table A1"
"county","North Carolina","Gaston County Sheriff's Office","22-Feb-07",2007-02-22,"Kostandini et al. 2014, Table A1"
"county","North Carolina","Henderson County Sheriff's Office","25-Jun-08",2008-06-25,"Kostandini et al. 2014, Table A1"
"county","North Carolina","Mecklenburg County Sheriff's Office","27-Feb-06",2006-02-27,"Kostandini et al. 2014, Table A1"
"county","North Carolina","Wake County Sheriff's Office","25-Jun-08",2008-06-25,"Kostandini et al. 2014, Table A1"
"county","Ohio","Butler County Sheriff's Office","5-Feb-08",2008-02-05,"Kostandini et al. 2014, Table A1"
"county","Oklahoma","Tulsa County Sheriff's Office","6-Aug-07",2007-08-06,"Kostandini et al. 2014, Table A1"
"county","South Carolina","Beaufort County Sheriff's Office","25-Jun-08",2008-06-25,"Kostandini et al. 2014, Table A1"
"county","South Carolina","Charleston County Sheriff's Office","9-Nov-09",2009-11-09,"Kostandini et al. 2014, Table A1"
"county","South Carolina","Lexington County Sheriff's Office","19-Aug-10",2010-08-19,"Kostandini et al. 2014, Table A1"
"county","South Carolina","York County Sheriff's Office","16-Oct-07",2007-10-16,"Kostandini et al. 2014, Table A1"
"county","Tennessee","Davidson County Sheriff's Office","21-Feb-07",2007-02-21,"Kostandini et al. 2014, Table A1"
"county","Texas","Carrollton Police Department","12-Aug-08",2008-08-12,"Kostandini et al. 2014, Table A1"
"county","Texas","Farmers Branch Police Department","8-Jul-08",2008-07-08,"Kostandini et al. 2014, Table A1"
"county","Texas","Harris County Sheriff's Office","20-Jul-08",2008-07-20,"Kostandini et al. 2014, Table A1"
"county","Utah","Washington County Sheriff's Office","22-Sep-08",2008-09-22,"Kostandini et al. 2014, Table A1"
"county","Utah","Weber County Sheriff's Office","22-Sep-08",2008-09-22,"Kostandini et al. 2014, Table A1"
"county","Virginia","Herndon Police Department","21-Mar-07",2007-03-21,"Kostandini et al. 2014, Table A1"
"county","Virginia","Loudoun County Sheriff's Office","25-Jun-08",2008-06-25,"Kostandini et al. 2014, Table A1"
"county","Virginia","Manassas Park Police Department","10-Mar-08",2008-03-10,"Kostandini et al. 2014, Table A1"
"county","Virginia","Manassas Police Department","5-Mar-08",2008-03-05,"Kostandini et al. 2014, Table A1"
"county","Virginia","Prince William County Police Department","26-Feb-08",2008-02-26,"Kostandini et al. 2014, Table A1"
"county","Virginia","Prince William County Sheriff's Office","26-Feb-08",2008-02-26,"Kostandini et al. 2014, Table A1"
"county","Virginia","Prince William-Manassas Regional Jail","9-Jul-07",2007-07-09,"Kostandini et al. 2014, Table A1"
"county","Virginia","Rockingham County Sheriff's Office","25-Apr-07",2007-04-25,"Kostandini et al. 2014, Table A1"
"county","Virginia","Shenandoah County Sheriff's Office","10-May-07",2007-05-10,"Kostandini et al. 2014, Table A1"
"state","Alabama","Alabama Department of Public Safety","10-Sep-03",2003-09-10,"Kostandini et al. 2014, Table A1"
"state","Arizona","Arizona Department of Corrections","16-Sep-05",2005-09-16,"Kostandini et al. 2014, Table A1"
"state","Arizona","Arizona Department of Public Safety","15-Apr-07",2007-04-15,"Kostandini et al. 2014, Table A1"
"state","Colorado","Colorado Department of Public Safety","29-Mar-07",2007-03-29,"Kostandini et al. 2014, Table A1"
"state","Delaware","Delaware Department of Corrections","15-Oct-09",2009-10-15,"Kostandini et al. 2014, Table A1"
"state","Florida","Florida Department of Law Enforcement","2-Jul-02",2002-07-02,"Kostandini et al. 2014, Table A1"
"state","Georgia","Georgia Department of Public Safety","27-Jul-07",2007-07-27,"Kostandini et al. 2014, Table A1"
"state","Minnesota","Minnesota Department of Public Safety","22-Sep-08",2008-09-22,"Kostandini et al. 2014, Table A1"
"state","Missouri","Missouri State Highway Patrol","25-Jun-08",2008-06-25,"Kostandini et al. 2014, Table A1"
"state","New Mexico","New Mexico Department of Corrections","17-Sep-07",2007-09-17,"Kostandini et al. 2014, Table A1"
"state","Tennessee","Tennessee Highway Patrol / Department of Safety","25-Jun-08",2008-06-25,"Kostandini et al. 2014, Table A1"
