"jurisdiction_label","source_pdf","census_date","pdf_recoverable","source"
"Alabama Department of Public Safety","Alabama%20DPS.pdf",2008-01-17,FALSE,"Yale WIRAC FOIA release (ICE production 2008-01-17)"
"Alamance County, North Carolina","Alamance%20County,%20NC.pdf",2008-01-17,FALSE,"Yale WIRAC FOIA release (ICE production 2008-01-17)"
"Arizona Department of Corrections","Arizona%20DOC.pdf",2008-01-17,FALSE,"Yale WIRAC FOIA release (ICE production 2008-01-17)"
"Arizona Department of Public Safety","Arizona%20DPS.pdf",2008-01-17,FALSE,"Yale WIRAC FOIA release (ICE production 2008-01-17)"
"Barnstable County, Massachusetts","Barnstable%20County,%20MA.pdf",2008-01-17,FALSE,"Yale WIRAC FOIA release (ICE production 2008-01-17)"
"Benton County, Arkansas","Benton%20County,%20AR.pdf",2008-01-17,FALSE,"Yale WIRAC FOIA release (ICE production 2008-01-17)"
"Cabarrus County, North Carolina","Cabarrus%20County,%20NC.pdf",2008-01-17,FALSE,"Yale WIRAC FOIA release (ICE production 2008-01-17)"
"Cobb County, Georgia","Cobb%20County,%20GA.pdf",2008-01-17,FALSE,"Yale WIRAC FOIA release (ICE production 2008-01-17)"
"Collier County, Florida","Collier%20County,%20FL.pdf",2008-01-17,FALSE,"Yale WIRAC FOIA release (ICE production 2008-01-17)"
"Colorado Department of Public Safety","Colorado%20DPS.pdf",2008-01-17,FALSE,"Yale WIRAC FOIA release (ICE production 2008-01-17)"
"El Paso, Texas","El%20Paso,%20TX.pdf",2008-01-17,FALSE,"Yale WIRAC FOIA release (ICE production 2008-01-17)"
"Florida","Florida.pdf",2008-01-17,FALSE,"Yale WIRAC FOIA release (ICE production 2008-01-17)"
"Framingham, Massachusetts","Framingham,%20MA.pdf",2008-01-17,FALSE,"Yale WIRAC FOIA release (ICE production 2008-01-17)"
"Gaston County, N.C","Gaston%20County,%20NC.pdf",2008-01-17,FALSE,"Yale WIRAC FOIA release (ICE production 2008-01-17)"
"Georgia Department of Public Safety","Georgia%20DPS.pdf",2008-01-17,FALSE,"Yale WIRAC FOIA release (ICE production 2008-01-17)"
"Herndon, Virginia","Herndon,%20VA.pdf",2008-01-17,FALSE,"Yale WIRAC FOIA release (ICE production 2008-01-17)"
"Hudson, New Hampshire","Hudson,%20NH.pdf",2008-01-17,FALSE,"Yale WIRAC FOIA release (ICE production 2008-01-17)"
"L.A. County, California","Los%20Angeles%20County,%20CA.pdf",2008-01-17,FALSE,"Yale WIRAC FOIA release (ICE production 2008-01-17)"
"Maricopa County, Arizona","Maricopa%20County,%20AZ.pdf",2008-01-17,FALSE,"Yale WIRAC FOIA release (ICE production 2008-01-17)"
"Massachusetts Department of Corrections","Massachuetts%20DOC.pdf",2008-01-17,FALSE,"Yale WIRAC FOIA release (ICE production 2008-01-17)"
"Mecklenburg County, North Carolina","Mecklenburg%20County,%20NC.pdf",2008-01-17,FALSE,"Yale WIRAC FOIA release (ICE production 2008-01-17)"
"Nashville & Davidson County, Tennessee","Nashville%20&%20Davidson%20County,%20TN.pdf",2008-01-17,FALSE,"Yale WIRAC FOIA release (ICE production 2008-01-17)"
"New Mexico Corrections Department","New%20Mexico%20Corrections%20Department.pdf",2008-01-17,FALSE,"Yale WIRAC FOIA release (ICE production 2008-01-17)"
"Orange County, California","Orange%20County,%20CA.pdf",2008-01-17,FALSE,"Yale WIRAC FOIA release (ICE production 2008-01-17)"
"Prince William - Manassas Regional Adult Detention Center, Virginia","Prince%20William%20-%20Manassas%20(VA)Regional%20Adult%20Detention%20Center.pdf",2008-01-17,FALSE,"Yale WIRAC FOIA release (ICE production 2008-01-17)"
"Riverside County, California","Riverside%20County,%20CA.pdf",2008-01-17,FALSE,"Yale WIRAC FOIA release (ICE production 2008-01-17)"
"Rockingham County, Virginia","Rockingham%20County,%20VA.pdf",2008-01-17,FALSE,"Yale WIRAC FOIA release (ICE production 2008-01-17)"
"Rogers, Arkansas","Rogers,%20AR.pdf",2008-01-17,FALSE,"Yale WIRAC FOIA release (ICE production 2008-01-17)"
"San Bernardino County, California","San%20Bernardino%20County,%20CA.pdf",2008-01-17,FALSE,"Yale WIRAC FOIA release (ICE production 2008-01-17)"
"Shenandoah County, Virginia","Shenandoah%20County,%20VA.pdf",2008-01-17,FALSE,"Yale WIRAC FOIA release (ICE production 2008-01-17)"
"Springdale, Arkansas","Springdale,%20AR.pdf",2008-01-17,FALSE,"Yale WIRAC FOIA release (ICE production 2008-01-17)"
"Tulsa County, Oklahoma","Tulsa%20County,%20OK.pdf",2008-01-17,FALSE,"Yale WIRAC FOIA release (ICE production 2008-01-17)"
"Washington County, Arkansas","Washington%20County,%20AR.pdf",2008-01-17,FALSE,"Yale WIRAC FOIA release (ICE production 2008-01-17)"
"York County, South Carolina","York%20County,%20SC.pdf",2008-01-17,FALSE,"Yale WIRAC FOIA release (ICE production 2008-01-17)"
