file,kind,citation,canonical_url,retrieved_from,retrieved,contains
sources/ice_factsheets/ice_287g_*.html (33 files),primary roster,"U.S. Immigration and Customs Enforcement. ""Delegation of Immigration Authority Section 287(g) Immigration and Nationality Act"" [fact sheet]. Washington, DC: ICE. Captures dated 2011-02-20 through 2017-08-01.",http://www.ice.gov/news/library/factsheets/287g.htm (2011-2014); http://www.ice.gov/factsheets/287g (2015-2017),"Internet Archive Wayback Machine, https://web.archive.org/",2026-09-12,"Complete roster of ACTIVE agreements on each as-of date: STATE | AGENCY | SUPPORT TYPE | DATES SIGNED | MOA hyperlink. 1,472 agency-snapshot rows."
sources/ice_factsheets/_snapshot_manifest.csv,manifest,Generated by R/00_download_sources.R.,n/a,n/a,2026-09-12,The 33 Wayback timestamps and which of the two ICE URLs each belongs to.
sources/moa_pdfs/*.pdf (170 files),primary document,"U.S. Immigration and Customs Enforcement. Memoranda of Agreement under INA Sec. 287(g), various jurisdictions, 2002-2017.",http://www.ice.gov/doclib/foia/memorandumsofAgreementUnderstanding/<file>.pdf,"Internet Archive Wayback Machine (id_ modifier, raw bytes)",2026-09-12,The signed agreements. Four filename generations: <agency>.pdf (pre-2009); r_287g<agency><MMDDYY>.pdf (2009 standardisation); r_287g<agency>.pdf (2013-14); <Agency>_MOA_<date>.pdf and <agency>-<st>-2017.pdf (2016-17). 419 MB.
sources/moa_pdfs/_cdx_index.tsv,manifest,Internet Archive CDX Server API query result.,"https://web.archive.org/cdx/search/cdx?url=ice.gov/doclib/foia/memorandumsofAgreementUnderstanding*&output=text&fl=original,timestamp&filter=statuscode:200&collapse=urlkey&limit=1000",Internet Archive CDX API,2026-09-12,"Enumeration of every successfully archived MOA, so the download list is not hardcoded."
sources/yale_wirac_287g_foia_2008.html,primary roster (FOIA),"Yale Law School, Worker & Immigrant Rights Advocacy Clinic. ""U.S. Immigration and Customs Enforcement FOIA Disclosures: 287(g) Memoranda of Understanding."" Jerome N. Frank Legal Services Organization, 2008. FOIA request filed 2007-03-08; ICE production 2008-01-17.",http://islandia.law.yale.edu/wirc/287g_foia.html (site defunct),Wayback capture 20080807125556,2026-09-12,34 MOUs in force as of 2008-01-17. Earliest independent FOIA-verified census. The linked MOU PDFs and 60 MB ZIP are NOT recoverable - Wayback holds only 404 captures.
sources/reports/GAO-09-109_Jan2009.pdf,government report,"U.S. Government Accountability Office. 2009. Immigration Enforcement: Better Controls Needed over Program Authorizing State and Local Enforcement of Federal Immigration Laws. GAO-09-109. Washington, DC: GAO, January 2009.",https://www.gao.gov/assets/gao-09-109.pdf (product page: https://www.gao.gov/products/gao-09-109),"TRAC Reports mirror, https://tracreports.org/tracker/dynadata/2009_03/d09109.2.pdf (gao.gov 403s scripted requests)",2026-09-12,"Appendix III, pp. 33-34: all 29 agencies as of 2007-09-01, names only, no dates or model."
sources/reports/DHS-OIG-10-63_Mar2010.pdf,government report,"U.S. Department of Homeland Security, Office of Inspector General. 2010. The Performance of 287(g) Agreements. OIG-10-63. Washington, DC: DHS OIG, March 2010.",https://www.oig.dhs.gov/sites/default/files/assets/Mgmt/OIG_10-63_Mar10.pdf,"TRAC Reports mirror, https://tracreports.org/tracker/dynadata/2010_04/OIG_10-63_Mar10.pdf (oig.dhs.gov 403s)",2026-09-12,"Appendix E, Table 3, p. 83: 66 agreements across 23 states as of June 2009; 833 active officers."
sources/reports/DHS-OIG-10-124_Sep2010.pdf,government report,"U.S. Department of Homeland Security, Office of Inspector General. 2010. The Performance of 287(g) Agreements - Report Update. OIG-10-124. Washington, DC: DHS OIG, September 2010.",https://www.oig.dhs.gov/sites/default/files/assets/Mgmt/OIG_10-124_Sep10.pdf,"TRAC Reports mirror, https://tracreports.org/tracker/dynadata/2010_10/OIG_10-124_Sep10.pdf",2026-09-12,"Counts only, no roster: 71 MOAs as of 2010-08-01 (26 task force / 32 detention / 13 joint). Use as a cross-check."
sources/reports/DHS-OIG-11-119_Sep2011.pdf,government report,"U.S. Department of Homeland Security, Office of Inspector General. 2011. The Performance of 287(g) Agreements FY 2011 Update. OIG-11-119. Washington, DC: DHS OIG, September 2011.",https://www.oig.dhs.gov/sites/default/files/assets/Mgmt/OIG_11-119_Sep11.pdf,"TRAC Reports mirror, https://tracreports.org/tracker/dynadata/2011_11/OIG_11-119_Sep11.pdf",2026-09-12,Counts only: 69 MOAs in 24 states as of 2011-06-01 (34 detention / 20 task force / 15 joint).
sources/reports/DHS-OIG-12-130_Sep2012.pdf,government report,"U.S. Department of Homeland Security, Office of Inspector General. 2012. The Performance of 287(g) Agreements FY 2012 Follow-Up. OIG-12-130. Washington, DC: DHS OIG, September 2012.",https://www.oig.dhs.gov/sites/default/files/assets/Mgmt/OIG_12-130_Sep12.pdf,"TRAC Reports mirror, https://tracreports.org/tracker/dynadata/2012_10/OIG_12-130_Sep12.pdf",2026-09-12,Counts only: 64 MOAs in 24 states as of August 2012 (35 detention / 20 task force / 9 joint).
