ice_agency_name,jurisdiction_level,county_fips,county_name
Alabama Department of Public Safety,statewide,,
Alamance County Sheriff's Office,local,37001,"Alamance County, NC"
Anne Arundel County,local,24003,"Anne Arundel County, MD"
Aransas County Sheriff's Office,local,48007,"Aransas County, TX"
Arizona Department of Corrections,statewide,,
Arizona Department of Public Safety,statewide,,
Bay County Sheriff's Office,local,12005,"Bay County, FL"
Beaufort County Sheriff's Office,local,45013,"Beaufort County, SC"
Benton County Sheriff's Office,local,5007,"Benton County, AR"
Bristol County Sheriff's Office,local,25005,"Bristol County, MA"
Butler County Sheriff's Office,local,39017,"Butler County, OH"
Cabarrus County Sheriff's Office,local,37025,"Cabarrus County, NC"
Calhoun County Sheriff's Office,local,48057,"Calhoun County, TX"
Cape May County Sheriffs Office,local,34009,"Cape May County, NJ"
Carrollton Police Department,local,48113,"Dallas County, TX"
Carrollton Police Department,local,48085,"Collin County, TX"
Carrollton Police Department,local,48121,"Denton County, TX"
Chambers County Sheriff's Office,local,48071,"Chambers County, TX"
Charleston County Sheriff's Office,local,45019,"Charleston County, SC"
City of Danbury Police Department,local,9001,"Fairfield County, CT"
City of Durham Police Department,local,37063,"Durham County, NC"
City of Mesa Police Department,local,4013,"Maricopa County, AZ"
City of Phoenix Police Department,local,4013,"Maricopa County, AZ"
City of Springdale Police Department,local,5143,"Washington County, AR"
Clay County Sheriff's Office,local,12019,"Clay County, FL"
Cobb County Sheriff's Office,local,13067,"Cobb County, GA"
Collier County Sheriff's Office,local,12021,"Collier County, FL"
Colorado Department of Public Safety,statewide,,
Davidson County Sheriff's Office,local,47037,"Davidson County, TN"
DeWitt County Sheriff's Office,local,48123,"DeWitt County, TX"
Delaware Department of Corrections,statewide,,
Durham Police Department,local,37063,"Durham County, NC"
East Baton Rouge Parish Sheriff's Office,local,22033,"East Baton Rouge Parish, LA"
El Paso County Sheriff's Office,local,8041,"El Paso County, CO"
Etowah County Sheriff's Office,local,1055,"Etowah County, AL"
Farmers Branch Police Department,local,48113,"Dallas County, TX"
Florence Police Department,local,4021,"Pinal County, AZ"
Florida Department of Law Enforcement,statewide,,
Frederick County Sheriff's Office,local,24021,"Frederick County, MD"
Galveston County Sheriff's Office,local,48167,"Galveston County, TX"
Gaston County Sheriff's Office,local,37071,"Gaston County, NC"
Georgia Department of Public Safety,statewide,,
Goliad County Sheriff's Office,local,48175,"Goliad County, TX"
Guilford County Sheriff's Office,local,37081,"Guilford County, NC"
Gwinnett County Sheriff's Office,local,13135,"Gwinnett County, GA"
Hall County Sheriff's Office,local,13139,"Hall County, GA"
Harford County Sheriff's Office,local,24025,"Harford County, MD"
Harris County Sheriff's Office,local,48201,"Harris County, TX"
Hartford County Sheriff's Office,local,24025,"Harford County, MD"
Henderson County Sheriff's Office,local,37089,"Henderson County, NC"
Herndon Police Department,local,51059,"Fairfax County, VA"
Horry County Sheriff's Office,local,45051,"Horry County, SC"
Hudson County Department of Corrections,local,34017,"Hudson County, NJ"
Jackson County Sheriff's Office,local,48239,"Jackson County, TX"
Jacksonville Sheriff's Office,local,12031,"Duval County, FL"
Knox County Sheriff's Office,local,47093,"Knox County, TN"
Las Vegas Metropolitan Police Department,local,32003,"Clark County, NV"
Lavaca County Sheriff's Office,local,48285,"Lavaca County, TX"
Lexington County Sheriff's Office,local,45063,"Lexington County, SC"
Los Angeles County Sheriff's Office,local,6037,"Los Angeles County, CA"
Loudoun County Sheriff's Office,local,51107,"Loudoun County, VA"
Lubbock County Sheriff's Office,local,48303,"Lubbock County, TX"
Manassas Park Police Department,local,51153,"Prince William County, VA"
Manassas Police Department,local,51153,"Prince William County, VA"
Maricopa County Sheriff's Office,local,4013,"Maricopa County, AZ"
Massachusetts Department of Correction,statewide,,
Massachusetts Department of Corrections,statewide,,
Mecklenburg County Sheriff's Office,local,37119,"Mecklenburg County, NC"
Minnesota Department of Public Safety,statewide,,
Missouri State Highway Patrol,statewide,,
Monmouth County Sheriff's Office,local,34025,"Monmouth County, NJ"
Montgomery County Sheriff's Office,local,48339,"Montgomery County, TX"
New Mexico Department of Corrections,statewide,,
Nye County Sheriff's Office,local,32023,"Nye County, NV"
Orange County Sheriff's Office,local,6059,"Orange County, CA"
Pima County Sheriff's Office,local,4019,"Pima County, AZ"
Pinal County Sheriff's Office,local,4021,"Pinal County, AZ"
Plymouth County Sheriff's Department,local,25023,"Plymouth County, MA"
Prince William County Police Department,local,51153,"Prince William County, VA"
Prince William County Sheriff's Office,local,51153,"Prince William County, VA"
Prince William-Manassas Regional Adult Detention Center,local,51153,"Prince William County, VA"
Prince William-Manassas Regional Jail,local,51153,"Prince William County, VA"
Refugio County Sheriff's Office,local,48391,"Refugio County, TX"
Rhode Island State Police,statewide,,
Riverside County Sheriff's Office,local,6065,"Riverside County, CA"
Rockingham County Sheriff's Office,local,51165,"Rockingham County, VA"
Rogers Police Department,local,5007,"Benton County, AR"
Salem County Sheriff's Office,local,34033,"Salem County, NJ"
San Bernardino County Sheriff's Office,local,6071,"San Bernardino County, CA"
Shenandoah County Sheriff's Office,local,51171,"Shenandoah County, VA"
Smith County Sheriff's Office,local,48423,"Smith County, TX"
Tarrant County Sheriff's Office,local,48439,"Tarrant County, TX"
Tennessee Highway Patrol / Department of Safety,statewide,,
Tulsa County Sheriff's Office,local,40143,"Tulsa County, OK"
Victoria County Sheriff's Office,local,48469,"Victoria County, TX"
Wake County Sheriff's Office,local,37183,"Wake County, NC"
Walker County Sheriff's Office,local,48471,"Walker County, TX"
Waller County Sheriff's Office,local,48473,"Waller County, TX"
Washington County Sheriff Office,local,49053,"Washington County, UT"
Washington County Sheriff's Office,local,5143,"Washington County, AR"
Weber County Sheriff's Office,local,49057,"Weber County, UT"
Wharton County Sheriff's Office,local,48481,"Wharton County, TX"
