"as_of","n_agreements","moa_links","source","unit","basis","claim"
"2007-09-01",29,,"GAO-09-109 App. III","agency","stated as-of","complete census of agreements ACTIVE on this date"
"2008-01-17",34,,"Yale WIRAC FOIA","agency","ICE production date","complete census of agreements ACTIVE on this date"
"2009-02-01",67,,"CRS RL32270 App. A","agency","stated as-of","complete census of agreements ACTIVE on this date"
"2009-06-01",66,,"DHS OIG-10-63 App. E","agency","stated as-of","complete census of agreements ACTIVE on this date"
"2010-08-01",72,,"MPI Delegation and Divergence App. 2","agency","stated as-of","complete census of agreements ACTIVE on this date"
"2010-10-29",140,140,"ICE fact sheet (Wayback capture)","agency","on-page caption","complete census of agreements ACTIVE on this date"
"2011-09-02",341,341,"ICE fact sheet (Wayback capture)","agency","on-page caption","complete census of agreements ACTIVE on this date"
"2012-10-02",64,64,"ICE fact sheet (Wayback capture)","agency","on-page caption","complete census of agreements ACTIVE on this date"
"2012-10-16",57,57,"ICE fact sheet (Wayback capture)","agency","on-page caption","complete census of agreements ACTIVE on this date"
"2012-12-31",78,78,"ICE fact sheet (Wayback capture)","agency","on-page caption","complete census of agreements ACTIVE on this date"
"2013-08-07",109,109,"ICE fact sheet (Wayback capture)","agency","on-page caption","complete census of agreements ACTIVE on this date"
"2014-08-13",35,35,"ICE fact sheet (Wayback capture)","agency","on-page caption","complete census of agreements ACTIVE on this date"
"2015-01-06",34,34,"ICE fact sheet (Wayback capture)","agency","capture date (caption stale)","complete census of agreements ACTIVE on this date"
"2015-02-13",34,34,"ICE fact sheet (Wayback capture)","agency","capture date (caption stale)","complete census of agreements ACTIVE on this date"
"2015-03-31",34,34,"ICE fact sheet (Wayback capture)","agency","capture date (caption stale)","complete census of agreements ACTIVE on this date"
"2015-07-25",32,32,"ICE fact sheet (Wayback capture)","agency","capture date (caption stale)","complete census of agreements ACTIVE on this date"
"2015-10-09",32,32,"ICE fact sheet (Wayback capture)","agency","capture date (caption stale)","complete census of agreements ACTIVE on this date"
"2015-12-29",32,32,"ICE fact sheet (Wayback capture)","agency","capture date (caption stale)","complete census of agreements ACTIVE on this date"
"2016-01-19",32,32,"ICE fact sheet (Wayback capture)","agency","capture date (caption stale)","complete census of agreements ACTIVE on this date"
"2016-03-17",32,32,"ICE fact sheet (Wayback capture)","agency","capture date (caption stale)","complete census of agreements ACTIVE on this date"
"2016-06-11",32,32,"ICE fact sheet (Wayback capture)","agency","capture date (caption stale)","complete census of agreements ACTIVE on this date"
"2016-08-20",32,32,"ICE fact sheet (Wayback capture)","agency","capture date (caption stale)","complete census of agreements ACTIVE on this date"
"2016-11-21",32,32,"ICE fact sheet (Wayback capture)","agency","capture date (caption stale)","complete census of agreements ACTIVE on this date"
"2016-12-11",34,34,"ICE fact sheet (Wayback capture)","agency","capture date (caption stale)","complete census of agreements ACTIVE on this date"
"2017-01-29",36,36,"ICE fact sheet (Wayback capture)","agency","capture date (caption stale)","complete census of agreements ACTIVE on this date"
"2017-03-05",37,37,"ICE fact sheet (Wayback capture)","agency","capture date (caption stale)","complete census of agreements ACTIVE on this date"
"2017-05-02",38,38,"ICE fact sheet (Wayback capture)","agency","capture date (caption stale)","complete census of agreements ACTIVE on this date"
"2017-06-04",42,42,"ICE fact sheet (Wayback capture)","agency","capture date (caption stale)","complete census of agreements ACTIVE on this date"
"2017-07-02",45,45,"ICE fact sheet (Wayback capture)","agency","capture date (caption stale)","complete census of agreements ACTIVE on this date"
"2017-08-01",58,58,"ICE fact sheet (Wayback capture)","agency","capture date (caption stale)","complete census of agreements ACTIVE on this date"
