"as_of","county_fips","discrepancy","county_name"
"2010-10-29",45063,"in ICE roster, missing from East","Lexington County, SC"
"2010-10-29",33011,"in East, absent from ICE roster",
"2011-09-02",45063,"in ICE roster, missing from East","Lexington County, SC"
"2011-09-02",33011,"in East, absent from ICE roster",
"2011-09-02",37081,"in East, absent from ICE roster","Guilford County, NC"
"2012-10-02",37001,"in ICE roster, missing from East","Alamance County, NC"
"2012-10-02",37025,"in ICE roster, missing from East","Cabarrus County, NC"
"2012-10-02",45063,"in ICE roster, missing from East","Lexington County, SC"
"2012-10-02",4019,"in East, absent from ICE roster","Pima County, AZ"
"2012-10-02",33011,"in East, absent from ICE roster",
"2012-10-02",37081,"in East, absent from ICE roster","Guilford County, NC"
"2012-10-16",37025,"in ICE roster, missing from East","Cabarrus County, NC"
"2012-10-16",45063,"in ICE roster, missing from East","Lexington County, SC"
"2012-10-16",4019,"in East, absent from ICE roster","Pima County, AZ"
"2012-10-16",33011,"in East, absent from ICE roster",
"2012-10-16",37081,"in East, absent from ICE roster","Guilford County, NC"
"2012-10-16",47037,"in East, absent from ICE roster","Davidson County, TN"
"2012-10-16",51165,"in East, absent from ICE roster","Rockingham County, VA"
"2012-12-31",4013,"in ICE roster, missing from East","Maricopa County, AZ"
"2012-12-31",49053,"in ICE roster, missing from East","Washington County, UT"
"2012-12-31",37025,"in ICE roster, missing from East","Cabarrus County, NC"
"2012-12-31",45063,"in ICE roster, missing from East","Lexington County, SC"
"2012-12-31",4019,"in East, absent from ICE roster","Pima County, AZ"
"2012-12-31",47037,"in East, absent from ICE roster","Davidson County, TN"
"2012-12-31",51165,"in East, absent from ICE roster","Rockingham County, VA"
"2013-08-07",4013,"in ICE roster, missing from East","Maricopa County, AZ"
"2013-08-07",49053,"in ICE roster, missing from East","Washington County, UT"
"2013-08-07",37025,"in ICE roster, missing from East","Cabarrus County, NC"
"2013-08-07",4019,"in East, absent from ICE roster","Pima County, AZ"
"2013-08-07",6065,"in East, absent from ICE roster","Riverside County, CA"
"2013-08-07",6071,"in East, absent from ICE roster","San Bernardino County, CA"
"2013-08-07",47037,"in East, absent from ICE roster","Davidson County, TN"
"2013-08-07",51165,"in East, absent from ICE roster","Rockingham County, VA"
"2014-08-13",4013,"in ICE roster, missing from East","Maricopa County, AZ"
"2014-08-13",49053,"in ICE roster, missing from East","Washington County, UT"
"2014-08-13",37025,"in ICE roster, missing from East","Cabarrus County, NC"
"2014-08-13",45063,"in ICE roster, missing from East","Lexington County, SC"
"2014-08-13",4019,"in East, absent from ICE roster","Pima County, AZ"
"2014-08-13",6065,"in East, absent from ICE roster","Riverside County, CA"
"2014-08-13",47037,"in East, absent from ICE roster","Davidson County, TN"
"2014-08-13",51165,"in East, absent from ICE roster","Rockingham County, VA"
"2014-08-13",51171,"in East, absent from ICE roster","Shenandoah County, VA"
"2015-01-06",4013,"in ICE roster, missing from East","Maricopa County, AZ"
"2015-01-06",49053,"in ICE roster, missing from East","Washington County, UT"
"2015-01-06",37025,"in ICE roster, missing from East","Cabarrus County, NC"
"2015-01-06",45063,"in ICE roster, missing from East","Lexington County, SC"
"2015-01-06",4019,"in East, absent from ICE roster","Pima County, AZ"
"2015-01-06",51165,"in East, absent from ICE roster","Rockingham County, VA"
"2015-01-06",51171,"in East, absent from ICE roster","Shenandoah County, VA"
"2015-02-13",4013,"in ICE roster, missing from East","Maricopa County, AZ"
"2015-02-13",49053,"in ICE roster, missing from East","Washington County, UT"
"2015-02-13",37025,"in ICE roster, missing from East","Cabarrus County, NC"
"2015-02-13",45063,"in ICE roster, missing from East","Lexington County, SC"
"2015-02-13",4019,"in East, absent from ICE roster","Pima County, AZ"
"2015-02-13",51165,"in East, absent from ICE roster","Rockingham County, VA"
"2015-02-13",51171,"in East, absent from ICE roster","Shenandoah County, VA"
"2015-03-31",4013,"in ICE roster, missing from East","Maricopa County, AZ"
"2015-03-31",49053,"in ICE roster, missing from East","Washington County, UT"
"2015-03-31",37025,"in ICE roster, missing from East","Cabarrus County, NC"
"2015-03-31",45063,"in ICE roster, missing from East","Lexington County, SC"
"2015-03-31",4019,"in East, absent from ICE roster","Pima County, AZ"
"2015-03-31",51165,"in East, absent from ICE roster","Rockingham County, VA"
"2015-03-31",51171,"in East, absent from ICE roster","Shenandoah County, VA"
"2015-07-25",4013,"in ICE roster, missing from East","Maricopa County, AZ"
"2015-07-25",49053,"in ICE roster, missing from East","Washington County, UT"
"2015-07-25",37025,"in ICE roster, missing from East","Cabarrus County, NC"
"2015-07-25",45063,"in ICE roster, missing from East","Lexington County, SC"
"2015-07-25",4019,"in East, absent from ICE roster","Pima County, AZ"
"2015-07-25",51165,"in East, absent from ICE roster","Rockingham County, VA"
"2015-07-25",51171,"in East, absent from ICE roster","Shenandoah County, VA"
"2015-10-09",4013,"in ICE roster, missing from East","Maricopa County, AZ"
"2015-10-09",49053,"in ICE roster, missing from East","Washington County, UT"
"2015-10-09",37025,"in ICE roster, missing from East","Cabarrus County, NC"
"2015-10-09",45063,"in ICE roster, missing from East","Lexington County, SC"
"2015-10-09",4019,"in East, absent from ICE roster","Pima County, AZ"
"2015-10-09",51165,"in East, absent from ICE roster","Rockingham County, VA"
"2015-10-09",51171,"in East, absent from ICE roster","Shenandoah County, VA"
