"agency_key","state","agency","source","observed_on","detail"
"alabamadepartmentofpublicsafety","ALABAMA","Alabama Department of Public Safety","ICE fact-sheet roster","2010-10-29","Task Force; signed 2003-09-10"
"etowahcountysheriffsoffice","ALABAMA","Etowah County Sheriff's Office","ICE fact-sheet roster","2010-10-29","Jail Enforcement; signed 2008-07-08"
"arizonadepartmentofcorrections","ARIZONA","Arizona Department of Corrections","ICE fact-sheet roster","2010-10-29","Jail Enforcement; signed 2005-09-16"
"arizonadepartmentofpublicsafety","ARIZONA","Arizona Department of Public Safety","ICE fact-sheet roster","2010-10-29","Task Force; signed 2007-04-15"
"mesapolicedepartment","ARIZONA","City of Mesa Police Department","ICE fact-sheet roster","2010-10-29","Jail Enforcement; signed 2009-11-19"
"phoenixpolicedepartment","ARIZONA","City of Phoenix Police Department","ICE fact-sheet roster","2010-10-29","Task Force; signed 2008-03-10"
"florencepolicedepartment","ARIZONA","Florence Police Department","ICE fact-sheet roster","2010-10-29","Task Force; signed 2009-10-21"
"maricopacountysheriffsoffice","ARIZONA","Maricopa County Sheriff's Office","ICE fact-sheet roster","2010-10-29","Jail Enforcement; signed 2007-02-07"
"pimacountysheriffsoffice","ARIZONA","Pima County Sheriff's Office","ICE fact-sheet roster","2010-10-29","Jail Enforcement; signed 2008-03-10"
"pinalcountysheriffsoffice","ARIZONA","Pinal County Sheriff's Office","ICE fact-sheet roster","2010-10-29","Jail Enforcement; signed 2008-03-10"
"yavapaicountysheriffsoffice","ARIZONA","Yavapai County Sheriff's Office","ICE fact-sheet roster","2010-10-29","Jail Enforcement; signed 2008-03-10"
"bentoncountysheriffsoffice","ARKANSAS","Benton County Sheriff's Office","ICE fact-sheet roster","2010-10-29","Jail Enforcement; signed 2007-09-26"
"springdalepolicedepartment","ARKANSAS","City of Springdale Police Department","ICE fact-sheet roster","2010-10-29","Task Force; signed 2007-09-26"
"rogerspolicedepartment","ARKANSAS","Rogers Police Department","ICE fact-sheet roster","2010-10-29","Task Force; signed 2007-09-25"
"washingtoncountysheriffsoffice","ARKANSAS","Washington County Sheriff's Office","ICE fact-sheet roster","2010-10-29","Jail Enforcement; signed 2007-09-26"
"losangelescountysheriffsoffice","CALIFORNIA","Los Angeles County Sheriff's Office","ICE fact-sheet roster","2010-10-29","Jail Enforcement; signed 2005-02-01"
"orangecountysheriffsoffice","CALIFORNIA","Orange County Sheriff's Office","ICE fact-sheet roster","2010-10-29","Jail Enforcement; signed 2006-11-02"
"riversidecountysheriffsoffice","CALIFORNIA","Riverside County Sheriff's Office","ICE fact-sheet roster","2010-10-29","Jail Enforcement; signed 2006-04-28"
