pass_started_at,sheet_hash,mode,n_urls,n_304,n_identical,n_changed,n_new,n_failed,n_unreachable,n_recovered
2026-09-12T20:51:35Z,a405c40debafa0460bcaa2a1783a76ef4f72920117dd875f18ba7cfb08e23f42,shard 0/64,23,0,21,0,2,0,0,0
2026-09-12T20:52:48Z,a405c40debafa0460bcaa2a1783a76ef4f72920117dd875f18ba7cfb08e23f42,shard 7/512,2,0,2,0,0,0,0,0
2026-09-12T21:06:18Z,a405c40debafa0460bcaa2a1783a76ef4f72920117dd875f18ba7cfb08e23f42,full,1896,25,1628,0,242,1,0,0
2026-09-12T21:08:15Z,a405c40debafa0460bcaa2a1783a76ef4f72920117dd875f18ba7cfb08e23f42,shard 121/512,6,5,0,0,0,0,1,0
2026-09-12T21:10:59Z,a405c40debafa0460bcaa2a1783a76ef4f72920117dd875f18ba7cfb08e23f42,shard 121/512,5,5,0,0,0,0,0,0
2026-09-12T21:19:46Z,a405c40debafa0460bcaa2a1783a76ef4f72920117dd875f18ba7cfb08e23f42,full,1896,1895,0,0,0,0,1,0
2026-09-12T21:43:42Z,a405c40debafa0460bcaa2a1783a76ef4f72920117dd875f18ba7cfb08e23f42,shard 121/512,6,5,0,0,0,0,0,1
2026-09-15T06:22:47Z,035106aafb179f0f4f9cb097b8ad6f6dcc9f7edc32cb64242a8e9715f62b972c,full,1896,1895,0,0,0,0,1,0
2026-09-16T04:15:55Z,80d8fa6dd4c4cda539886cdb90195ec117084b4673314f1fd6d12de7160d2738,full,1894,1893,0,0,0,0,1,0
2026-09-18T23:20:23Z,bf9f00949cd7a51477adc52f5ea6f095195f45855e1d5b1c245bbe496fa2a2fe,full,1894,1893,0,0,0,0,1,0
2026-09-21T18:40:59Z,4e6d40a852038fd216121c6ee6336e71064873969b1a7d6f75d2b536cd57dc7b,full,1894,1893,0,0,0,0,1,0
2026-09-25T17:33:04Z,2520423a479bc71eb11794e9069bfb15792312fdac38d4e3a0b07730ab6fc30d,full,1894,1893,0,0,0,0,1,0
